,burstFrequency,percSpikesinBursts,SPB_mean,SPB_std,SPB_CV,SPB_median,SPB_P10,SPB_P90,SPBch_mean,SPBch_std,SPBch_CV,SPBch_median,SPBch_P10,SPBch_P90,burstDur_mean,burstDur_std,burstDur_CV,burstDur_median,burstDur_P10,burstDur_P90,burstPeak_mean,burstPeak_std,burstPeak_CV,burstPeak_median,burstPeak_P10,burstPeak_P90,IBI_mean,IBI_std,IBI_CV,IBI_median,IBI_P10,IBI_P90,burstISI_mean,burstISI_std,burstISI_CV,burstISI_median,burstISI_P10,burstISI_P90,nonburstISI_mean,nonburstISI_std,nonburstISI_CV,nonburstISI_median,nonburstISI_P10,nonburstISI_P90,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
1,0.43,86.4,2272.53,312.33,0.14,2279.0,1904.6,2578.7,2.29,0.31,0.14,2.29,1.92,2.59,0.26,0.04,0.15,0.25,0.24,0.27,6.32,0.77,0.12,6.36,5.31,7.21,2.32,0.44,0.19,2.33,1.74,2.86,20.15,28.18,1.4,13.1,5.5,39.3,146.67,264.54,1.8,69.7,11.8,309.6,2024-12-16,M06804,1,000016,MED,#55aaff,15.11.2024,0,Run #000016,32
2,0.46,49.23,3364.46,2621.69,0.78,2906.0,1992.0,4605.2,3.42,2.66,0.78,2.95,2.02,4.68,0.34,0.19,0.55,0.29,0.25,0.47,8.13,2.15,0.26,7.79,5.67,11.04,2.15,0.88,0.41,2.0,1.23,3.27,38.27,57.76,1.51,19.3,5.4,91.9,182.44,323.28,1.77,56.8,7.1,516.3,2024-12-16,M06804,2,000016,HIGH,#55aaff,15.11.2024,0,Run #000016,32
3,0.32,20.41,897.12,391.85,0.44,782.0,575.2,1308.6,0.97,0.42,0.44,0.84,0.62,1.41,0.27,0.08,0.28,0.25,0.23,0.33,2.86,1.06,0.37,2.53,2.05,3.9,3.09,1.92,0.62,2.52,1.25,5.49,44.27,53.55,1.21,25.1,4.6,107.0,247.45,406.25,1.64,125.8,29.4,541.0,2024-12-16,M06804,3,000016,LOW,#55aaff,15.11.2024,0,Run #000016,32
4,0.34,72.74,2094.51,729.83,0.35,2055.0,1161.6,2923.8,2.1,0.73,0.35,2.06,1.16,2.94,0.25,0.03,0.1,0.25,0.24,0.27,5.87,1.98,0.34,5.78,3.34,8.13,2.93,1.1,0.37,2.75,1.65,4.47,18.69,25.32,1.35,10.0,3.3,44.0,217.13,424.48,1.95,82.2,7.6,519.2,2024-12-16,M06804,4,000016,HIGH,#ffaaff,15.11.2024,1,Run #000016,32
5,0.3,49.74,2293.54,1435.59,0.63,1911.0,1111.4,3799.2,2.29,1.44,0.63,1.91,1.11,3.8,0.3,0.1,0.32,0.27,0.25,0.38,5.84,2.54,0.44,5.21,3.14,9.48,3.3,1.64,0.5,2.96,1.54,5.47,37.78,48.96,1.3,21.5,5.2,87.7,344.35,624.49,1.81,88.6,8.2,1063.2,2024-12-16,M06804,5,000016,LOW,#ffaaff,15.11.2024,1,Run #000016,32
6,0.36,57.77,1860.9,923.14,0.5,1602.0,998.8,3012.6,1.85,0.92,0.5,1.6,1.0,3.0,0.26,0.04,0.15,0.25,0.24,0.29,5.08,2.39,0.47,4.39,2.79,8.16,2.74,1.27,0.46,2.43,1.42,4.49,26.76,33.5,1.25,15.3,4.5,62.6,304.05,527.18,1.73,94.5,9.5,880.8,2024-12-16,M06804,6,000016,MED,#ffaaff,15.11.2024,1,Run #000016,32
