,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
1054,2,565.56,6076,6.17,0.83,6.94,1.95,77.51,1.56,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1055,2,567.51,2000,2.03,0.24,5.79,1.37,26.41,0.94,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1056,2,568.88,4559,4.63,0.33,11.27,1.5,38.52,1.2,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1057,2,570.38,1635,1.66,0.28,5.14,1.04,29.15,1.0,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1058,2,571.42,3542,3.6,0.29,9.73,1.34,34.24,1.13,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1059,2,572.76,3507,3.56,0.29,9.23,1.11,36.94,1.01,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1060,2,573.87,4527,4.6,0.45,9.65,2.09,50.6,1.18,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1061,2,575.96,2651,2.69,0.47,6.06,1.12,60.13,1.17,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1062,2,577.08,2592,2.63,0.29,7.08,2.47,41.34,1.12,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1063,2,579.55,2427,2.47,0.29,6.33,1.33,34.27,1.16,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1064,2,580.88,4574,4.65,0.33,11.59,1.54,35.44,1.16,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1065,2,582.42,2954,3.0,0.47,5.66,2.78,50.27,1.31,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1066,2,585.2,2090,2.12,0.31,6.19,2.22,29.55,0.96,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1067,2,587.42,5179,5.26,0.61,8.1,1.99,60.77,1.34,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1068,2,589.41,4388,4.46,0.47,9.05,1.72,47.57,1.38,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1069,2,591.13,3372,3.43,0.28,9.91,1.67,29.04,1.11,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1070,2,592.8,2068,2.1,0.24,6.45,1.43,26.28,0.96,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1071,2,594.23,2560,2.6,0.25,8.62,1.35,27.41,1.17,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1072,2,595.58,3509,3.57,0.3,10.1,3.18,30.53,1.06,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1073,2,598.76,2650,2.69,0.3,7.62,1.57,35.65,1.02,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1074,2,600.33,3219,3.27,0.32,10.01,2.5,26.31,1.34,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1075,2,602.83,2826,2.87,0.29,8.02,1.07,31.15,0.99,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1076,2,603.9,2386,2.42,0.25,7.4,1.14,26.33,0.97,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1077,2,605.04,2511,2.55,0.29,7.01,1.47,33.81,1.02,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1078,2,606.51,2436,2.48,0.23,7.43,1.48,30.07,0.97,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1079,2,607.99,3304,3.36,0.33,8.34,1.57,36.83,1.13,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1080,2,609.56,2311,2.35,0.3,6.5,2.25,42.95,1.07,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1081,2,611.81,1552,1.58,0.21,5.47,1.71,18.29,0.95,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1082,2,613.52,2337,2.38,0.25,6.82,1.03,30.61,0.93,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1083,2,614.55,3997,4.06,0.32,11.12,1.7,30.98,1.06,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1084,2,616.25,2665,2.71,0.27,7.37,1.52,37.05,0.96,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1085,2,617.77,3779,3.84,0.35,10.5,1.56,34.73,1.08,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1086,2,619.33,3936,4.0,0.31,10.91,2.8,25.21,1.26,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
1087,2,622.13,2626,2.67,0.42,6.19,1.55,60.09,1.13,2024-12-16,M06804,2,000016,N/A,N/A,N/A,N/A,N/A,N/A
