index,No Spicy Het Mean,No Spicy WT Mean
Total Spikes,4.708333333333333,3.6153846153846154
Firing Rate (Hz),0.07604166666666665,0.06025641025641024
Mean ISI (s),9.455937306505236,13.097655982905984
Std ISI (s),4.398590792898132,3.5223441439602734
Number of Bursts,0.16666666666666666,0.0
Spikes per Burst,0.6770833333333334,1.0
Burst Peak (s),3.705553061224489,0.0
