,Total Spikes,Firing Rate (Hz),Mean ISI (s),Std ISI (s),Number of Bursts,Spikes per Burst,Burst Peak (s)
5,0,0.0,,,0,0,
15,1,0.0,,,0,0,
31,0,0.0,,,0,0,
33,0,0.0,,,0,0,
35,0,0.0,,,0,0,
37,1,0.0,,,0,0,
41,3,0.05,18.95185,10.48265,0,1,0.0
43,0,0.0,,,0,0,
45,2,0.03333333333333333,15.473099999999999,0.0,0,1,0.0
49,0,0.0,,,0,0,
51,0,0.0,,,0,0,
55,0,0.0,,,0,0,
59,0,0.0,,,0,0,
71,3,0.05,16.39175,0.2668500000000016,0,1,0.0
75,0,0.0,,,0,0,
79,1,0.0,,,0,0,
87,1,0.0,,,0,0,
91,0,0.0,,,0,0,
95,0,0.0,,,0,0,
119,0,0.0,,,0,0,
131,7,0.11666666666666667,7.9929,6.201488697885372,0,1,0.0
143,1,0.0,,,0,0,
153,0,0.0,,,0,0,
159,0,0.0,,,0,0,
167,0,0.0,,,0,0,
171,0,0.0,,,0,0,
179,0,0.0,,,0,0,
187,3,0.05,21.6694,7.177300000000002,0,1,0.0
195,1,0.0,,,0,0,
199,0,0.0,,,0,0,
207,0,0.0,,,0,0,
211,0,0.0,,,0,0,
215,0,0.0,,,0,0,
219,0,0.0,,,0,0,
227,0,0.0,,,0,0,
233,1,0.0,,,0,0,
235,0,0.0,,,0,0,
243,0,0.0,,,0,0,
247,0,0.0,,,0,0,
271,0,0.0,,,0,0,
275,1,0.0,,,0,0,
283,0,0.0,,,0,0,
295,0,0.0,,,0,0,
311,0,0.0,,,0,0,
323,0,0.0,,,0,0,
331,0,0.0,,,0,0,
371,0,0.0,,,0,0,
379,0,0.0,,,0,0,
391,1,0.0,,,0,0,
419,1,0.0,,,0,0,
435,0,0.0,,,0,0,
455,0,0.0,,,0,0,
467,1,0.0,,,0,0,
471,0,0.0,,,0,0,
475,0,0.0,,,0,0,
491,1,0.0,,,0,0,
523,0,0.0,,,0,0,
531,0,0.0,,,0,0,
555,1,0.0,,,0,0,
559,0,0.0,,,0,0,
563,0,0.0,,,0,0,
571,0,0.0,,,0,0,
583,0,0.0,,,0,0,
607,0,0.0,,,0,0,
615,0,0.0,,,0,0,
623,0,0.0,,,0,0,
627,1,0.0,,,0,0,
631,2,0.03333333333333333,14.4841,0.0,0,1,0.0
651,1,0.0,,,0,0,
679,0,0.0,,,0,0,
683,4,0.06666666666666667,12.431566666666669,8.70521839562659,0,1,0.0
687,0,0.0,,,0,0,
699,0,0.0,,,0,0,
703,0,0.0,,,0,0,
707,0,0.0,,,0,0,
723,0,0.0,,,0,0,
731,1,0.0,,,0,0,
735,0,0.0,,,0,0,
743,0,0.0,,,0,0,
755,0,0.0,,,0,0,
763,3,0.05,5.721049999999998,3.4936499999999953,0,1,0.0
767,0,0.0,,,0,0,
775,0,0.0,,,0,0,
779,1,0.0,,,0,0,
783,0,0.0,,,0,0,
799,0,0.0,,,0,0,
803,0,0.0,,,0,0,
831,2,0.03333333333333333,6.1556,0.0,0,1,0.0
839,3,0.05,19.812749999999998,6.0269499999999985,0,1,0.0
863,0,0.0,,,0,0,
867,0,0.0,,,0,0,
883,0,0.0,,,0,0,
887,0,0.0,,,0,0,
891,0,0.0,,,0,0,
893,0,0.0,,,0,0,
923,0,0.0,,,0,0,
927,0,0.0,,,0,0,
930,0,0.0,,,0,0,
931,1,0.0,,,0,0,
935,0,0.0,,,0,0,
939,1,0.0,,,0,0,
947,3,0.05,5.22095,0.23875000000000135,0,1,0.0
951,0,0.0,,,0,0,
963,10,0.16666666666666666,6.43151111111111,3.197616777971594,0,1,0.0
971,0,0.0,,,0,0,
975,1,0.0,,,0,0,
978,0,0.0,,,0,0,
1015,0,0.0,,,0,0,
1022,0,0.0,,,0,0,
1023,2,0.03333333333333333,19.533,0.0,0,1,0.0
