,Run 25(Spicy),Run 19 (No Spicy)
Total Spikes,4.411764705882353,4.083333333333333
Firing Rate (Hz),1.9956606902212574e-05,1.7574156265983312e-05
Mean ISI (s),139913.91176470587,139705.63564814813
Std ISI (s),35377.583961662065,34640.637204229475
Number of Bursts,0.0,0.0
Spikes per Burst,1.0,1.0
Burst Peak (s),0.0,0.0
