index,Spicy Het Mean,Spicy WT Mean
Total Spikes,5.447368421052632,4.473684210526316
Firing Rate (Hz),0.08728070175438594,0.07456140350877188
Mean ISI (s),11.279621901808492,13.539860526315792
Std ISI (s),4.794457159486813,4.168072729122143
Number of Bursts,0.38596491228070173,0.0
Spikes per Burst,0.8859649122807017,1.0
Burst Peak (s),2.775398245614035,0.0
