DIV,Well,NeuronType,Chip_ID,Trial,Mean_FiringRate,Mean_SpikeAmplitude,Active_area,mean_IBI,cov_IBI,mean_Burst_Peak,cov_Burst_Peak,Number_Bursts,mean_Spike_per_Burst,cov_Spike_per_Burst,mean_Burst_Peak_Abs,cov_Burst_Peak_Abs,mean_BurstDuration,cov_BurstDuration,MeanNetworkISI,CoVNetworkISI,MeanWithinBurstISI,CoVWithinBurstISI,MeanOutsideBurstISI,CoVOutsideBurstISI,Fanofactor,Burst_Peak_Abs,Burst_Peak_Normalized
5,2,WT,M07039,CDKL5-E6D_T1_C1_05152024,1.00593530911409,49.7749007755602,15.8484848484848,44.7,0.0,4.91298067967476,102.508287348763,2,,,1069.0096682532,42.7864252404023,,,0.740301835307177,289.047686751019,,,,,12.3711730426422,,
5,5,WT,M07039,CDKL5-E6D_T1_C1_05152024,0.859133077415227,48.5746378895122,15.7878787878788,,,8.38360156888889,0.0,1,,,883.22070675983,50.7887604639054,,,0.866212124809432,285.151704778474,,,,,14.7705733513543,,
5,1,WT,M07420,CDKL5-E6D_T1_C1_05152024,0.966328042328043,60.3856405411361,23.8636363636364,29.1,106.383338772413,3.36078301909931,131.467203530264,8,1767.875,132.433098808695,1039.79993626048,80.6354532395235,0.637499999999996,0.0,0.97796375576804,351.166363328043,0.110062045623145,129.623708827071,0.332085556528212,71.6468492815722,41.7216892978945,,
5,2,WT,M07420,CDKL5-E6D_T1_C1_05152024,0.866216952848187,62.2079608144107,18.530303030303,180.0,0.0,11.4254633509644,6.18159151020789,2,,,880.343671203895,106.19978213277,,,1.05099651410642,388.10604717114,,,,,55.4916127043302,,
5,3,WT,M07420,CDKL5-E6D_T1_C1_05152024,0.973242296918768,59.7169017371053,18.030303030303,66.9,75.0096721732568,5.47460422013595,100.447479929847,5,2905.4,90.0157279465277,916.495122924191,99.6843159032926,0.819999999999995,0.0,0.963180322232846,344.971740375266,0.0839433689024391,159.76137648467,0.331156291851087,73.2242360664418,56.7619799361406,,
5,1,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.798250891265597,65.4782840989218,22.6666666666667,23.77,51.7468672702842,3.70795023961406,118.359700178878,11,1658.36363636364,122.915200494579,1013.02343445641,101.683970165463,0.454545454545457,0.0,1.09403936616529,319.772730686708,0.0737703147848842,134.018509206969,0.361726473587052,70.2671903171663,61.8841640818391,,
5,2,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.793322859387274,63.8816262681605,19.2878787878788,28.6833333333333,55.0782585606664,2.89550960369184,114.612929238493,7,1038.42857142857,152.441449178513,1047.5323178927,58.1353280892688,0.314285714285709,0.0,0.892005362175472,274.592801282002,0.0819966369930761,139.198382043401,0.308592122847064,80.4563366575266,21.9866789979707,,
5,3,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.85872052704577,62.3599411797289,21.8484848484848,18.3133333333333,53.9180880083229,3.27643930100711,105.171743709968,16,2826.5,93.2761790424795,1224.42875199082,79.152744640859,1.64375,0.0,0.890179192318901,304.31960811922,0.205669923935535,105.448572090321,0.341332184572892,70.7643761880424,47.1539154428549,,
5,6,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.879758086073242,61.9433228680793,18.8939393939394,137.1,0.0,6.03942174070931,104.897693890147,2,,,1148.10199201125,50.7947809239773,,,0.804322867109395,260.237687129283,,,,,18.0267153936355,,
5,2,WT,M08018,CDKL5-E6D_T1_C1_05152024,0.790434565434565,60.0640614160322,15.1666666666667,88.8,104.438530064184,4.76841332690827,84.6357845700786,4,2058.5,99.9975780973266,882.137564078367,72.0280872215712,0.32500000000001,0.0,0.840752113188302,270.209433413713,0.0433689450449079,93.0621771970076,0.342233550353386,73.7363513899498,28.8366732275521,,
5,5,WT,M08018,CDKL5-E6D_T1_C1_05152024,0.79391641388608,64.0239088177793,14.9848484848485,101.3,0.0,8.27933627152119,3.77696452369772,2,,,832.580528869351,77.4257975682987,,,0.881271848011527,270.904839535382,,,,,30.4779434692968,,
8,1,WT,M07420,CDKL5-E6D_T1_C1_05152024,0.817034478885894,71.4150584734024,44.969696969697,10.4592592592593,47.7178610688278,4.39755425416385,125.253217170605,28,2746.60714285714,145.186777512442,1194.77828174796,174.98849162457,0.657142857142858,0.0,0.968470832401515,396.203020667142,0.0722247018431514,130.512373864124,0.280364961817886,88.0143844539786,322.058294289684,,
8,2,WT,M07420,CDKL5-E6D_T1_C1_05152024,0.741958251580554,71.501242534698,46.3333333333333,14.4,52.2630913551686,5.68754541073185,103.360077238724,21,3128.14285714286,113.367193998555,1122.70632313838,187.176643792546,0.680952380952376,0.0,1.08067184551392,424.53397407889,0.0666774711253095,151.429857884693,0.295664094373693,84.9854573268758,309.642391598725,,
8,3,WT,M07420,CDKL5-E6D_T1_C1_05152024,0.884863080092088,66.946562614417,41.6818181818182,12.6217391304348,53.9731657785142,5.36841826672859,104.507628316214,24,3031.375,101.959617572483,1416.70735412264,147.420349680248,0.75833333333333,0.0,0.824735390663897,345.565301542836,0.0819227019959907,138.479423767202,0.304811305165729,78.3506359623075,226.1256976963,,
8,1,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.749680526884891,78.3551785332058,51.3787878787879,19.2928571428571,56.0115475603596,9.04548737466204,85.1263083714531,15,6004.33333333333,106.171001901268,1080.11295971996,239.04220138091,0.726666666666671,0.0,1.12539436529597,384.706011483002,0.0570717966763166,138.107240673022,0.328932985478961,78.1760604493686,445.82663049884,,
8,2,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.745944539087639,80.5568887074788,53.3636363636364,20.4230769230769,74.7927846151558,6.12213105265174,124.616929932028,14,4356.14285714286,140.69399863878,1127.27486047184,183.890350354988,0.878571428571427,0.0,0.922417400306487,441.697117968469,0.0640739393939394,154.627182207038,0.2653710632247,89.0635246357335,325.506379848664,,
8,3,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.773360474133156,76.3772829541039,45.5909090909091,13.0045454545455,48.8088086189557,5.83758888224006,101.347567037115,23,3059.17391304348,109.188539702753,1311.16724694453,165.924889924018,0.686956521739134,0.0,0.913141278127474,359.180847884723,0.0738032918944022,152.240696878136,0.304603145685401,79.5231567066788,303.191530811493,,
8,6,WT,M07427,CDKL5-E6D_T1_C1_05152024,0.749482271728898,73.6436332378441,48.2878787878788,11.1423076923077,49.472032189473,4.97772543087361,119.737215046797,27,2909.92592592593,133.635450869079,1361.4738228191,164.530498461222,0.722222222222223,0.0,0.8733834061564,392.254543595699,0.0786508590623444,149.909724175914,0.297872148629272,81.0751078472606,294.325759447962,,
8,2,WT,M07039,CDKL5-E6D_T1_C1_05152024,0.892114506498068,63.8254448806043,43.1363636363636,12.8,57.3412535064693,4.98675989524172,104.368592826463,24,3621.70833333333,127.211677367408,1368.24519469726,138.549742734662,0.791666666666665,0.0,0.825008954755341,383.962462273,0.0872649349164611,141.150711994375,0.283722440621007,82.7364417517418,211.882770873328,,
8,5,WT,M07039,CDKL5-E6D_T1_C1_05152024,0.75082085631731,62.8063258471499,38.4545454545455,9.00625,57.3166267295437,3.8823298296991,110.506692827583,33,3477.69696969697,136.952313160092,1338.30787191602,133.006898717341,1.15757575757576,0.0,0.857803007498967,367.243480593194,0.112499839904451,137.037640972809,0.293995723840751,82.5360312788117,218.65344459268,,
13,2,WT,M07039,CDKL5-E6D_T1_C1_05152024,1.8821468453378,67.1940343602435,72.3636363636364,2.23283582089552,35.1479897655526,5.03523053563311,46.4624450010049,135,3267.78518518519,41.5998799748399,3862.04402075759,63.5603178262775,0.772592592592591,0.0,0.378575662680874,291.449708567864,0.103448087145361,140.362468739383,0.197142898896268,117.618901358843,161.150242357613,,
13,5,WT,M07039,CDKL5-E6D_T1_C1_05152024,1.0305345362825,60.2693165970477,52.0606060606061,3.93513513513514,51.1511011719699,3.69258515998583,78.7156265674941,75,2577.28,114.657834213478,2157.04001115618,81.9022236756212,0.951999999999997,0.0,0.5635216459941,337.483600827569,0.12271181825104,135.459404670756,0.205234259724008,108.655959377907,122.564474033069,,
13,1,WT,M07427,CDKL5-E6D_T1_C1_05152024,1.61516344008202,86.9992905413822,83.7272727272727,2.70727272727273,41.9953565126544,5.05230846371856,64.2160988926275,111,3559.59459459459,75.7073911624355,2972.61006259298,99.0416614610636,1.00990990990991,0.0,0.504430521697466,284.296878538067,0.0966828012362094,149.177687965313,0.207444570497586,113.036767607664,323.983139161028,,
13,2,WT,M07427,CDKL5-E6D_T1_C1_05152024,2.25926743282256,91.6835889250632,90.969696969697,1.8748427672956,35.7346096628591,5.35976322298218,50.2255653202931,160,3401.14375,71.3064065327121,4194.21257176406,68.0793692442398,0.768125000000001,0.0,0.36779958347126,289.70555593076,0.104991501758398,155.121221927944,0.193509673359544,119.423114157551,255.592230217639,,
13,3,WT,M07427,CDKL5-E6D_T1_C1_05152024,1.86705997588909,82.1553278980126,83.7878787878788,1.39719626168224,38.3387968169818,4.47639525431152,41.1832900642111,215,2759.5023255814,78.5855594819643,4091.42741521266,48.9477287406631,0.700930232558139,0.0,0.382725310760314,275.719775335415,0.147281021507236,151.210552559756,0.222814701286273,112.912250520394,246.857390897812,,
13,6,WT,M07427,CDKL5-E6D_T1_C1_05152024,2.18835358548691,85.8107920733176,88.530303030303,1.50150753768844,42.2036030615319,4.60177235609627,49.3294036378714,200,2849.81,78.9051703713716,4062.5342603465,58.4863262173062,0.7265,0.0,0.400871649064074,253.86182126351,0.131282527530528,159.923345658893,0.208669407619965,116.736860596869,291.797523388007,,
