,burstFrequency,percSpikesinBursts,SPB_mean,SPB_std,SPB_CV,SPB_median,SPB_P10,SPB_P90,SPBch_mean,SPBch_std,SPBch_CV,SPBch_median,SPBch_P10,SPBch_P90,burstDur_mean,burstDur_std,burstDur_CV,burstDur_median,burstDur_P10,burstDur_P90,burstPeak_mean,burstPeak_std,burstPeak_CV,burstPeak_median,burstPeak_P10,burstPeak_P90,IBI_mean,IBI_std,IBI_CV,IBI_median,IBI_P10,IBI_P90,burstISI_mean,burstISI_std,burstISI_CV,burstISI_median,burstISI_P10,burstISI_P90,nonburstISI_mean,nonburstISI_std,nonburstISI_CV,nonburstISI_median,nonburstISI_P10,nonburstISI_P90,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
1,0.48,56.27,1625.75,469.93,0.29,1582.0,1287.8,1854.0,1.84,0.53,0.29,1.79,1.46,2.1,0.28,0.08,0.29,0.26,0.25,0.29,4.99,0.73,0.15,5.0,4.08,5.88,2.07,0.75,0.36,1.97,1.18,3.15,28.1,34.94,1.24,17.1,5.8,62.4,132.03,235.82,1.79,50.9,6.3,342.8,2024-12-28,M06792,1,000124,HET_80K,#f7c19b,25.11.2024,0,Run #000124,33
2,0.58,65.25,1904.8,354.01,0.19,1966.0,1412.4,2262.2,2.1,0.39,0.19,2.17,1.56,2.5,0.28,0.04,0.15,0.27,0.26,0.31,5.74,0.99,0.17,5.95,4.26,6.84,1.72,0.4,0.23,1.68,1.24,2.18,28.41,31.35,1.1,18.0,6.6,62.6,135.14,214.24,1.59,61.2,7.7,349.4,2024-12-28,M06792,2,000124,HET_80K,#f7c19b,25.11.2024,0,Run #000124,33
3,0.32,40.31,1065.1,335.7,0.32,1054.0,585.0,1528.6,1.21,0.38,0.32,1.2,0.66,1.74,0.25,0.03,0.14,0.25,0.24,0.27,3.47,1.04,0.3,3.42,1.98,4.94,3.09,1.64,0.53,2.67,1.33,5.56,21.65,30.79,1.42,11.0,3.7,52.0,207.94,387.49,1.86,70.9,11.7,520.7,2024-12-28,M06792,3,000124,WT_100K,#8cdee2,25.11.2024,0,Run #000124,33
4,0.36,20.65,1279.44,432.09,0.34,1191.0,881.6,1759.0,1.46,0.49,0.34,1.36,1.01,2.01,0.29,0.09,0.3,0.26,0.23,0.38,4.11,0.78,0.19,3.93,3.3,5.19,2.79,1.42,0.51,2.51,1.23,4.66,37.52,47.68,1.27,19.6,5.3,93.5,140.74,238.84,1.7,72.4,12.5,311.1,2024-12-28,M06792,4,000124,WT_100K,#8cdee2,25.11.2024,0,Run #000124,33
5,0.51,33.13,1461.54,528.7,0.36,1386.0,1068.2,1804.9,1.61,0.58,0.36,1.53,1.18,1.99,0.29,0.12,0.39,0.27,0.23,0.37,4.41,0.61,0.14,4.41,3.59,5.17,1.95,0.73,0.37,1.84,1.16,2.94,32.92,50.41,1.53,16.0,4.7,78.6,118.42,201.6,1.7,42.9,6.3,336.9,2024-12-28,M06792,5,000124,WT_60K,#bdccff,25.11.2024,0,Run #000124,33
6,0.54,49.06,1429.7,304.68,0.21,1466.0,994.0,1742.0,1.62,0.34,0.21,1.66,1.12,1.97,0.27,0.05,0.17,0.26,0.25,0.3,4.52,0.85,0.19,4.64,3.18,5.5,1.86,0.62,0.34,1.68,1.19,2.75,26.62,34.0,1.28,15.3,5.1,60.8,124.01,198.98,1.6,53.6,10.6,320.9,2024-12-28,M06792,6,000124,WT_60K,#bdccff,25.11.2024,0,Run #000124,33
