,wellNo,folderPath,wellplateID,runID,assayTag,startTime,stopTime,date,control,gain,lsb,fs,hpf,numberOfConfigurations,durationPerConfiguration,wellGroupName,wellGroupColor,Plating Date,div
Instance,Well Number,Folder Path,Wellplate ID,Assay Run ID,Assay Tag,Start Time,Stop Time,Date,Control,Gain,LSB,Sampling Frequency,HPF,Number of Configurations,Duration per Configuration,Well Group Name,Well Group Color,,DIV
1,1,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241227/M06792/Network/000089,M06792,000089,Run #000089,16:29:31,16:39:31,2024-12-27,0,512.0,6.294,10000.0,1.0,1,600.099,HET_80K,#f7c19b,25.11.2024,33
2,2,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241227/M06792/Network/000089,M06792,000089,Run #000089,16:29:31,16:39:31,2024-12-27,0,512.0,6.294,10000.0,1.0,1,600.091,HET_80K,#f7c19b,25.11.2024,33
3,3,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241227/M06792/Network/000089,M06792,000089,Run #000089,16:29:31,16:39:31,2024-12-27,0,512.0,6.294,10000.0,1.0,1,600.09,WT_100K,#8cdee2,25.11.2024,33
4,4,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241227/M06792/Network/000089,M06792,000089,Run #000089,16:29:31,16:39:31,2024-12-27,0,512.0,6.294,10000.0,1.0,1,600.089,WT_100K,#8cdee2,25.11.2024,33
5,5,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241227/M06792/Network/000089,M06792,000089,Run #000089,16:29:31,16:39:31,2024-12-27,0,512.0,6.294,10000.0,1.0,1,600.087,WT_60K,#bdccff,25.11.2024,33
6,6,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241227/M06792/Network/000089,M06792,000089,Run #000089,16:29:31,16:39:31,2024-12-27,0,512.0,6.294,10000.0,1.0,1,600.086,WT_60K,#bdccff,25.11.2024,33
