unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[22],"[(2852.5, -1225.0)]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[58.33333333333333, 43.75, 78.12693314647413, 81.65874810742766, 48.91398700780789, 25.000000000000004, 63.464775882199234, 123.74368670764582, 184.46619684315547]","[1315.6661389499584, 2399.169239615944, 1082.8935904148373, 2693.6089488080434, 215.0040129758619, 647.2499489587566, 647.9664702974644, 1375.3134340517609, 2852.1114353530206]","[1.0, 1.0, 0.9875962993183754, 0.9891419691408752, 0.9999999999999998, 1.0, 1.0, 1.0, 1.0]","[3217, 3217]","[0.0004049221261243685, 0.0004049221261243685]",[1833]
[23],"[(647.5, -1120.0)]","[0, 1, 2, 3]","[60.16970193374282, 35.272377648806156, 68.42264700603162, 782.6237921249262]","[935.0414219078667, 484.9099579220234, 360.5816411683023, 258.43590667976514]","[0.916872755322491, 1.0, 0.9316972584837435, 0.9999999999999998]","[2470, 2470]","[0.00031089762248280703, 0.00031089762248280703]",[1816]
[18],"[(280.0, -1225.0)]","[0, 1]","[494.9747468305833, 61.48873228105182]","[161.4281066698956, 774.7580267412529]","[1.0, 1.0]","[2472, 2472]","[0.00031114936144838016, 0.00031114936144838016]",[1021]
[12],"[(612.5, -1102.5)]",[0],[60.20183016345587],[1247.5185447204913],[0.9999999999999998],"[4686, 4686]","[0.0005898243963378274, 0.0005898243963378274]",[2065]
[9],"[(2082.5, -1400.0)]","[0, 1]","[356.8517578714014, 245.95492912420727]","[260.20089619358083, 259.1721421550683]","[0.9826940382963889, 1.0]","[14967, 14967]","[0.0018838885488664666, 0.0018838885488664666]",[913]
[38],"[(3395.0, -1400.0)]","[0, 1, 2, 3, 4]","[53.224172140109424, 100.12169897766428, 48.102898965539374, 48.91398700780789, 391.3118960624631]","[155.9458189632772, 2515.431865110653, 480.69596199581537, 741.0971788108516, 523.1572736141229]","[1.0, 0.9908610009566574, 1.0, 0.9999999999999998, 0.9999999999999998]","[1737, 1737]","[0.0002186352916002574, 0.0002186352916002574]",[1020]
[54],"[(3482.5, -2030.0)]","[0, 1]","[23.333333333333332, 160.3429965517979]","[959.0292881901984, 1955.4178058540965]","[1.0, 1.0]","[3942, 3942]","[0.0004961775011446256, 0.0004961775011446256]",[2014]
[64],"[(1435.0, -980.0)]","[0, 1, 2, 3]","[34.33817557426414, 18.421052631578945, 14.285714285714286, 28.861739379323627]","[131.197081621748, 164.55467415507485, 1811.831801268764, 1201.5485444666879]","[1.0, 1.0, 1.0, 1.0]","[3205, 3205]","[0.00040341169233092973, 0.00040341169233092973]",[1804]
[123],"[(875.0, -682.5)]","[0, 1, 2]","[20.067276721151956, 35.19540106813809, 24.145109601491864]","[103.0111165540218, 402.8918574158297, 1226.6895788020079]","[1.0, 0.8655604688271147, 1.0]","[2468, 2468]","[0.0003106458835172339, 0.0003106458835172339]",[1000]
[119],"[(1172.5, -1225.0)]","[0, 1, 2]","[45.71735599534984, 39.0023505125995, 100.61792555081206]","[1261.5340462124134, 1561.3004964136455, 615.6132298283209]","[0.990927048797484, 1.0, 1.0]","[1744, 1744]","[0.00021951637797976332, 0.00021951637797976332]",[639]
