unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[11],"[(262.5, -1330.0)]","[0, 1, 2]","[42.06476488041321, 38.67776105344618, 70.0]","[173.7768654265131, 1134.7019387954979, 252.03069939234913]","[1.0, 0.9408001880756466, 1.0]","[1741, 1741]","[0.0002181381358805753, 0.0002181381358805753]",[1331]
[48],"[(2957.5, -1872.5)]",[0],[22.201337984095098],[1255.573652837079],[1.0],"[6876, 6876]","[0.0008615266067287972, 0.0008615266067287972]",[5155]
[84],"[(3255.0, -1680.0)]","[0, 1, 2, 3]","[63.09714732061981, 38.16542003651492, 75.95194573506217, 98.99494936611666]","[397.4341778751188, 600.3742616368569, 907.9511239864778, 1904.6755976209392]","[1.0, 1.0, 0.9999999999999996, 1.0]","[2470, 2470]","[0.00030947799863585354, 0.00030947799863585354]",[1116]
[103],"[(1925.0, -192.5)]","[0, 1, 2]","[24.9773550678168, 29.518072289156624, 21.151994381754765]","[1919.9785182732714, 587.4865589455248, 783.6528481226389]","[1.0, 1.0, 1.0]","[1737, 1737]","[0.00021763695693541605, 0.00021763695693541605]",[980]
[123],"[(3360.0, -980.0)]",[0],[17.469696946961765],[867.1719651692309],[1.0],"[1742, 1742]","[0.00021826343061686514, 0.00021826343061686514]",[285]
[133],"[(227.5, -262.5)]","[0, 1, 2]","[28.629645632002035, 15.909090909090907, 16.17875572323585]","[144.90192306240908, 3850.040509042198, 1642.5630380571054]","[0.9999999999999996, 1.0, 1.0]","[1747, 1747]","[0.00021888990429831423, 0.00021888990429831423]",[268]
[141],"[(3377.5, -980.0)]",[0],[186.9587460279664],[150.87157373110014],[0.9998985688046446],"[14955, 14955]","[0.001873782781214247, 0.001873782781214247]",[253]
[236],"[(1767.5, -175.0)]",[0],[434.7496001248927],[719.965622632649],[0.9851275692777816],"[14955, 14955]","[0.001873782781214247, 0.001873782781214247]",[884]
