unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[78],"[(1067.5, -1487.5)]","[0, 1, 2]","[19.717858537693687, 26.92307692307692, 156.52475842498527]","[238.0971473206198, 1261.1086603107908, 767.9044965458237]","[0.9999999999999998, 1.0, 1.0]","[4429, 4429]","[0.0005549303870276094, 0.0005549303870276094]",[1604]
[62],"[(3780.0, -1890.0)]","[0, 1, 2, 3, 4, 5]","[14.563120803407005, 26.25, 30.100915081727933, 89.9954085146515, 325.66165379829397, 782.6237921249262]","[2991.222392466026, 3790.2968109569574, 1865.2626881572132, 3446.932168683813, 2896.6698604541707, 133.37157373110014]","[1.0, 1.0, 0.9999999999999998, 1.0, 1.0, 0.9999999999999998]","[5163, 5163]","[0.0006468967234643368, 0.0006468967234643368]",[4621]
[85],"[(2397.5, -245.0)]","[0, 1, 2, 3, 4, 5]","[13.021143306575679, 40.78414008984632, 11.342373798911975, 36.84210526315789, 65.99663291074444, 98.99494936611666]","[1487.8834884059936, 2448.883285691293, 1703.1042212386703, 1474.1443495848055, 448.5588734677566, 1128.553775345818]","[1.0, 0.80146124523507, 1.0, 1.0, 1.0, 1.0]","[5400, 5400]","[0.000676591575965024, 0.000676591575965024]",[4493]
[137],"[(3255.0, -1540.0)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[53.163752361196245, 23.104056526819555, 7.692307692307693, 32.01629786710168, 30.55399671793724, 20.595362950655957, 31.5646969450915, 22.201337984095098, 25.753937681885642, 20.203050891044217, 38.888888888888886, 85.18943329893298, 126.19429464123962, 57.55606857120181]","[3160.6011506370514, 468.98604010656976, 1696.1178465118, 2780.1021041486492, 736.4936357080517, 2374.966539525701, 874.4604060327936, 753.7563217435747, 534.299067944889, 589.734691098218, 2998.1532149120885, 2695.567278158697, 1968.7499226183654, 1589.117350919114]","[0.9965049538854546, 1.0, 1.0, 0.8348547611461367, 0.9999999999999998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998, 0.8973243717163205, 1.0, 0.931983261911863]","[3192, 3192]","[0.00039994079823710304, 0.00039994079823710304]",[1515]
[184],"[(3202.5, -1942.5)]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[41.195567193529705, 8.325785022605597, 17.013560698367954, 31.35322457671658, 10.297681475327979, 37.58697026494892, 33.19753190475873, 35.44303797468354, 39.42531269637735]","[2684.4314316623763, 3315.419104304831, 810.9671287535339, 3334.53983900179, 399.90293184779165, 3715.4518058706935, 2906.1448897874748, 3161.424539848712, 2255.459744901444]","[0.9991428153140184, 0.9999999999999998, 1.0, 1.0, 1.0, 0.9999707793984639, 1.0, 1.0, 1.0]","[2226, 2226]","[0.0002789060829811377, 0.0002789060829811377]",[336]
[140],"[(3622.5, -1592.5)]","[0, 1, 2, 3, 4, 5]","[12.962962962962962, 21.428571428571434, 104.34983894999017, 80.17149827589895, 159.0909090909091, 210.0]","[985.9764718435467, 3177.11997689319, 302.37172752264235, 2790.293647674896, 2612.9628288691956, 2794.700302676666]","[0.9999999999999998, 1.0, 0.9999999999999998, 1.0, 1.0, 1.0]","[7369, 7369]","[0.000923296911719678, 0.000923296911719678]",[5616]
[202],"[(3237.5, -1557.5)]","[0, 1, 2, 3]","[20.792079207920793, 11.901044957622934, 9.333333333333334, 282.842712474619]","[784.5770743631659, 305.9017276602828, 426.3118960624632, 222.73863607376248]","[1.0, 1.0, 1.0, 1.0]","[2465, 2465]","[0.00030885152495440445, 0.00030885152495440445]",[2284]
[242],"[(1855.0, -787.5)]",[0],[38.07498052542948],[970.536290368912],[1.0],"[3215, 3215]","[0.00040282257717176893, 0.00040282257717176893]",[3132]
[243],"[(1400.0, -315.0)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[31.818181818181813, 7.050664793918247, 38.070953308466365, 14.340260754686321, 31.940290499081666, 45.54959281144667, 42.443734381358276, 51.58502605410083, 95.45454545454545, 169.7749375254331]","[335.65594803123156, 771.8359391472875, 993.2070825698198, 351.71454111385606, 1309.67894244434, 2215.9496971741432, 280.98806622498455, 1610.4047779460711, 404.0401310861136, 199.64855594956475]","[1.0, 1.0, 0.8925226855763843, 1.0, 0.997117633868724, 0.8745415974125472, 1.0, 0.9152655484809845, 1.0, 1.0]","[4426, 4426]","[0.0005545545028187401, 0.0005545545028187401]",[3066]
[246],"[(3832.5, -1750.0)]","[0, 1, 2]","[70.0, 349.99999999999994, 1565.2475842498525]","[1163.04844943372, 3411.4117417755792, 1300.0080565119868]","[1.0, 0.9999999999999998, 0.9999999999999998]","[13227, 13227]","[0.0016572734769054393, 0.0016572734769054393]",[1244]
