unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[10],"[(2765.0, -735.0)]","[0, 1, 2, 3, 4]","[6.363636363636363, 37.234042553191486, 8.152331167967983, 24.748737341529164, 20.58823529411765]","[591.1587003724746, 252.59466981099055, 426.5102029768728, 596.5676497213661, 795.9863979442039]","[1.0, 0.9999999999999998, 1.0, 1.0, 1.0]","[4682, 4682]","[0.0005893209184066812, 0.0005893209184066812]",[4409]
[210],"[(1137.5, -122.5)]",[0],[50.47771785649584],[514.7192238403577],[1.0],"[1004, 1004]","[0.00012637296071770778, 0.00012637296071770778]",[632]
[208],"[(2467.5, -2047.5)]",[0],[25.60975609756097],[536.5260840078765],[1.0],"[1734, 1734]","[0.00021825768315189773, 0.00021825768315189773]",[335]
[211],"[(3062.5, -682.5)]","[0, 1, 2]","[553.3985905294662, 20.58823529411765, 391.3118960624631]","[511.68402741713203, 285.1985244636212, 765.1175875504501]","[1.0, 1.0, 0.9999999999999998]","[3947, 3947]","[0.0004968068485585584, 0.0004968068485585584]",[3868]
[212],"[(1557.5, -332.5)]","[0, 1, 2, 3]","[10.714285714285717, 164.9915822768611, 75.95194573506217, 27.498597046143516]","[506.48926198754964, 1123.2135751947944, 562.4667488625755, 1383.1140232642813]","[1.0, 1.0, 0.9999999999999996, 1.0]","[3935, 3935]","[0.0004952964147651197, 0.0004952964147651197]",[635]
