unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[15],"[(332.5, -385.0)]","[0, 1, 2]","[19.08271001825746, 47.98062834166198, 35.0]","[442.7188724235731, 344.3301433943044, 128.17971810589327]","[1.0, 0.9826033425757688, 1.0]","[6124, 6124]","[0.0007673049650388531, 0.0007673049650388531]",[2783]
[10],"[(3080.0, -1837.5)]",[0],[105.39159680788698],[200.36904841415847],[0.8389156518269975],"[9059, 9059]","[0.0011350450160494726, 0.0011350450160494726]",[5752]
[0],"[(3500.0, -577.5)]",[0],[82.47177114085704],[150.87157373110014],[0.9490714961071445],"[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[220]
[18],"[(2642.5, -437.5)]","[0, 1, 2]","[19.444444444444443, 296.2666397554569, 1099.2735041659932]","[89.65434844830907, 331.83067198592875, 383.7613592741956]","[0.9999999999999998, 0.9610842148853408, 0.9572343157562658]","[13462, 13462]","[0.0016867177399335468, 0.0016867177399335468]",[5318]
[1],"[(3500.0, -612.5)]","[0, 1, 2, 3, 4]","[118.1641484779394, 50.24692926782789, 58.72628365597257, 214.04926552552524, 753.8428341925261]","[343.16188331910803, 225.58698527828295, 220.40468537276075, 184.81090771213957, 281.17910687329436]","[0.8099640897460052, 0.754355844661301, 0.7729334361372024, 0.9655992288260727, 0.8111319073920843]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[13530]
[7],"[(3010.0, -1820.0)]","[0, 1, 2, 3, 4]","[100.81218574870675, 358.3730466293005, 594.6419932663418, 329.9831645537222, 426.9313659514949]","[266.7882033331655, 305.83824793675376, 391.54553191177473, 161.55214883813318, 123.94834428021885]","[0.8934148560654563, 0.9869707463625083, 0.8051662362060951, 1.0, 1.0]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[13205]
[5],"[(3080.0, -1820.0)]","[0, 1, 2, 3]","[647.3552432959647, 382.8815026312832, 40.992488187367876, 680.6446430099551]","[223.7114327840468, 115.0885963944758, 160.33985905294662, 841.4770075617103]","[0.9251420040075474, 0.9965220017992231, 1.0, 0.9843671836392631]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[4498]
[27],"[(805.0, -735.0)]","[0, 1, 2, 3, 4]","[19.82952033063861, 63.700961531204534, 33.209024905589374, 494.9747468305833, 360.77174224154527]","[216.6347645502828, 526.4633218471073, 1001.1036771486375, 2933.1202748174414, 282.8822535771742]","[1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999998]","[1735, 1735]","[0.0002173863674628364, 0.0002173863674628364]",[84]
[33],"[(2607.5, -437.5)]","[0, 1, 2, 3, 4, 5, 6, 7]","[512.5885932861689, 78.95771532751048, 612.4999999999999, 63.29030665003923, 115.7487480673029, 46.84333449543545, 302.77856914743256, 33.021510073273326]","[126.63118960624632, 571.7592643682497, 227.5, 2488.505743878572, 1224.3490146347044, 248.9281066698956, 454.50633027752724, 683.9518811189685]","[0.9896131566988267, 0.7769543707623585, 0.9999999999999998, 0.9900549818423905, 0.8020798732236794, 0.9973350957660779, 0.7783895769934677, 0.9089371284878981]","[1000, 1000]","[0.00012529473628981926, 0.00012529473628981926]",[854]
[63],"[(3622.5, -350.0)]","[0, 1, 2, 3, 4, 5]","[130.43729868748773, 58.333333333333336, 83.5284494042052, 167.8110772584245, 249.01038701127743, 367.3451365035234]","[694.7494025957915, 1281.867430773191, 247.83985905294662, 208.01111655402178, 262.5953663283208, 3181.0637075787163]","[1.0, 1.0, 0.9692073252774231, 0.9352486098044427, 1.0, 0.8958744313577383]","[11998, 11998]","[0.0015032862460052515, 0.0015032862460052515]",[4096]
[64],"[(3587.5, -1802.5)]","[0, 1, 2]","[14.766486643866534, 8.13953488372093, 349.99999999999994]","[282.34569553207814, 283.72173206215814, 211.08951059522462]","[1.0, 1.0, 0.9999999999999998]","[6137, 6137]","[0.0007689337966106207, 0.0007689337966106207]",[2740]
[68],"[(3692.5, -1470.0)]","[0, 1, 2, 3]","[119.7428185259619, 37.24887145390428, 276.6992952647331, 234.24034603569385]","[254.0729381471054, 1621.5182874892464, 238.08164116830233, 483.79710884981773]","[0.9732252021282034, 0.9968781231683079, 1.0, 0.9380196343793372]","[1740, 1740]","[0.0002180128411442855, 0.0002180128411442855]",[450]
[66],"[(892.5, -1557.5)]","[0, 1]","[27.45098039215686, -38.888888888888886]","[491.4558102577303, 3042.1663039085815]","[1.0, 0.9999999999999998]","[9808, 9808]","[0.0012288907735305472, 0.0012288907735305472]",[2683]
[93],"[(2782.5, -1452.5)]","[0, 1, 2]","[1106.7971810589324, 106.876654475261, 70.71067811865476]","[401.8221818343549, 1204.905844217238, 191.63978084332643]","[1.0, 0.9507139609681601, 1.0]","[1740, 1740]","[0.0002180128411442855, 0.0002180128411442855]",[626]
[87],"[(2957.5, -490.0)]","[0, 1, 2, 3]","[203.47070462297864, 123.74368670764582, 135.75493436394746, 269.5091154671443]","[1342.7378826756308, 220.40468537276075, 181.27349576651443, 196.7462120245875]","[0.796846978859896, 1.0, 0.9719930258447161, 0.8153344740159446]","[12735, 12735]","[0.0015956284666508481, 0.0015956284666508481]",[1117]
[110],"[(367.5, -1470.0)]","[0, 1]","[408.16663263917104, 535.7717422415454]","[119.54165815979276, 295.6351166980167]","[1.0, 0.9614687056486766]","[1007, 1007]","[0.000126171799443848, 0.000126171799443848]",[225]
[70],"[(3622.5, -1942.5)]","[0, 1, 2, 3]","[522.6739520182674, 506.31921635947424, 218.74999999999997, 262.1708245126284]","[769.1902234273161, 369.87235099695044, 112.24873734152916, 90.33985905294664]","[0.9728887157675912, 0.9501317338272166, 1.0, 0.831991369204431]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[8504]
[79],"[(577.5, -577.5)]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[674.1270231037938, 920.76292996997, 115.23915977856892, 124.42904282583943, 894.0562499865606, 669.8852156196277, 606.8152881900472, 543.9323936863109, 350.31581780309546]","[297.7684451326311, 329.56567066287107, 263.5895105952246, 161.55214883813318, 296.47711457933144, 470.3868505859755, 349.45946083424064, 303.17971810589324, 217.41420234386004]","[0.941651947114806, 0.9411048519648442, 1.0, 0.9711845374687077, 0.9340493742839292, 0.9217877022822523, 0.9432772933334078, 0.9593494483425421, 0.7521484037430266]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[7682]
[98],"[(332.5, -1452.5)]","[0, 1, 2, 3, 4, 5]","[563.2679851168535, 531.9036363183193, 275.6737717392071, 282.39528229316255, 352.9095422977034, 408.6575719566266]","[326.95321387240773, 191.52475842498527, 313.7464500449923, 291.72581160992445, 193.74368670764582, 340.32202426616135]","[0.9802384018591385, 0.9141495592990693, 0.7543708756266183, 0.9485270935033541, 0.9779381597356184, 0.9672268271417745]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[5040]
[121],"[(105.0, -1610.0)]","[0, 1]","[36.40110661046169, 33.87096774193548]","[1408.377505808683, 892.6822718910463]","[1.0, 1.0]","[9810, 9810]","[0.001229141363003127, 0.001229141363003127]",[4075]
[122],"[(332.5, -1470.0)]","[0, 1, 2]","[81.43153519541663, 93.64646959456527, 966.8901669930857]","[227.05964505366876, 126.79039550132192, 621.091707978559]","[0.8049637995532944, 1.0, 0.9692785829306404]","[9053, 9053]","[0.0011342932476317337, 0.0011342932476317337]",[2117]
[128],"[(3605.0, -507.5)]","[0, 1, 2, 3, 4]","[16.93548387096774, 33.877538239061025, 92.23309842157774, 70.0, 29.166666666666668]","[334.67902119044925, 3634.0171464122545, 353.3541204566586, 158.58951059522462, 512.4747468305833]","[1.0, 0.895701058832067, 1.0, 1.0, 1.0]","[6863, 6863]","[0.0008598977751570296, 0.0008598977751570296]",[97]
[124],"[(175.0, -507.5)]","[0, 1, 2]","[247.14355529453417, 38.888888888888886, 58.333333333333336]","[1169.7693738210996, 510.615098126188, 260.6177698153716]","[0.8696498615955116, 0.9999999999999998, 1.0]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[2599]
[126],"[(3465.0, -787.5)]","[0, 1]","[102.69122487529603, 251.39097537904772]","[155.9458189632772, 152.39356881873894]","[1.0, 0.9528298799384342]","[14200, 14200]","[0.0017791852553154335, 0.0017791852553154335]",[9072]
[133],"[(3307.5, -577.5)]","[0, 1, 2, 3, 4, 5]","[117.0685708455733, 782.6237921249262, 349.99999999999994, 29.116161578269605, 55.90169943749474, 327.21941631450926]","[1232.7181850142201, 133.60223826543927, 122.5, 502.4057795799955, 465.28403777225355, 2852.403767556228]","[0.8615557870543056, 0.9999999999999998, 0.9999999999999998, 1.0, 1.0, 1.0]","[4662, 4662]","[0.0005841240605831373, 0.0005841240605831373]",[789]
[160],"[(2607.5, -910.0)]",[0],[53.0034135314916],[148.9815788294029],[0.9362143742328761],"[1002, 1002]","[0.0001255453257623989, 0.0001255453257623989]",[693]
