unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[64],"[(210.0, -525.0)]","[0, 1, 2, 3, 4]","[16.21905837448666, 206.7753939185831, 50.465141369698074, 15.628725971258204, 357.86396751853056]","[102.22833692686612, 1485.6058970627648, 2792.1233246302236, 3643.8598500758367, 409.58094425285833]","[0.8841854102422466, 0.8722525557917687, 0.9989172810485307, 0.9166907341257251, 0.9999181642817033]","[3929, 3929]","[0.0004968201895636464, 0.0004968201895636464]",[312]
[227],"[(2310.0, -1785.0)]","[0, 1, 2]","[48.52693596378267, 87.5, 524.9999999999999]","[390.29574541288264, 784.2110233088034, 1402.2708138791563]","[1.0, 1.0, 0.9999999999999996]","[9813, 9813]","[0.0012408492034074986, 0.0012408492034074986]",[7992]
[1],"[(612.5, -1260.0)]",[0],[164.99158227686107],[249.02817407540746],[0.9999999999999996],"[14920, 14920]","[0.0018866269351716987, 0.0018866269351716987]",[7706]
[228],"[(2835.0, -1207.5)]","[0, 1, 2, 3, 4]","[10.297681475327979, 30.703978063110238, 22.360679774997894, 58.333333333333336, 1565.2475842498525]","[1055.0359587652458, 228.67910687329433, 149.8109077121396, 1385.301612076839, 1461.205346221617]","[1.0, 1.0, 1.0, 1.0, 0.9999999999999998]","[8315, 8315]","[0.0010514278127314125, 0.0010514278127314125]",[558]
[230],"[(1400.0, -1190.0)]","[0, 1, 2, 3, 4]","[45.1961372959177, 35.29089916943785, 107.9025647884268, 357.7914273843038, 21.864954075245173]","[382.04165815979275, 936.2682918255514, 860.1900768212647, 1723.6439833735658, 247.15434844830907]","[0.9177863139548195, 0.9996116670104065, 0.9832703186993584, 0.9530766444903521, 1.0]","[1006, 1006]","[0.00012720822364495503, 0.00012720822364495503]",[210]
[229],"[(1890.0, -490.0)]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[21.645078136925985, 16.524600275532173, 29.756538668574866, 9.316949906249123, 30.107526881720432, 20.487040027142136, 22.438186696393768, 33.333333333333336, 29.166666666666668]","[1335.3204873982675, 2133.739200000852, 2146.0767587077735, 175.81055893461277, 1439.249783528941, 1148.0252293375756, 2754.470637317235, 348.1177698153716, 962.6620231473544]","[0.9118519179900787, 1.0, 0.8721638741129063, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1730, 1730]","[0.0002187576808208471, 0.0002187576808208471]",[195]
[233],"[(420.0, -490.0)]","[0, 1, 2, 3, 4, 5, 6, 7]","[38.32241820899278, 11.797752808988763, 11.290322580645162, 18.027756377319946, 134.6291201783626, 1106.7971810589324, 29.166666666666668, 1443.086968966181]","[1850.7401228421752, 1470.0, 608.6587003724746, 775.4567826172865, 658.5984265057523, 1182.5626631161008, 1673.724999811318, 834.5600803260278]","[0.7700826218767687, 0.9999999999999998, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998]","[5405, 5405]","[0.0006834596906570397, 0.0006834596906570397]",[3650]
[234],"[(2450.0, -1190.0)]","[0, 1, 2, 3, 4, 5]","[17.053283059626974, 25.130769099961018, -17.29370595404582, 122.69147170070994, 51.574292105918865, 21.874999999999996]","[801.4229561611344, 1792.1011705263772, 227.69487058437846, 713.5780784859218, 243.99111420224978, 167.0200655430568]","[0.9999999999999998, 1.0, 1.0, 0.9316179630495682, 0.9916710835109548, 0.9999999999999998]","[3933, 3933]","[0.0004973259876695905, 0.0004973259876695905]",[1281]
[232],"[(1347.5, -927.5)]",[0],[400.4429819723791],[119.21978600072211],[0.9536227709273892],"[14920, 14920]","[0.0018866269351716987, 0.0018866269351716987]",[995]
[235],"[(2380.0, -367.5)]",[0],[26.051302464767538],[2160.6809108901184],[0.9999999999999998],"[14920, 14920]","[0.0018866269351716987, 0.0018866269351716987]",[319]
[236],"[(3552.5, -1365.0)]","[0, 1]","[41.63771454996942, 30.691129102938284]","[3530.9277571432194, 596.5106305361223]","[0.9967297253239622, 1.0]","[2462, 2462]","[0.0003113187342086275, 0.0003113187342086275]",[71]
[237],"[(805.0, -1907.5)]",[0],[301.8860639655376],[105.34588466214898],[0.9253694938210512],"[14920, 14920]","[0.0018866269351716987, 0.0018866269351716987]",[13269]
[241],"[(2607.5, -1662.5)]","[0, 1]","[35.0, 521.7491947499509]","[978.5671152422186, 2268.770311177132]","[1.0, 1.0]","[7589, 7589]","[0.0009596254565025483, 0.0009596254565025483]",[2047]
[252],"[(3587.5, -1365.0)]",[0],[16.778804977307907],[1924.939089343456],[1.0],"[2470, 2470]","[0.0003123303304205158, 0.0003123303304205158]",[412]
[250],"[(315.0, -980.0)]","[0, 1, 2, 3, 4, 5]","[13.334905795890755, 40.58467666380746, 44.32609673109701, 20.59536295065596, 100.5944330242494, 111.00668992047548]","[283.5119432350393, 1507.4524576732442, 1453.034968391827, 543.9083681712048, 1418.5935659529364, 300.32643263040177]","[1.0, 0.9990578983191806, 1.0, 1.0, 0.9969069767507114, 1.0]","[3934, 3934]","[0.0004974524371960765, 0.0004974524371960765]",[2502]
[251],"[(787.5, -87.5)]","[0, 1, 2]","[42.56912234842049, 7.0, 18.027756377319946]","[293.3850820118279, 1439.5862380074782, 1165.7360274622554]","[1.0, 1.0, 1.0]","[6868, 6868]","[0.0008684553479061144, 0.0008684553479061144]",[2851]
