unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[31],"[(1067.5, -612.5)]","[0, 1]","[53.5853633817965, 35.35533905932738]","[302.89820749184275, 401.7102738409444]","[0.8379163057294059, 1.0]","[2454, 2454]","[0.00032373388916005964, 0.00032373388916005964]",[183]
[30],"[(1627.5, -1190.0)]","[0, 1, 2, 3, 4, 5]","[17.676767676767675, 8.893452183237798, 40.07647449149138, 28.571428571428573, 45.351848071019006, 21.739549781247952]","[582.4747468305833, 1230.8028096425717, 985.9632991134705, 750.7027618571854, 126.79039550132192, 914.1311896062463]","[1.0, 1.0, 0.9296518000642675, 1.0, 1.0, 1.0]","[3204, 3204]","[0.000422674564331227, 0.000422674564331227]",[862]
[9],"[(472.5, -1995.0)]",[0],[277.0833117242322],[131.90308578983823],[0.891354041616726],"[14940, 14940]","[0.001970898249409654, 0.001970898249409654]",[5205]
[112],"[(2712.5, -1645.0)]","[0, 1, 2]","[530.4216972721912, 700.0, 116.66666666666667]","[740.7571221641218, 860.7488008591214, 1583.6277885281265]","[0.972287816534072, 1.0, 1.0]","[6142, 6142]","[0.0008102581692017466, 0.0008102581692017466]",[5119]
[123],"[(332.5, -332.5)]",[0],[32.407407407407405],[1013.0167475524146],[1.0],"[1737, 1737]","[0.0002291466036964236, 0.0002291466036964236]",[409]
[117],"[(560.0, -822.5)]","[0, 1]","[173.91639824998362, 247.48737341529164]","[95.76237921249263, 204.92226480880166]","[1.0, 1.0]","[14940, 14940]","[0.001970898249409654, 0.001970898249409654]",[9261]
[168],"[(2677.5, -1750.0)]","[0, 1, 2, 3, 4, 5]","[131.82902841773515, 85.13824469684099, 148.46387604851722, 26.92307692307692, 38.07498052542948, 105.0]","[2609.1029315982505, 1409.3016384248756, 1222.147076470822, 441.13014529185716, 2412.520973129524, 2049.7246368398323]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[10533, 10533]","[0.0013895228421038745, 0.0013895228421038745]",[519]
[201],"[(1050.0, -560.0)]",[0],[449.2612438363997],[345.4668557433712],[0.9826887331373321],"[14940, 14940]","[0.001970898249409654, 0.001970898249409654]",[3018]
[221],"[(3377.5, -892.5)]","[0, 1, 2, 3, 4]","[142.29523493180477, 33.333333333333336, 54.99719409228703, 60.20183016345587, 38.07498052542948]","[375.76237921249265, 1468.7963575874796, 530.0310323041676, 205.15076676508625, 3068.944033310564]","[1.0, 1.0, 1.0, 0.9999999999999998, 1.0]","[3196, 3196]","[0.0004216191971294012, 0.0004216191971294012]",[1128]
[223],"[(507.5, -1225.0)]","[0, 1, 2]","[152.37054512202985, 122.97746456210363, 280.0]","[1412.3070948777636, 700.7079710634488, 616.7174773134658]","[0.9666941307935788, 1.0, 1.0]","[1729, 1729]","[0.00022809123649459784, 0.00022809123649459784]",[453]
[226],"[(2590.0, -1365.0)]","[0, 1]","[34.5679012345679, 55.90169943749474]","[1167.1471413580432, 991.2862014646834]","[1.0, 1.0]","[1004, 1004]","[0.00013244858382913604, 0.00013244858382913604]",[515]
[230],"[(1662.5, -1242.5)]","[0, 1]","[122.9774645621036, 560.323824402066]","[94.47104865919295, 192.845884662149]","[1.0, 0.9790718643550036]","[14940, 14940]","[0.001970898249409654, 0.001970898249409654]",[8309]
[233],"[(2870.0, -1330.0)]",[0],[268.5896969940058],[814.985838562266],[0.9543734840664172],"[12743, 12743]","[0.0016810680316082477, 0.0016810680316082477]",[4352]
[242],"[(840.0, -507.5)]","[0, 1, 2, 3]","[37.12881857769069, 24.571189358846507, 22.34042553191489, 43.74999999999999]","[861.7836204643146, 1133.79085671018, 386.837030554499, 682.5]","[1.0, 0.9903827185286417, 0.9999999999999998, 0.9999999999999998]","[3205, 3205]","[0.00042280648523145524, 0.00042280648523145524]",[1622]
[236],"[(3325.0, -1102.5)]","[0, 1]","[503.3227519350951, 288.8423858827974]","[316.991682184314, 148.26237921249265]","[0.9697302284358722, 0.8180098944413846]","[14940, 14940]","[0.001970898249409654, 0.001970898249409654]",[12019]
[239],"[(1627.5, -1172.5)]",[0],[368.9802615211377],[385.51134966447984],[0.9390690819117694],"[14940, 14940]","[0.001970898249409654, 0.001970898249409654]",[3960]
[251],"[(595.0, -770.0)]","[0, 1, 2, 3, 4]","[35.05397073367767, 74.24621202458749, 41.190725901311914, 782.6237921249262, 63.49035276087697]","[921.3111357873657, 470.99865373099965, 477.7073065804591, 1122.5776580577337, 3140.5033742609185]","[1.0, 1.0, 1.0, 0.9999999999999998, 0.9917477908174329]","[1004, 1004]","[0.00013244858382913604, 0.00013244858382913604]",[176]
[253],"[(787.5, -87.5)]","[0, 1]","[24.051449482769687, 12.280701754385964]","[1538.9216271943274, 2830.89542901733]","[1.0, 1.0]","[1745, 1745]","[0.0002302019708982494, 0.0002302019708982494]",[615]
[254],"[(787.5, -87.5)]","[0, 1, 2]","[93.91485505499116, 72.11102550927978, 123.74368670764582]","[206.62641030661268, 3189.1442615848723, 948.7752521126151]","[1.0, 1.0, 1.0]","[2476, 2476]","[0.00032663614896508055, 0.00032663614896508055]",[615]
[256],"[(280.0, -647.5)]","[0, 1, 2, 3, 4, 5]","[29.116161578269605, 25.34484387624258, 22.335409175935514, 47.59372565678685, 11.475409836065573, 82.49579113843055]","[1192.5338906298186, 566.8014696090255, 386.34250752371486, 1343.858947656381, 990.9550198623364, 408.5537008321021]","[1.0, 1.0, 0.8996304537272071, 1.0, 1.0, 1.0]","[4660, 4660]","[0.00061475139506352, 0.00061475139506352]",[1819]
