unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[27],"[(3692.5, -1522.5)]","[0, 1, 2, 3, 4, 5]","[38.23380167934718, 60.86956521739131, 111.00668992047548, 131.18972445147102, 262.49999999999994, 260.87459737497545]","[2677.0588167026717, 507.5, 2874.9966558213087, 745.620197619594, 2474.4645951169477, 743.4926025186801]","[0.9476692309159059, 1.0, 1.0, 1.0, 0.9999999999999996, 1.0]","[3195, 3195]","[0.0004003166824459725, 0.0004003166824459725]",[333]
[53],"[(2975.0, -2065.0)]","[0, 1, 2, 3]","[33.333333333333336, 224.76517374695663, 38.888888888888886, 699.9999999999999]","[1001.4538367519884, 1819.4679484900566, 1493.529301877168, 2173.642674029979]","[1.0, 0.9753452054416486, 0.9999999999999998, 0.9999999999999998]","[6124, 6124]","[0.0007673049650388531, 0.0007673049650388531]",[2399]
[60],"[(3255.0, -1540.0)]","[0, 1, 2, 3, 4, 5]","[31.716197120135853, -700.0, 19.088385173778686, 101.03320266853287, 30.100915081727933, 120.90294101628801]","[890.4738930830927, 2345.067306696661, 3333.038443916847, 1622.484677322041, 909.5692976874584, 617.8844911063896]","[1.0, 0.9230769230769229, 1.0, 0.9998454628661214, 0.9999999999999998, 0.9975031434047388]","[3925, 3925]","[0.0004917818399375406, 0.0004917818399375406]",[1963]
[81],"[(700.0, -1312.5)]",[0],[349.99999999999994],[3097.9971189728453],[0.9999999999999998],"[14687, 14687]","[0.0018402037918885754, 0.0018402037918885754]",[3610]
[71],"[(1242.5, -770.0)]","[0, 1]","[119.03321587745552, 377.17747350910383]","[165.8382479367538, 305.19895378805813]","[0.9999999999999998, 0.9997367601829362]","[14687, 14687]","[0.0018402037918885754, 0.0018402037918885754]",[10380]
[120],"[(332.5, -2012.5)]","[0, 1]","[10.033638360575978, 123.74368670764582]","[2347.0753505425546, 490.7221807908313]","[1.0, 1.0]","[1731, 1731]","[0.00021688518851767713, 0.00021688518851767713]",[1326]
[131],"[(2852.5, -1435.0)]","[0, 1, 2]","[1749.9999999999998, 349.99999999999994, 349.99999999999994]","[3327.6948243894226, 327.1066052266973, 805.0]","[1.0, 0.9999999999999998, 0.9999999999999998]","[12479, 12479]","[0.0015635530141606545, 0.0015635530141606545]",[1922]
[136],"[(3780.0, -840.0)]",[0],[19.565594803123158],[263.240537916396],[1.0],"[7589, 7589]","[0.0009508617537034383, 0.0009508617537034383]",[1228]
[154],"[(2467.5, -647.5)]","[0, 1, 2, 3]","[20.325168576988467, 61.87184335382291, 20.030840419244385, 58.333333333333336]","[475.0346036110559, 136.99747468305833, 1929.9460967538619, 753.3531513120827]","[1.0, 1.0, 1.0, 1.0]","[6140, 6140]","[0.0007693096808194902, 0.0007693096808194902]",[4510]
[190],"[(2852.5, -1837.5)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[13.291139240506329, 52.174919474995086, 25.000000000000004, -58.333333333333336, 1484.9242404917495, 195.65594803123156, 195.65594803123156, -408.16663263917104, 349.99999999999994, 1261.942946412396]","[461.0416135475063, 1062.1608749934344, 957.463430139705, 632.2458824587603, 2007.580443346218, 1903.1071148799608, 1801.4255038454996, 126.79039550132192, 945.6601424323284, 730.1662966597269]","[1.0, 0.9999999999999998, 1.0, 1.0, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 1.0, 0.9999999999999998, 0.9999999999999998]","[10522, 10522]","[0.0013183512152414782, 0.0013183512152414782]",[8143]
[206],"[(2922.5, -1645.0)]","[0, 1, 2, 3]","[20.792079207920793, 6.9306930693069315, 26.223871628320804, 26.087459737497547]","[1906.7352746727252, 434.44492736796644, 249.05214883813318, 970.7765426353016]","[1.0, 1.0, 0.9527798180706386, 1.0]","[2467, 2467]","[0.0003091021144269841, 0.0003091021144269841]",[273]
[233],"[(3255.0, -1592.5)]",[0],[31.818181818181813],[747.3596352966667],[1.0],"[2945, 2945]","[0.0003689929983735177, 0.0003689929983735177]",[1557]
[229],"[(3255.0, -1837.5)]","[0, 1, 2, 3, 4]","[17.5, 29.116161578269605, 26.92307692307692, 123.5294117647059, 415.80798460952275]","[227.5, 1222.128064425625, 3444.582085828115, 661.1587003724746, 792.7244308074431]","[1.0, 1.0, 1.0, 1.0, 0.9870310746965641]","[5410, 5410]","[0.0006778445233279222, 0.0006778445233279222]",[2030]
[246],"[(3657.5, -1785.0)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[29.787234042553187, 35.82209510832371, 16.21446032546271, 23.65518761782641, -88.18094412201538, 24.81656941819893, 67.12032413796192, 28.379414898946983, 39.131189606246316, 23.7158724886341]","[2248.877070860224, 1068.9120341151258, 2625.535685029275, 2980.5536398461277, 316.96233396484024, 3718.892519122464, 293.82876243967496, 3556.433438207894, 3516.8676560653043, 903.5674220722391]","[1.0, 0.753236630453508, 1.0, 1.0, 1.0, 0.9609538992250388, 0.9999999999999996, 1.0, 1.0, 1.0]","[2455, 2455]","[0.00030759857759150627, 0.00030759857759150627]",[1956]
[257],"[(3657.5, -1785.0)]","[0, 1, 2, 3, 4, 5, 6, 7]","[11.650496642725606, 38.1596573815259, 23.333333333333332, 29.10511017014931, 59.56404822574372, 12.622964389111713, 50.00000000000001, 82.49579113843055]","[2420.4957735752855, 933.0061294377307, 580.4077197522143, 918.1951705947463, 3867.9489497791187, 2107.3913279834283, 3050.2453758038114, 2832.0525055854123]","[1.0, 0.9994242461357701, 1.0, 1.0, 0.9595394008905782, 1.0, 1.0, 1.0]","[4657, 4657]","[0.0005834975869016883, 0.0005834975869016883]",[3424]
[276],"[(3692.5, -1522.5)]","[0, 1, 2]","[20.58823529411765, 31.818181818181813, 1443.086968966181]","[1872.8301592978, 584.2947159245576, 1364.0763662187317]","[1.0, 1.0, 0.9999999999999998]","[11759, 11759]","[0.0014733408040319847, 0.0014733408040319847]",[333]
[280],"[(2957.5, -2065.0)]","[0, 1, 2]","[28.98606637499727, 36.217664402237794, 349.99999999999994]","[1283.731686163109, 739.476435330775, 89.65434844830907]","[1.0, 1.0, 0.9999999999999998]","[1746, 1746]","[0.00021876460956202443, 0.00021876460956202443]",[721]
[303],"[(2257.5, -507.5)]","[0, 1, 2, 3, 4]","[26.087459737497543, 30.100915081727933, 23.333333333333332, 164.99158227686107, 260.87459737497545]","[117.39356881873894, 1580.1251869988384, 1080.5439783941208, 372.2604734282995, 1167.8472743680434]","[0.9999999999999998, 0.9999999999999998, 1.0, 1.0, 1.0]","[8101, 8101]","[0.0010150126586838258, 0.0010150126586838258]",[4497]
[289],"[(3500.0, -1382.5)]","[0, 1, 2, 3]","[174.99999999999997, 705.1514807375211, 138.15789473684208, 70.0]","[2700.826866215259, 2255.9147890002446, 248.6147232753398, 1008.2225898302713]","[0.9999999999999998, 1.0, 0.9868421052631579, 1.0]","[13226, 13226]","[0.0016571481821691496, 0.0016571481821691496]",[7843]
[307],"[(3500.0, -1382.5)]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[44.59771076241091, 11.378729812197317, 54.398379327599336, 160.07810593582124, 1399.9999999999998, 60.20183016345587, 1565.2475842498525, 2884.92424049175, 125.5680488092632]","[576.9491363769803, 511.84204315986005, 1784.6864114200196, 1917.3558955583067, 1435.4486442191812, 2225.2307413192966, 2003.023728055512, 2133.3941829512582, 2012.692862245528]","[0.9998968728019589, 1.0, 1.0, 1.0, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998, 0.999711232818165, 0.9253694938210509]","[5400, 5400]","[0.000676591575965024, 0.000676591575965024]",[1660]
[310],"[(2520.0, -210.0)]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[9.705387192756534, 45.43680704932576, 15.797066388210103, 9.66202212499909, 38.6307331456865, 65.57572910554758, 30.504587155963304, 23.018346827203715, 168.25905952165283]","[1190.3578955935218, 861.866481081721, 1266.3032576394355, 1286.0599165188955, 2356.0516028192696, 2201.531512481553, 1090.5110916634972, 853.3984982954752, 542.1645459814046]","[1.0, 0.9952684715185052, 1.0, 1.0, 1.0, 0.8409877246633822, 0.8279816513761468, 1.0, 1.0]","[2217, 2217]","[0.0002777784303545293, 0.0002777784303545293]",[1572]
[320],"[(2852.5, -1435.0)]","[0, 1, 2, 3, 4, 5]","[44.63880581542004, 30.74436614052591, 38.888888888888886, 131.18972445147102, 553.3985905294662, 721.5434844830905]","[784.4909998013942, 395.1283962345296, 1054.7474744293447, 703.1258216545071, 791.3807886214048, 2295.756437402176]","[0.8055913125578199, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998]","[4663, 4663]","[0.0005842493553194272, 0.0005842493553194272]",[334]
[323],"[(3325.0, -1277.5)]","[0, 1, 2, 3]","[16.22868022395355, 84.07202470392018, 43.75, 103.07764064044153]","[556.9974746830583, 1118.7536470198468, 1386.7530681995827, 2746.6788388951622]","[1.0, 0.9517970325608165, 1.0, 1.0]","[2462, 2462]","[0.00030847564074553503, 0.00030847564074553503]",[1262]
[322],"[(3692.5, -1522.5)]","[0, 1]","[34.305708851751334, 60.092521257733154]","[3665.03802689074, 777.3887544391691]","[0.9605477839606394, 1.0]","[6866, 6866]","[0.000860273659365899, 0.000860273659365899]",[333]
[321],"[(3657.5, -1785.0)]","[0, 1, 2, 3]","[72.15434844830907, 74.23193802425861, 212.1320343559643, 349.99999999999994]","[3891.2461907584675, 2873.7954591285593, 278.329528344173, 1180.9539097016263]","[1.0, 1.0, 1.0, 0.9999999999999998]","[8813, 8813]","[0.0011042225109221772, 0.0011042225109221772]",[5588]
[327],"[(2187.5, -507.5)]","[0, 1, 2, 3, 4, 5, 6, 7]","[30.062063215247594, 33.57279292394428, 17.38658998754435, 31.0126582278481, 16.604512452794687, 29.985449093019387, 60.362774003729655, 53.84615384615384]","[1991.1445728783112, 1804.275772511275, 565.2694465744971, 2170.5982032119455, 539.1486151263604, 926.1510342843446, 597.5382096814767, 2137.445585741013]","[0.9545260966261296, 0.9975342883148377, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999998, 1.0]","[4683, 4683]","[0.0005867552500452236, 0.0005867552500452236]",[4566]
[334],"[(437.5, -1435.0)]","[0, 1, 2, 3, 4]","[64.07642758162609, 21.75763700711028, 24.137931034482758, 27.669929526473318, 32.5528582664392]","[1720.7695495971636, 243.2706747878923, 158.74368670764582, 196.42936964817125, 2200.428726675918]","[0.8311384016282688, 1.0, 1.0, 1.0, 1.0]","[4668, 4668]","[0.0005848758290008763, 0.0005848758290008763]",[382]
[337],"[(665.0, -0.0)]","[0, 1]","[53.08413460933711, 61.48873228105182]","[374.8892964777007, 707.9914039115537]","[1.0, 1.0]","[3925, 3925]","[0.0004917818399375406, 0.0004917818399375406]",[2129]
[340],"[(297.5, -402.5)]","[0, 1, 2, 3, 4]","[22.307592433653834, 77.46771517513677, 99.09535422536943, 304.13812651491105, 77.91450347726231]","[1048.9080317434687, 1707.0827217850988, 225.18924400735628, 278.8033558116507, 826.647732220105]","[0.9939625759735183, 1.0, 0.995026459544788, 1.0, 0.9400099343935852]","[2457, 2457]","[0.0003078491670640859, 0.0003078491670640859]",[441]
[344],"[(175.0, -927.5)]","[0, 1, 2, 3]","[35.384103147970464, 14.010090899480161, 20.623947784607637, 42.84124629080118]","[911.9830614567887, 2691.1094335795215, 3474.851470987674, 3376.9414419472496]","[0.7738127590521358, 1.0, 1.0, 0.9617422636710469]","[7355, 7355]","[0.0009215427854116206, 0.0009215427854116206]",[5478]
[342],"[(3587.5, -1365.0)]",[0],[793.7184335382291],[176.24368670764582],[0.8089831847599145],"[14687, 14687]","[0.0018402037918885754, 0.0018402037918885754]",[4802]
[350],"[(577.5, -157.5)]","[0, 1]","[44.99770425732575, 26.92307692307692]","[1670.9647885688485, 1005.1265741665724]","[1.0, 1.0]","[4421, 4421]","[0.000553928029137291, 0.000553928029137291]",[2048]
[352],"[(2712.5, -1295.0)]","[0, 1, 2, 3]","[20.687589285449118, 34.0552978787364, 23.333333333333332, 31.818181818181813]","[350.1184879906125, 1287.221260083906, 2152.78686597375, 1119.4443044001816]","[1.0, 1.0, 1.0, 1.0]","[8335, 8335]","[0.0010443316269756434, 0.0010443316269756434]",[4172]
[351],"[(3272.5, -735.0)]",[0],[377.9494437529472],[319.9942075012557],[0.9794872177951088],"[14687, 14687]","[0.0018402037918885754, 0.0018402037918885754]",[13345]
[358],"[(1050.0, -1522.5)]",[0],[2213.594362117865],[135.42845544742244],[1.0],"[14687, 14687]","[0.0018402037918885754, 0.0018402037918885754]",[10273]
