,burstFrequency,percSpikesinBursts,SPB_mean,SPB_std,SPB_CV,SPB_median,SPB_P10,SPB_P90,SPBch_mean,SPBch_std,SPBch_CV,SPBch_median,SPBch_P10,SPBch_P90,burstDur_mean,burstDur_std,burstDur_CV,burstDur_median,burstDur_P10,burstDur_P90,burstPeak_mean,burstPeak_std,burstPeak_CV,burstPeak_median,burstPeak_P10,burstPeak_P90,IBI_mean,IBI_std,IBI_CV,IBI_median,IBI_P10,IBI_P90,burstISI_mean,burstISI_std,burstISI_CV,burstISI_median,burstISI_P10,burstISI_P90,nonburstISI_mean,nonburstISI_std,nonburstISI_CV,nonburstISI_median,nonburstISI_P10,nonburstISI_P90,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
1,0.4,46.42,2029.08,657.01,0.32,1886.0,1306.8,3062.6,2.05,0.66,0.32,1.91,1.32,3.09,0.27,0.03,0.11,0.26,0.25,0.29,5.73,1.82,0.32,5.33,3.73,8.63,2.5,1.15,0.46,2.22,1.26,4.07,27.2,28.6,1.05,17.9,6.5,59.1,166.5,286.17,1.72,60.8,15.8,444.5,2024-12-26,M06792,1,000067,HET_80K,#f7c19b,25.11.2024,0,Run #000067,32
2,0.46,55.09,2294.57,889.32,0.39,2056.5,1323.9,3666.5,2.33,0.9,0.39,2.09,1.34,3.72,0.28,0.03,0.1,0.28,0.26,0.31,6.39,2.45,0.38,5.69,3.75,10.36,2.16,0.92,0.43,1.83,1.35,3.49,28.91,30.02,1.04,18.8,7.2,63.3,163.82,282.88,1.73,63.3,12.8,415.4,2024-12-26,M06792,2,000067,HET_80K,#f7c19b,25.11.2024,0,Run #000067,32
3,0.33,33.95,1653.94,707.0,0.43,1413.0,949.0,2779.6,1.7,0.73,0.43,1.45,0.98,2.85,0.26,0.03,0.1,0.26,0.24,0.29,4.82,1.92,0.4,4.18,2.88,7.92,3.07,1.52,0.5,2.77,1.36,5.0,31.91,33.53,1.05,20.0,6.1,74.6,212.04,334.75,1.58,102.0,24.4,492.4,2024-12-26,M06792,3,000067,WT_100K,#8cdee2,25.11.2024,0,Run #000067,32
4,0.42,32.64,2797.14,1504.43,0.54,2285.0,1675.3,4575.3,2.85,1.53,0.54,2.33,1.71,4.66,0.31,0.13,0.43,0.26,0.22,0.48,7.13,1.85,0.26,6.59,5.28,10.08,2.36,1.19,0.5,2.01,1.15,3.98,39.67,53.92,1.36,19.4,5.3,99.7,159.9,240.1,1.5,77.6,10.2,400.2,2024-12-26,M06792,4,000067,WT_100K,#8cdee2,25.11.2024,0,Run #000067,32
5,0.51,39.69,2399.24,1362.35,0.57,2129.0,1602.8,3075.0,2.46,1.39,0.57,2.18,1.64,3.15,0.29,0.13,0.44,0.25,0.23,0.34,6.41,1.51,0.24,6.13,4.83,8.22,1.95,0.79,0.41,1.78,1.17,2.96,28.51,47.04,1.65,14.1,4.6,64.1,129.93,224.39,1.73,37.2,7.2,418.1,2024-12-26,M06792,5,000067,WT_60K,#bdccff,25.11.2024,0,Run #000067,32
6,0.49,49.47,2673.01,794.63,0.3,2637.5,1744.4,3502.2,2.69,0.8,0.3,2.65,1.75,3.52,0.28,0.06,0.23,0.26,0.25,0.32,7.34,1.7,0.23,7.37,5.03,9.58,2.02,0.72,0.36,1.89,1.15,3.06,26.35,37.17,1.41,14.3,5.0,58.6,135.36,222.68,1.65,49.0,8.7,403.8,2024-12-26,M06792,6,000067,WT_60K,#bdccff,25.11.2024,0,Run #000067,32
