,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
3714,5,1588.97,1932,1.98,0.23,5.68,1.73,22.68,1.0,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3715,5,1590.7,1933,1.98,0.28,5.69,1.61,26.48,1.0,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3716,5,1592.31,2014,2.06,0.25,6.01,1.89,17.97,1.24,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3717,5,1594.2,2462,2.52,0.27,7.1,1.31,20.91,1.06,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3718,5,1595.51,2985,3.06,0.34,8.36,1.42,19.03,1.78,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3719,5,1596.93,1530,1.57,0.26,4.74,2.5,33.31,1.0,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3720,5,1599.43,1607,1.64,0.26,5.0,2.1,28.34,1.15,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3721,5,1601.53,9997,10.23,1.0,11.01,2.16,50.1,1.81,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3722,5,1603.69,1726,1.77,0.29,5.12,1.91,37.42,1.2,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3723,5,1605.6,1761,1.8,0.31,4.83,1.61,31.9,1.1,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3724,5,1607.21,4237,4.34,0.62,6.48,1.94,63.07,1.72,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3725,5,1609.15,2264,2.32,0.25,6.56,1.31,22.8,0.99,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3726,5,1610.46,2392,2.45,0.28,7.25,2.14,22.75,1.22,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3727,5,1612.6,2166,2.22,0.26,6.18,1.37,27.06,1.01,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3728,5,1613.97,2437,2.49,0.23,7.13,1.82,13.96,1.17,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3729,5,1615.79,2091,2.14,0.25,6.13,1.49,18.26,1.15,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3730,5,1617.28,1785,1.83,0.24,5.29,1.24,24.22,0.9,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3731,5,1618.52,2122,2.17,0.27,6.43,2.11,23.83,1.27,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3732,5,1620.63,2228,2.28,0.23,6.73,1.11,19.55,1.04,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3733,5,1621.74,1534,1.57,0.21,4.88,1.19,25.28,0.85,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
3734,5,1622.93,2304,2.36,0.25,6.98,2.19,18.25,0.99,2024-12-26,M06792,5,000067,N/A,N/A,N/A,N/A,N/A,N/A
