Run_ID,DIV,Assay,Well,NeuronType,Time,Chip_ID,mean_IBI,cov_IBI,mean_Burst_Peak,cov_Burst_Peak,Number_Bursts,burstRate,mean_Spike_per_Burst,cov_Spike_per_Burst,mean_Burst_Peak_Abs,cov_Burst_Peak_Abs,mean_BurstDuration,cov_BurstDuration,BaselineFiringRate,IBI_List,Burst_Peak_List,Abs_Burst_Peak_List,Burst_Times_List,SpikesPerBurst_List,LogISI_NumBursts,LogISI_MeanBurstDur,LogISI_CV_BurstDur,LogISI_MeanSpikes,LogISI_CV_Spikes,LogISI_MeanIBI,LogISI_CV_IBI,LogISI_BurstIBIList,LogISI_BurstPeaks,LogISI_BurstDuration
6,5,Network Today,1,MxHEMI,20-May-2024 10:06:26,M07039,15.4473684210526,61.4466436561845,4.36486723883578,104.06003413202,20,0.0666666666666667,2203.4,102.320392317109,4469.62405256784,104.06003413202,0.550000000000008,0,0.638471353317553,"21,7.9,21.8,13.3,5.1,11.3,13.7,24.3,22.2,3.3,39.5,15.2,17.2,32.1,10.3,4.3,10.9,9.2,10.9","14.6441,3.9478,2.4697,4.4859,3.7445,1.552,1.5271,1.6109,15.1373,1.586,2.8479,14.054,1.7745,2.7933,2.745,1.5677,2.3139,2.0387,5.0763,1.3808","14995.5074,4042.5851,2528.9483,4593.6003,3834.3473,1589.2264,1563.7841,1649.5947,15500.5971,1624.084,2916.29,14391.2604,1817.0583,2860.3347,2810.8754,1605.2934,2369.4105,2087.5854,5198.1206,1413.9778","0.5,0.4,0.5,0.4,0.5,0.6,0.5,0.7,0.5,0.6,0.6,0.5,0.6,0.4,0.5,0.8,0.6,0.6,0.5,0.7","7349,1673,1135,1915,1842,839,740,1049,7600,850,1589,7060,998,1223,1335,1135,1287,1110,2473,866",3,0.701933333333424,14.4759098094071,14.6117724407284,3.7120007804332,91.6889499999997,41.5396251221563,"118.6207,64.7572","14.6441,15.1373,14.054","0.7291,0.5895,0.7872"
6,5,Network Today,2,MxWT,20-May-2024 10:06:26,M07039,NaN,NaN,8.47412058563019,0,1,0.00333333333333333,4043,0,8677.49947968532,0,0.5,0,0.963483813485754,,8.4741,8677.4995,0.5,4043,1,0.344000000000051,0,8.47412058563019,0,NaN,NaN,,8.4741,0.344
6,5,Network Today,3,FxHET,20-May-2024 10:06:26,M07039,58.5,76.1194489067203,5.4033831300784,49.1093703264906,4,0.0133333333333333,2524.75,45.7115842474057,5533.06432520028,49.1093703264906,0.5,0,0.526732541268464,"7.1,83,85.4","1.4235,6.7396,6.7726,6.6778","1457.6317,6901.3812,6935.1657,6838.0787","0.6,0.5,0.4,0.5","814,3286,2860,3139",3,0.268266666666629,9.21821652695781,6.73002133865898,0.715162186884751,84.1855999999998,2.00879553971979,"82.9898,85.3814","6.7396,6.7726,6.6778","0.2911,0.242,0.2717"
6,5,Network Today,4,MxHEMI,20-May-2024 10:06:26,M07039,22.025,56.1086447075541,5.10355850901751,87.1250417459018,13,0.0433333333333333,2494.15384615385,85.2446435164115,5226.04391323393,87.1250417459018,0.523076923076921,0,0.370846239235368,"24.5,25.7,16.4,5.3,25.2,15.3,14.6,21.5,23.3,17.6,56.7,18.2","12.4079,2.199,6.2069,4.4418,1.8126,1.8054,3.7206,12.6135,1.7356,3.6186,1.3863,12.5674,1.8306","12705.7113,2251.7803,6355.8459,4548.4475,1856.0801,1848.7431,3809.9229,12916.2297,1777.3012,3705.4097,1419.5285,12869.068,1874.5027","0.5,0.7,0.4,0.4,0.4,0.7,0.6,0.5,0.5,0.5,0.6,0.5,0.5","6015,1387,2649,1885,762,1115,2030,5998,886,1727,796,6269,905",3,0.650599999999637,6.36226157127129,12.5296253384914,0.861040753663802,123.06435,4.4697382804433,"126.9539,119.1748","12.4079,12.6135,12.5674","0.6474,0.6935,0.6109"
6,5,Network Today,5,MxWT,20-May-2024 10:06:26,M07039,NaN,NaN,8.38360156888889,0,1,0.00333333333333333,4153,0,8584.80800654222,0,0.5,0,0.79019400726005,,8.3836,8584.808,0.5,4153,1,0.441899999999805,0,8.38360156888889,0,NaN,NaN,,8.3836,0.4419
6,5,Network Today,6,FxHET,20-May-2024 10:06:26,M07039,54.35,82.738403281528,4.54740800435822,84.1664640666867,5,0.0166666666666667,2227.4,70.505329257129,4656.54579646282,84.1664640666867,0.580000000000007,0,0.65158189516137,"74.2,18.4,16.3,108.5","8.8688,1.6039,8.5992,1.6088,2.0563","9081.6237,1642.4177,8805.5514,1647.4422,2105.694","0.5,0.7,0.4,0.7,0.6","4344,1041,3484,1073,1195",2,0.305699999999433,23.593356781506,8.73397224878133,2.18271024107475,92.7098999999998,0,92.7099,"8.8688,8.5992","0.3567,0.2547"
2,5,Network Today,1,MxWT,20-May-2024 09:10:38,M07420,50.4,61.7657593517855,4.40865292627744,125.269030496274,5,0.0166666666666667,2595.6,95.6155878751445,4514.46059650809,125.269030496274,0.780000000000004,0,0.880793590096721,"9.4,61.4,47.3,83.5","2.0478,2.1885,1.8548,14.2817,1.6705","2096.9726,2241.005,1899.3079,14624.4703,1710.5472","0.8,0.9,0.9,0.5,0.8","1462,1811,1491,7018,1196",1,0.549800000000005,0,14.2817092922846,0,NaN,NaN,,14.2817,0.5498
2,5,Network Today,2,MxWT,20-May-2024 09:10:38,M07420,180,0,11.4254633509644,6.18159151020789,2,0.00666666666666667,5195.5,16.2094923759634,11699.6744713876,6.18159151020789,0.450000000000017,0,0.734405123496275,180,"11.9249,10.9261","12211.0725,11188.2764","0.5,0.4","5791,4600",2,0.530100000000061,2.08090280823865,11.4254633509644,6.18159151020789,179.923,0,179.923,"11.9249,10.9261","0.5223,0.5379"
2,5,Network Today,3,MxWT,20-May-2024 09:10:38,M07420,58,130.205179708144,8.2310998789554,68.6896266713897,3,0.01,4177.66666666667,55.1083953650483,8428.64627605033,68.6896266713897,0.666666666666667,0,0.766385430025996,"4.6,111.4","1.7168,11.8615,11.115","1757.9694,12146.1976,11381.7718","1,0.5,0.5","1528,5689,5316",2,0.484450000000038,6.4952527119288,11.4882662987097,4.59479231286183,111.4003,0,111.4003,"11.8615,11.115","0.5067,0.4622"
2,5,Network Today,4,FxHET,20-May-2024 09:10:38,M07420,24.7818181818182,58.292837220299,3.17902688581799,135.107930355181,12,0.04,1688.75,127.494869639895,3255.32353107762,135.107930355181,0.583333333333326,0,0.530154049711012,"12.2,25,15.9,20,9.5,33.8,6.9,40.2,38,52.1,19","2.0534,1.7171,1.6392,1.9675,1.8862,1.6582,1.931,2.0968,16.8009,1.9833,2.428,1.9865","2102.6953,1758.351,1678.5658,2014.747,1931.4858,1698.0163,1977.3379,2147.1064,17204.1684,2030.8995,2486.2955,2034.2135","0.5,0.6,0.6,0.5,0.7,0.6,0.6,0.6,0.5,0.6,0.6,0.6","992,985,906,969,1216,905,1080,1192,8513,1085,1343,1079",1,0.710900000000038,0,16.8009457073008,0,NaN,NaN,,16.8009,0.7109
