unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density
[6],"[(2135.0, -910.0)]",[0],[102.0439199244989],[405.6704963743472],[0.9485481862626063],[13060],[0.0021813247037945614]
[16],"[(3272.5, -297.5)]",[0],[266.2448278742169],[206.99747468305833],[0.9640244892439902],[13060],[0.0021813247037945614]
[12],"[(1977.5, -1942.5)]","[0, 1]","[68.46269020029894, 450.6946806583785]","[324.497696763147, 261.7819563713325]","[0.8716608549186878, 0.9376695414808353]",[13060],[0.0021813247037945614]
[29],"[(2187.5, -1242.5)]","[0, 1, 2]","[459.1306112253647, 536.8793408265554, 335.49618138812696]","[274.404693641923, 151.72581160992445, 162.87487631389214]","[0.980861330519447, 0.9335401360935016, 0.9329570173854554]",[13060],[0.0021813247037945614]
[36],"[(3675.0, -962.5)]",[0],[459.6510301695487],[186.21726068378047],[0.935381563792694],[13060],[0.0021813247037945614]
[43],"[(3395.0, -2012.5)]",[0],[341.0166807800323],[221.3799269477755],[0.9763547119708454],[13060],[0.0021813247037945614]
[4],"[(1732.5, -1610.0)]","[0, 1, 2, 3]","[475.73102635350153, 340.3278112399377, 53.72288871635182, 355.90119665612616]","[311.0222331080436, 174.02475842498527, 379.3700321987067, 295.00276333734644]","[0.9815326042101927, 0.9235645665828516, 0.9065238648069526, 0.9514279007804589]",[13060],[0.0021813247037945614]
[79],"[(2922.5, -1470.0)]",[0],[192.65101697178562],[922.6764940838301],[0.9387800877423679],[7037],[0.0011753431807505611]
[28],"[(2397.5, -910.0)]",[0],[78.23973185424862],[606.0394965595773],[0.8457611009534984],[4030],[0.000673104024218383]
[107],"[(2117.5, -1592.5)]",[0],[93.4805364055119],[326.8746439848197],[0.9882284127892469],[999],[0.0001678436231709046]
[20],"[(3185.0, -910.0)]","[0, 1, 2]","[104.00850159625566, 290.7821880230799, 244.8132614606941]","[665.8292704467269, 689.4027795885677, 685.6622822917534]","[0.9369570755545382, 0.9648198718731067, 0.9956639314363481]",[13060],[0.0021813247037945614]
[85],"[(2187.5, -1242.5)]",[0],[681.4191478872757],[1016.186607558616],[0.9844655785085663],[4773],[0.0007972023592045514]
[70],"[(2275.0, -1802.5)]",[0],[133.92680112552898],[190.2334278716856],[0.8780722298084657],[13060],[0.0021813247037945614]
[60],"[(2170.0, -647.5)]","[0, 1]","[408.4873549441233, 395.57324423965497]","[268.73789420890154, 130.87740163083382]","[0.9375426995618261, 0.8077887582554609]",[13060],[0.0021813247037945614]
[80],"[(2135.0, -910.0)]",[0],[217.14845627036868],[1224.1773076645286],[0.8536955910515427],[13060],[0.0021813247037945614]
[98],"[(2712.5, -910.0)]",[0],[230.62151831462035],[925.2316059126379],[0.9556168267407906],[4023],[0.0006719348609008821]
[130],"[(2292.5, -1715.0)]",[0],[158.65724730455526],[800.2661140100494],[0.9677933159894938],[7783],[0.0012999425857299443]
[103],"[(3272.5, -280.0)]",[0],[375.329766446828],[280.15342271428995],[0.898727919535817],[13060],[0.0021813247037945614]
[140],"[(2800.0, -1347.5)]",[0],[76.39637864112774],[430.94321687595186],[0.9838649158623642],[13060],[0.0021813247037945614]
[99],"[(2170.0, -1260.0)]","[0, 1, 2]","[2458.507027146814, 106.65425483825685, 314.44816159002966]","[434.10407130299126, 756.3849764833825, 1526.8681050054377]","[0.9258650667013194, 0.8205004244028528, 0.9239199405721547]",[1737],[0.0002901195260712981]
[119],"[(2922.5, -1470.0)]",[0],[98.48223570501673],[530.9145771161628],[0.9616573909025569],[1759],[0.0002937940393548724]
[165],"[(1102.5, -1942.5)]",[0],[532.9004838398165],[116.37992694777549],[0.9410124821762922],[13060],[0.0021813247037945614]
[123],"[(2170.0, -1260.0)]","[0, 1]","[365.0996848592033, 1200.7372648677647]","[1092.696989122428, 426.00802472104954]","[0.9473988680656762, 0.9775839684407636]",[986],[0.0001661296097386323]
[200],"[(2310.0, -1382.5)]",[0],[53.84996025351064],[434.80357416168494],[0.9770196119523917],[11564],[0.001931457800511509]
[117],"[(2275.0, -1470.0)]","[0, 1]","[149.2867511427469, 70.6570690376582]","[950.7562489025435, 729.6378273040342]","[0.9419142021560754, 0.9813872609191779]",[2509],[0.0004190615376585417]
[186],"[(2292.5, -1715.0)]","[0, 1]","[153.0787796613113, 120.18923285215995]","[671.0996677626524, 575.148960197751]","[0.8293844694127035, 0.9983181213043546]",[7044],[0.001176512344068062]
[228],"[(1610.0, -1820.0)]",[0],[321.1185148527747],[921.5448666352717],[0.9339279371047092],[5517],[0.0009214677175217914]
[147],"[(2310.0, -1102.5)]","[0, 1]","[209.06879261130135, 333.1834048450915]","[259.8433593452073, 296.28185001018454]","[0.9096871992723012, 0.9852853796765578]",[13060],[0.0021813247037945614]
[208],"[(2432.5, -630.0)]",[0],[254.82282535577005],[611.1808569872867],[0.9109120623187634],[5523],[0.0009224698575082207]
[157],"[(2380.0, -1400.0)]","[0, 1, 2]","[50.03429534007972, 141.249105372329, 223.1683550150684]","[293.63725552638476, 852.527583822873, 1118.5741450712017]","[0.8263471877626347, 0.9313294618821459, 0.9773894828896977]",[1750],[0.00029229082937522833]
