path,electrodes
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16657/Network/000176/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16850/Network/000188/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16873/Network/000207/data.raw.h5,"Spike sorting in docker failed with the following error:
write_binary_recording:   0%|          | 0/300 [00:00<?, ?it/s]
write_binary_recording:   0%|          | 1/300 [00:23<1:56:59, 23.48s/it]
write_binary_recording:  18%|█▊        | 55/300 [00:46<1:07:37, 16.56s/it]
write_binary_recording:  36%|███▋      | 109/300 [01:09<37:18, 11.72s/it] 
write_binary_recording:  54%|█████▎    | 161/300 [01:33<19:19,  8.34s/it]
write_binary_recording:  71%|███████   | 213/300 [01:52<08:37,  5.95s/it]
write_binary_recording:  87%|████████▋ | 261/300 [02:09<02:46,  4.27s/it]
write_binary_recording: 100%|██████████| 300/300 [02:09<00:00,  2.31it/s]RUNNING SHELL SCRIPT: /mnt/disk15tb/adam/MEA_Analysis/Python/sorting/block_rec0000/sorting/block_rec0000/kilosort2_rec0000/sorter_output/run_kilosort2.sh
Time   0s. Determining good channels.. 

found 515756 threshold crossings in 300.00 seconds of data 

found 73 bad channels 

Time  46s. Computing whitening matrix.. 

Getting channel whitening matrix... 

Channel-whitening matrix computed. 

Time  48s. Loading raw data and applying filters... 

Time  82s. Finished preprocessing 92 batches. 

random seed for clusterSingleBatches: 1

Obtained 7 PC waveforms in 0.69 seconds 

time 0.64, pre clustered 1 / 92 batches 

time 0.19, compared 1 / 92 batches 

time 10.03, Re-ordered 92 batches. 

Time  12s. Optimizing templates ...

12.74 sec, 1 / 92 batches, 155 units, nspks: 80.7296, mu: 34.0242, nst0: 626, merges: 0.0000, 0.0000 

Elapsed time is 69.191648 seconds.

Finished learning templates 

Time  74s. Optimizing templates ...

74.67 sec, 1 / 46 batches, 804 units, nspks: 102.9000, mu: 47.3982, nst0: 2311 

Elapsed time is 94.637171 seconds.

Time  97s. Optimizing templates ...

97.41 sec, 1 / 46 batches, 804 units, nspks: 109.7000, mu: 47.3982, nst0: 2436 

Elapsed time is 115.053318 seconds.

Number of spikes before applying cutoff: 273446

Finished compressing time-varying templates 

initialized spike counts

merged 358 into 355 

merged 774 into 775 

merged 548 into 547 

merged 404 into 402 

merged 235 into 234 

merged 304 into 303 

merged 271 into 270 

merged 131 into 130 

merged 187 into 188 

merged 219 into 221 

merged 276 into 277 

merged 214 into 212 

merged 723 into 724 

merged 642 into 640 

merged 204 into 205 

merged 365 into 371 

merged 711 into 710 

merged 179 into 178 

merged 190 into 188 

merged 128 into 126 

merged 466 into 467 

merged 193 into 270 

merged 127 into 126 

merged 777 into 778 

merged 691 into 690 

Found 0 splits, checked 1/804 clusters, nccg 0 

Found 0 splits, checked 101/804 clusters, nccg 26 

Found 0 splits, checked 201/804 clusters, nccg 49 

Found 0 splits, checked 301/804 clusters, nccg 77 

Found 0 splits, checked 401/804 clusters, nccg 92 

Found 0 splits, checked 501/804 clusters, nccg 116 

Found 0 splits, checked 601/804 clusters, nccg 143 

Found 0 splits, checked 701/804 clusters, nccg 159 

Found 0 splits, checked 801/804 clusters, nccg 179 

Finished splitting. Found 0 splits, checked 804/804 clusters, nccg 179 

Found 0 splits, checked 1/804 clusters, nccg 0 

Found 0 splits, checked 101/804 clusters, nccg 26 

Found 0 splits, checked 201/804 clusters, nccg 50 

Found 0 splits, checked 301/804 clusters, nccg 78 

Found 0 splits, checked 401/804 clusters, nccg 98 

Found 0 splits, checked 501/804 clusters, nccg 121 

Found 0 splits, checked 601/804 clusters, nccg 147 

Found 1 splits, checked 701/805 clusters, nccg 162 

Found 1 splits, checked 801/805 clusters, nccg 184 

Finished splitting. Found 1 splits, checked 805/805 clusters, nccg 185 

----------------------------------------Error using /

Matrix dimensions must agree.
Error running kilosort2

Traceback (most recent call last):
  File ""/mnt/disk15tb/adam/MEA_Analysis/Python/sorting/block_rec0000/sorting/block_rec0000/in_container_sorter_script.py"", line 19, in <module>
    sorting = run_sorter_local(
  File ""/home/miniconda3/lib/python3.8/site-packages/spikeinterface/sorters/runsorter.py"", line 174, in run_sorter_local
    SorterClass.run_from_folder(output_folder, raise_error, verbose)
  File ""/home/miniconda3/lib/python3.8/site-packages/spikeinterface/sorters/basesorter.py"", line 269, in run_from_folder
    raise SpikeSortingError(
spikeinterface.sorters.utils.misc.SpikeSortingError: Spike sorting error trace:
Traceback (most recent call last):
  File ""/home/miniconda3/lib/python3.8/site-packages/spikeinterface/sorters/basesorter.py"", line 234, in run_from_folder
    SorterClass._run_from_folder(sorter_output_folder, sorter_params, verbose)
  File ""/home/miniconda3/lib/python3.8/site-packages/spikeinterface/sorters/external/kilosortbase.py"", line 215, in _run_from_folder
    raise Exception(f""{cls.sorter_name} returned a non-zero exit code"")
Exception: kilosort2 returned a non-zero exit code

Spike sorting failed. You can inspect the runtime trace in /mnt/disk15tb/adam/MEA_Analysis/Python/sorting/block_rec0000/sorting/block_rec0000/kilosort2_rec0000/spikeinterface_log.json.
"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16867/Network/000202/data.raw.h5,"[17378, 13700, 10427, 13690, 12254, 13272, 12136, 6136, 17447, 11415, 10170, 7003, 20298, 20298, 17205, 12136, 15679, 7673, 11270, 8756, 21082, 7890, 8610, 16777, 15450, 19569, 3942, 7872, 10150, 10693, 4642, 14075, 8227, 11024, 16151, 23798, 7867, 18319, 14118, 11523, 22693, 11725, 21387, 26144, 25754, 22269, 22045, 20993, 23532, 6136, 3087, 444, 16771, 10312, 7009, 25779, 20424, 25795, 24894, 35, 22100, 22100, 5110, 6416, 23463, 1721, 21428, 3919, 15277, 11354, 13143, 21387, 26135, 13943, 3788, 21284, 10656, 14007, 23390, 23390, 13737, 19270, 6758, 11371, 4016, 1594, 20107, 21857, 23211, 25192, 19223, 6909, 11306, 20795, 3821, 4538, 2332, 26267, 20557, 20557, 9348, 18598, 26284, 17939, 25619, 11550, 12431, 13080, 23010, 22091, 18027, 19949]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16821/Network/000184/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230109/16742/Network/000180/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230111/16792/Network/000228/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230111/16940/Network/000232/data.raw.h5,
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230111/16787/Network/000224/data.raw.h5,"[14597, 11380, 12336, 11137, 9726, 11955, 10601, 11117, 20131, 9720, 5339, 14610, 14853, 10749, 17666, 14374, 14864, 1298, 5476, 17479, 16142, 21984, 12865, 14167, 8097, 5574, 15471, 9979, 12800, 18552, 880, 4099, 25264, 486, 9319, 19291, 20303, 24489, 20529, 21770, 11375, 16744, 14232, 25031, 14597, 14597, 21300, 406, 515, 12011, 21404, 2909, 10292, 21396, 2696, 13346, 3603, 4472, 2904, 17030, 10394, 20745, 2904, 17465, 8221, 24493, 8907, 1257, 20392, 3140, 15705, 25629, 55, 15978, 19861, 11549, 23369, 26032, 4700, 8918, 21629, 19946, 20328, 25610, 801, 8436, 25221, 5846, 529, 1896, 19472, 1430, 2287, 22976, 13295, 18843, 2089, 1231, 2085, 22566, 1884, 21219, 2956, 2983, 4487, 18803, 4487]"
/mnt/disk15tb/jonathan/Syngap3/Syngap3/230111/16869/Network/000236/data.raw.h5,"[8429, 15576, 14448, 15970, 14208, 14911, 16934, 15106, 11199, 15388, 17997, 8342, 8126, 12469, 11069, 15271, 12439, 10428, 9877, 16947, 15439, 8792, 15010, 4179, 12277, 14605, 12614, 11754, 5801, 8321, 20055, 20724, 6560, 10523, 15601, 20724, 10809, 6840, 16995, 18443, 5217, 12111, 17645, 15837, 17766, 13856, 8799, 13358, 20228, 6743, 18745, 23312, 8403, 5454, 17638, 443, 8107, 18576, 1577, 20260, 16475, 22623, 6978, 6004, 14395, 7890, 22, 21629, 22711, 15883, 7508, 24610, 9503, 17689, 4852, 21079, 26388, 10428, 5985, 10691, 447, 21989, 15101, 16365, 13900, 4242, 656, 19539, 18844, 15058, 2241, 18424, 5996, 607, 20961, 830, 24242, 13950, 22727, 19420, 20191, 3699, 23140, 19746, 25545, 18214, 3120, 2266, 18629, 14224, 3782, 23435, 5429, 5603, 22383, 22357, 22755, 25442, 20360, 26080, 12614, 24808, 17681, 719, 26017, 25137, 19904, 8443, 19292, 4566, 15501, 19645, 20753, 19723, 3141, 25590, 5560, 1169, 24269, 5801, 6715, 21267, 8212, 1614, 7591, 14822, 4299, 8229, 22357, 15072, 3158, 6054, 20821, 11541, 25186, 22335, 26316, 4299, 19041, 5144, 20784, 17748, 25828, 16856, 9546, 11340, 19475, 21463, 6506, 17707, 6951, 18372, 13744, 22122, 981, 4501, 15067, 12636, 19264, 16821, 18582, 16172, 25643, 23858, 8025, 21890, 24735, 8229, 5156, 7597, 2109, 26051, 20591, 24990, 1214, 8170, 12144, 21989, 880, 19475, 17513]"
