,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
4046,6,317.52,1497,1.67,0.27,4.69,1.83,25.54,1.12,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4047,6,319.35,1108,1.24,0.29,3.55,1.36,29.04,1.11,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4048,6,320.71,1656,1.85,0.27,5.0,1.82,24.47,1.03,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4049,6,322.53,1571,1.76,0.25,4.85,1.83,23.26,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4050,6,324.36,1710,1.91,0.26,5.32,1.71,23.03,0.97,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4051,6,326.07,1132,1.26,0.32,3.33,1.49,38.41,1.11,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4052,6,327.56,1152,1.29,0.31,3.5,1.16,39.49,1.0,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4053,6,328.72,1627,1.82,0.25,5.09,1.44,21.28,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4054,6,330.16,1040,1.16,0.29,3.37,1.22,32.29,1.12,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4055,6,331.38,1268,1.42,0.31,3.94,1.38,35.57,0.98,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4056,6,332.76,1556,1.74,0.25,4.98,1.77,21.7,0.97,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4057,6,334.53,1542,1.72,0.26,4.7,1.53,25.3,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4058,6,336.06,1321,1.48,0.26,4.07,1.95,30.34,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4059,6,338.01,1390,1.55,0.28,4.13,2.04,28.27,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4060,6,340.05,1204,1.35,0.25,3.87,1.75,25.49,1.01,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4061,6,341.8,1636,1.83,0.26,5.18,1.33,24.22,1.05,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4062,6,343.13,1692,1.89,0.27,5.08,2.15,24.15,1.22,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4063,6,345.28,1497,1.67,0.27,4.85,3.37,19.16,1.13,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4064,6,348.65,1507,1.68,0.25,4.8,4.46,18.54,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4065,6,353.11,1279,1.43,0.24,3.99,1.22,24.45,0.92,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4066,6,354.33,945,1.06,0.36,2.97,2.12,32.75,1.08,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4067,6,356.45,1686,1.88,0.27,5.29,1.52,22.87,1.15,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4068,6,357.97,1138,1.27,0.27,3.74,1.9,24.75,0.92,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4069,6,359.87,1622,1.81,0.27,4.85,1.99,29.25,1.05,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4070,6,361.86,1421,1.59,0.26,4.48,1.56,26.47,0.93,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4071,6,363.42,1459,1.63,0.28,4.28,2.15,29.67,1.01,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4072,6,365.57,978,1.09,0.25,3.27,1.01,28.54,0.86,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4073,6,366.58,1577,1.76,0.27,4.98,1.87,25.9,1.26,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4074,6,368.45,1407,1.57,0.26,4.41,2.04,21.09,0.99,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4075,6,370.49,1785,1.99,0.25,5.63,1.98,19.52,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4076,6,372.47,922,1.03,0.27,3.08,1.34,23.82,1.03,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4077,6,373.81,1474,1.65,0.27,4.52,1.57,26.4,1.06,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4078,6,375.38,1266,1.41,0.28,4.16,1.89,24.98,1.09,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4079,6,377.27,1574,1.76,0.28,4.95,1.82,26.3,1.25,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4080,6,379.09,1559,1.74,0.28,4.62,1.72,30.12,1.15,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4081,6,380.81,1630,1.82,0.26,5.04,1.74,23.17,1.02,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4082,6,382.55,1417,1.58,0.26,4.38,1.49,26.03,1.0,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4083,6,384.04,1150,1.28,0.25,3.76,1.72,24.46,1.07,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4084,6,385.76,1613,1.8,0.26,5.06,1.87,21.15,1.04,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4085,6,387.63,1374,1.54,0.28,4.4,2.88,23.22,1.0,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4086,6,390.51,903,1.01,0.25,2.92,1.25,27.94,0.88,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4087,6,391.76,1216,1.36,0.3,3.68,1.34,34.93,1.14,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
4088,6,393.1,1565,1.75,0.25,5.0,1.94,19.61,1.17,2024-12-27,M06792,6,000110,N/A,N/A,N/A,N/A,N/A,N/A
