unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[20],"[(1365.0, -997.5)]","[0, 1, 2, 3, 4, 5]","[20.487040027142136, 12.5, 17.851567436434397, 340.1388605326425, 24.748737341529164, 43.74999999999999]","[463.4032885451111, 622.2587208634898, 1010.1729596522084, 335.5207792820036, 816.12807116318, 1185.289043449201]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.9999999999999998]","[999, 999]","[0.00014503760687948648, 0.00014503760687948648]",[343]
[4],"[(3080.0, -1417.5)]",[0],[523.0495168499706],[152.15066040393822],[1.0],"[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[12446]
[1],"[(3080.0, -1417.5)]","[0, 1, 2, 3]","[69.17482381618328, 933.3333333333334, 546.7174773134658, 371.0868035875066]","[94.47104865919295, 250.67971810589327, 186.17684401142478, 165.92158510756823]","[1.0, 1.0, 1.0, 0.9908398176149339]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[10930]
[27],"[(1592.5, -507.5)]",[0],[360.8314553918801],[392.54371588616834],[0.8726999558059183],"[8582, 8582]","[0.0012394010235673217, 0.0012394010235673217]",[6864]
[28],"[(1592.5, -507.5)]","[0, 1, 2]","[6.862745098039215, 16.666666666666668, 21.874999999999996]","[1092.121681737727, 1030.23454073612, 488.37684164757985]","[1.0, 1.0, 0.9999999999999998]","[8584, 8584]","[0.0012396898609067688, 0.0012396898609067688]",[7623]
[26],"[(1732.5, -385.0)]","[0, 1]","[160.79413132688396, 390.35957981488485]","[160.33985905294662, 287.62240131113526]","[0.9605171037885405, 0.9494408481151629]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[9112]
[37],"[(2817.5, -1785.0)]","[0, 1]","[121.50290644543615, 191.65035800852056]","[1509.947497940946, 141.44834428021886]","[0.927513376122831, 0.9998427761749156]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[3041]
[35],"[(2047.5, -140.0)]","[0, 1, 2]","[332.0848947926567, 164.9915822768611, 158.11388300841898]","[180.25985389555098, 205.44329364633552, 250.99580708417824]","[0.9223224417231758, 1.0, 1.0]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[9951]
[53],"[(2817.5, -1785.0)]","[0, 1, 2]","[42.42424242424243, 378.85367937623687, 320.07983276541785]","[352.7211523745615, 1557.5587427587634, 298.94834428021886]","[1.0, 0.9102155835773452, 0.9866233860237178]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[3792]
[55],"[(2817.5, -1785.0)]",[0],[371.21861421272985],[1558.0722782685789],[0.8388033095640766],"[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[3035]
[71],"[(962.5, -560.0)]","[0, 1, 2, 3]","[18.421052631578945, 16.651570045211194, 174.99999999999997, 120.25724741384843]","[1470.4320329268255, 345.2561640856246, 1274.823546268024, 784.7289059508906]","[1.0, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[4782, 4782]","[0.0006906100786179133, 0.0006906100786179133]",[1098]
[76],"[(857.5, -717.5)]","[0, 1]","[85.8542628965636, 233.33333333333334]","[230.11721286367663, 604.2209588551708]","[0.9911243282528203, 1.0]","[995, 995]","[0.00014369657637491087, 0.00014369657637491087]",[475]
[80],"[(2135.0, -1627.5)]","[0, 1, 2]","[7.954545454545453, 15.579542548301186, 26.051302464767538]","[385.43722690376376, 523.4502726494266, 924.6724571865575]","[1.0, 0.9999999999999998, 0.9999999999999998]","[1756, 1756]","[0.00025359918403451606, 0.00025359918403451606]",[1642]
[89],"[(3202.5, -1522.5)]","[0, 1, 2]","[6.805424279347187, -1484.9242404917495, 52.548720119071085]","[550.2390549341045, 210.92558135295394, 630.5764569372502]","[1.0, 0.9999999999999998, 0.8915004554378033]","[2509, 2509]","[0.000362346442336333, 0.000362346442336333]",[1823]
[81],"[(2100.0, -1837.5)]",[0],[128.78699884328694],[408.89892485110977],[0.9884236401690691],"[11605, 11605]","[0.0016759786621415482, 0.0016759786621415482]",[8259]
[78],"[(1592.5, -262.5)]","[0, 1, 2]","[253.79144606270546, 341.4064328276123, 70.0]","[239.9694375430001, 213.1559480312316, 262.5]","[0.9968957824343759, 0.8986068910302263, 1.0]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[976]
[102],"[(2100.0, -1610.0)]","[0, 1, 2, 3, 4]","[12.746898448610063, 28.04317658694214, 8.181400774059227, 40.707836981045034, 100.3860271979829]","[169.54549160083866, 238.9699706902354, 1226.6895788020079, 376.75616324857583, 756.1239131791349]","[1.0, 1.0, 1.0, 0.9999999999999998, 0.8337966268417075]","[4782, 4782]","[0.0006906100786179133, 0.0006906100786179133]",[758]
[113],"[(1470.0, -1102.5)]","[0, 1, 2, 3, 4, 5, 6]","[37.36266326150035, 19.79898987322333, 32.42892065092542, 729.4633165223437, 195.65594803123156, 97.82797401561578, 38.888888888888886]","[1301.7403841248538, 490.2164633647525, 1173.6895787863102, 1096.4684006544949, 266.7431474622003, 676.1408049182916, 1323.9192474087329]","[0.9948413773885042, 1.0, 1.0, 0.8645430142758606, 0.9999999999999998, 0.9999999999999998, 0.9999999999999998]","[5535, 5535]","[0.0007993573369197303, 0.0007993573369197303]",[3409]
[116],"[(2135.0, -2065.0)]","[0, 1, 2, 3]","[21.91467493910666, 27.46048393420794, 48.91398700780789, 130.43729868748773]","[1272.734268988944, 218.26237921249265, 579.3684060214059, 680.4251479054765]","[0.9730564566455226, 1.0, 0.9999999999999998, 1.0]","[7056, 7056]","[0.0010190181335692171, 0.0010190181335692171]",[2729]
[134],"[(437.5, -332.5)]","[0, 1, 2]","[34.58741190809164, -349.99999999999994, 482.48549242498086]","[94.47104865919295, 158.74368670764582, 227.14327054955066]","[1.0, 0.9999999999999998, 0.9407310887726442]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[9588]
[147],"[(2362.5, -542.5)]",[0],[116.67259991857104],[621.1426343752395],[0.8043902093592857],"[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[2845]
[154],"[(2012.5, -822.5)]",[0],[70.71067811865476],[226.75480326166763],[1.0],"[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[4567]
[157],"[(1575.0, -87.5)]","[0, 1, 2]","[26.17788447912606, 70.0, 26.051302464767538]","[1419.1649102771928, 526.2054648812021, 1078.3882629858551]","[1.0, 1.0, 0.9999999999999998]","[7047, 7047]","[0.0010177183655417053, 0.0010177183655417053]",[5387]
[163],"[(1715.0, -1907.5)]","[0, 1, 2]","[256.52638290040835, 457.54019666256113, 349.99999999999994]","[447.2144850746029, 351.26010018511806, 119.54165815979276]","[1.0, 0.9819474414397775, 0.9999999999999998]","[9341, 9341]","[0.0013490147938874798, 0.0013490147938874798]",[5505]
[174],"[(2257.5, -1645.0)]","[0, 1, 2]","[25.000000000000004, 68.06517779396695, 95.57340032557418]","[475.51883149058403, 493.91229655966686, 719.3054901438561]","[1.0, 0.8287196328029661, 0.9957649869179358]","[4030, 4030]","[0.0005820072389858199, 0.0005820072389858199]",[3844]
[173],"[(2310.0, -1872.5)]","[0, 1]","[33.79312516832344, 14.766486643866534]","[145.57953388646516, 1115.772378675288]","[1.0, 1.0]","[5540, 5540]","[0.000800079430268348, 0.000800079430268348]",[3923]
[188],"[(2135.0, -1627.5)]","[0, 1]","[118.41243324213126, 61.53989068129223]","[264.8198134506399, 106.73284148787373]","[0.8983624627032705, 1.0]","[1756, 1756]","[0.00025359918403451606, 0.00025359918403451606]",[842]
[191],"[(1225.0, -1085.0)]","[0, 1]","[-118.27593808913205, 186.7577902584581]","[230.19203098786465, 175.15182147569465]","[1.0, 1.0]","[11601, 11601]","[0.0016754009874626542, 0.0016754009874626542]",[7256]
[210],"[(2275.0, -1347.5)]","[0, 1, 2, 3]","[10.163945352271769, 14.010090899480161, 12.228496751951972, 29.347510381683634]","[578.2334526324739, 1274.0738333065572, 243.21450592583184, 2173.0630830646073]","[0.9999999999999996, 1.0, 0.9999999999999998, 0.9999999999999996]","[999, 999]","[0.00014503760687948648, 0.00014503760687948648]",[418]
[201],"[(630.0, -752.5)]","[0, 1, 2, 3]","[120.40366032691178, 61.02859818083952, 50.96283253876578, 1366.7936932836644]","[875.2332067839917, 416.6459721863474, 463.552448581465, 704.5536952139447]","[1.0, 1.0, 0.8359811731216521, 1.0]","[4028, 4028]","[0.0005817184016463728, 0.0005817184016463728]",[72]
[228],"[(3115.0, -1452.5)]",[0],[85.67307647713983],[2479.446088042233],[1.0],"[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[303]
[229],"[(1155.0, -665.0)]",[0],[152.920300010462],[595.5306748811842],[0.8851051421297993],"[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[280]
[225],"[(892.5, -717.5)]","[0, 1, 2, 3, 4]","[406.6901914503602, 148.69120605874514, 280.0966980871636, 284.32285776650417, 707.9000597102846]","[2822.311722131327, 281.70533455901307, 353.64319081426123, 240.15076676508622, 158.94834428021886]","[0.8828642691689316, 0.7704660048651835, 0.960926781711939, 0.9804684857129197, 0.879474109925907]","[13118, 13118]","[0.001894484109433247, 0.001894484109433247]",[3035]
[240],"[(1470.0, -1102.5)]","[0, 1, 2]","[22.49885212866288, -219.46390722056705, 34.42722712859317]","[549.6539317768019, 477.02871165328804, 1196.818308340864]","[1.0, 0.9763041778659198, 0.8278780035421424]","[6302, 6302]","[0.0009101264565976767, 0.0009101264565976767]",[3411]
[250],"[(1715.0, -70.0)]",[0],[23.026861136175025],[710.870518095994],[0.8928433677285506],"[2514, 2514]","[0.0003630685356849507, 0.0003630685356849507]",[935]
