unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[29],"[(2135.0, -927.5)]","[0, 1, 2, 3]","[30.206073847082184, 28.8659793814433, 37.608166099996794, 18.200553305230844]","[167.0200655430568, 246.44834428021886, 335.3776396512386, 234.78713763747788]","[1.0, 1.0, 0.85559701681301, 1.0]","[1733, 1733]","[0.0002497693992851378, 0.0002497693992851378]",[602]
[39],"[(2625.0, -1540.0)]","[0, 1, 2]","[31.548573660309906, 36.40110661046169, 70.0]","[445.302916507847, 236.7316191298974, 820.4048822868124]","[1.0, 1.0, 1.0]","[6824, 6824]","[0.0009752472417538444, 0.0009752472417538444]",[1636]
[27],"[(2257.5, -875.0)]","[0, 1, 2]","[34.58741190809164, 120.40366032691173, 58.333333333333336]","[1041.5700553053227, 288.9902843413578, 344.4269796147146]","[1.0, 0.9999999999999998, 1.0]","[6099, 6099]","[0.0008716343680329274, 0.0008716343680329274]",[1905]
[3],"[(1732.5, -1575.0)]","[0, 1, 2, 3, 4]","[624.5500484822877, 424.99811034995656, 336.0036048674131, 354.3169525588813, 368.93239368631095]","[181.2855380545554, 367.55268982749527, 198.7855380545554, 152.50859123708014, 199.64855594956475]","[0.8473193403008921, 0.9056374936974815, 0.9832886640793377, 0.819513331129401, 1.0]","[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[5163]
[57],"[(735.0, -1050.0)]","[0, 1, 2]","[43.662345318180165, 23.863636363636363, 99.69890265717396]","[1165.7562250838746, 325.8587386567329, 2157.7476169214647]","[0.9981962015219799, 1.0, 0.8986545217433846]","[2458, 2458]","[0.00035128337049105356, 0.00035128337049105356]",[292]
[73],"[(2362.5, -1610.0)]","[0, 1]","[39.602263667379795, 31.477908535380383]","[270.28160759380575, 324.52006554305683]","[0.868143501932036, 1.0]","[994, 994]","[0.00014326069410815174, 0.00014326069410815174]",[969]
[42],"[(2292.5, -1102.5)]","[0, 1, 2, 3]","[26.849849923668003, 35.651904349437146, 33.67277037278254, 55.61479709102309]","[1159.2873446614205, 1220.5452349343905, 371.9539938624352, 1015.4817902108119]","[1.0, 0.8430917519701873, 0.9999999999999998, 0.9913120252715597]","[3917, 3917]","[0.0005597953467101126, 0.0005597953467101126]",[504]
[58],"[(1802.5, -402.5)]","[0, 1, 2]","[17.79661016949153, 25.739469326951923, 74.24242424242425]","[1323.3904358755715, 885.2532581495029, 1735.9202800262553]","[1.0, 1.0, 1.0]","[5379, 5379]","[0.0007687360658549134, 0.0007687360658549134]",[2387]
[60],"[(1925.0, -1855.0)]","[0, 1, 2]","[20.872224368670363, 26.119402985074625, 12.829898231556168]","[510.4672176017507, 487.3280880578552, 749.7691072548896]","[1.0, 1.0, 1.0]","[4637, 4637]","[0.0006626936488881267, 0.0006626936488881267]",[3740]
[86],"[(3237.5, -262.5)]","[0, 1]","[14.493033187498636, 111.80339887498948]","[627.4019605952526, 786.3098705575295]","[1.0, 1.0]","[3190, 3190]","[0.00045589664437203453, 0.00045589664437203453]",[1421]
[100],"[(3185.0, -1347.5)]","[0, 1]","[37.121212121212125, 27.95084971874737]","[147.24873734152916, 375.2472273108426]","[1.0, 1.0]","[1724, 1724]","[0.00024638426799291144, 0.00024638426799291144]",[450]
[98],"[(2957.5, -1540.0)]","[0, 1, 2, 3]","[171.76554301671442, 50.03974962572396, 70.10794146735535, 32.99831645537222]","[221.64230718726287, 1370.0269166855087, 700.1067626326651, 418.0123257908032]","[0.9999999999999998, 0.9910082815160204, 1.0, 1.0]","[6106, 6106]","[0.0008726347681929915, 0.0008726347681929915]",[374]
[113],"[(2975.0, -875.0)]","[0, 1]","[29.135101893905006, 100.61792555081206]","[969.2772522935454, 686.3113322591447]","[0.9643851479747823, 1.0]","[8273, 8273]","[0.0011823300748870977, 0.0011823300748870977]",[3718]
[129],"[(2257.5, -1837.5)]","[0, 1, 2, 3]","[16.830619185482288, 14.50509133807352, 18.42105263157895, 96.47800956223438]","[1681.1133548181476, 238.0971473206198, 511.54579747225864, 1090.5885116122324]","[1.0, 0.9999999999999996, 1.0, 0.9365934293638306]","[2457, 2457]","[0.000351140456182473, 0.000351140456182473]",[927]
[117],"[(3657.5, -875.0)]",[0],[579.672456950797],[211.08951059522462],[0.998932821825923],"[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[9901]
[83],"[(3202.5, -910.0)]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[443.8022638329191, 312.91466935532316, 182.88078786708996, 152.78096538346978, 76.87921692972199, 186.80314523019914, 120.25724741384843, 190.7124104208448, 347.94505580114986, 248.8302106906631]","[468.7375891995339, 241.83500612853194, 471.97015935315795, 449.6100965680222, 129.24038412485382, 486.3299156004541, 161.80869689661813, 179.28820333316548, 198.77349576651443, 315.757599912859]","[0.9955974207578234, 0.9807504744917647, 0.968824212172624, 0.9767526310620226, 0.9326457005616762, 0.9654470280275277, 0.9999999999999998, 0.9727281781200867, 0.971830048702062, 0.9779347465780066]","[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[2469]
[133],"[(2380.0, -892.5)]","[0, 1, 2]","[30.671632738092313, 94.26163401956306, 391.3118960624631]","[1026.7001756168243, 161.4281066698956, 306.43446339458535]","[1.0, 0.9999999999999998, 0.9999999999999998]","[3196, 3196]","[0.000456754130223518, 0.000456754130223518]",[728]
[154],"[(2957.5, -1540.0)]","[0, 1, 2, 3]","[7.954545454545453, 86.95819912499181, 30.039421830410213, 368.93239368631095]","[554.428772787954, 378.9197267878293, 2002.2975644583346, 1777.5568169302055]","[1.0, 1.0, 1.0, 1.0]","[5381, 5381]","[0.0007690218944720746, 0.0007690218944720746]",[374]
[155],"[(1592.5, -490.0)]","[0, 1, 2, 3]","[32.74792385217968, 21.916775862553123, 14.725377234348791, 544.7120572010313]","[268.06123531863267, 204.9201022307471, 182.83406655420234, 165.13880548041257]","[0.7675316940130544, 1.0, 1.0, 0.9969997644558724]","[1739, 1739]","[0.0002485279826216201, 0.0002485279826216201]",[158]
[170],"[(2397.5, -875.0)]","[0, 1, 2, 3, 4]","[18.750000000000004, 85.50879430013615, 51.538820320220765, 97.30311075532732, 262.49999999999994]","[179.90192306240908, 1059.297684159368, 989.0274312683905, 1049.2366627682632, 612.7733707753742]","[1.0, 1.0, 1.0, 0.9999999999999998, 0.9999999999999996]","[1727, 1727]","[0.00024681301091865316, 0.00024681301091865316]",[689]
[190],"[(1785.0, -420.0)]","[0, 1, 2, 3, 4]","[11.864406779661017, 10.869774890623976, 44.35347678342452, 65.21864934374386, 402.4367844290081]","[493.2685317856739, 289.6930582135825, 867.0443277037444, 1788.7922678727286, 1211.4528286339378]","[1.0, 1.0, 1.0, 1.0, 0.7825661993695698]","[3185, 3185]","[0.00045518207282913166, 0.00045518207282913166]",[2193]
[177],"[(2362.5, -1575.0)]","[0, 1, 2, 3]","[87.05670837499328, 368.93239368631095, 282.35917396405114, 500.09979820003275]","[95.76237921249263, 127.4942075012557, 210.9692399174048, 265.6811857680926]","[0.9089371284878976, 1.0, 0.9827279715763001, 0.9896463029346517]","[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[1589]
[193],"[(3657.5, -1662.5)]","[0, 1, 2, 3]","[367.1712407852587, 430.6405989764502, 283.9764118478075, 159.60396535415438]","[167.3109077121396, 429.5224793976106, 180.3040373722854, 215.10042952365112]","[0.9999611774791808, 0.9524410023842236, 0.9993820901299828, 0.9089371284878979]","[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[10055]
[205],"[(3150.0, -87.5)]",[0],[175.0],[280.0],[1.0],"[7566, 7566]","[0.001081289658720631, 0.001081289658720631]",[883]
[214],"[(2170.0, -612.5)]","[0, 1, 2, 3, 4, 5]","[37.00222997349183, 25.154481387703015, 373.5155805169164, 180.38587112077263, 276.6992952647331, 174.99999999999997]","[213.2438590435337, 1199.6241611331764, 1392.5477432499451, 393.4116440853109, 247.35908743425972, 175.9692399174048]","[1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999998]","[2454, 2454]","[0.00035071171325673126, 0.00035071171325673126]",[867]
[207],"[(2222.5, -612.5)]","[0, 1]","[49.9547101356336, 149.86958425745595]","[134.89356881873897, 261.5512918369934]","[1.0, 0.8632833973200522]","[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[5282]
[209],"[(2222.5, -612.5)]",[0],[186.90008192882098],[1130.1448663715898],[0.9999999999999998],"[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[877]
[221],"[(2450.0, -1085.0)]","[0, 1, 2, 3]","[14.189707449473497, 39.81171879467196, 10.343794642724559, 19.764235376052373]","[450.15785509669337, 1060.6714955730758, 855.4433469076438, 628.5817364485187]","[1.0, 0.8732296583144082, 1.0, 1.0]","[4634, 4634]","[0.000662264905962385, 0.000662264905962385]",[3161]
[235],"[(3570.0, -1400.0)]",[0],[466.6666666666667],[157.5],[1.0],"[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[3550]
[260],"[(2257.5, -1802.5)]","[0, 1, 2, 3]","[34.116095986120726, 152.44621969077673, 256.37880384895186, 660.2815392965334]","[547.1525685407787, 134.89356881873894, 250.09718763155593, 150.87157373110014]","[0.9830700042556655, 0.9905662044478512, 0.8945219540024655, 0.9754568097496946]","[6111, 6111]","[0.0008733493397358944, 0.0008733493397358944]",[3183]
[266],"[(2257.5, -1802.5)]",[0],[253.4320992421518],[362.7104174982424],[0.9950299902057598],"[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[3192]
[308],"[(1470.0, -805.0)]","[0, 1, 2, 3]","[29.153272100326895, 27.292778579026873, -25.782154544841497, 212.93391142733003]","[1526.9194519538758, 341.79444138123307, 284.29316359085163, 1434.0042340587447]","[1.0, 0.9961910993986556, 0.9992561004633465, 0.9797421475242477]","[1731, 1731]","[0.00024738466815297545, 0.00024738466815297545]",[802]
[283],"[(2380.0, -227.5)]","[0, 1, 2]","[31.304951684997054, 19.369194366638318, 137.1756755950208]","[109.13118960624632, 269.7871376374779, 235.32989472007844]","[1.0, 0.9720492408881029, 0.9971117279182424]","[3188, 3188]","[0.0004556108157548734, 0.0004556108157548734]",[613]
[332],"[(2345.0, -892.5)]","[0, 1, 2, 3, 4]","[16.136573033503634, 16.953619724329442, 24.456993503903945, 19.088385173778686, -250.0]","[375.76237921249265, 623.3793319950986, 313.04951684997053, 680.930418337475, 140.0]","[1.0, 0.9967418450485709, 0.9999999999999998, 1.0, 0.824175824175824]","[6102, 6102]","[0.0008720631109586692, 0.0008720631109586692]",[3019]
[344],"[(2975.0, -875.0)]","[0, 1]","[21.739549781247952, 262.37944890294204]","[649.6279135941805, 250.757041176837]","[1.0, 1.0]","[6825, 6825]","[0.0009753901560624249, 0.0009753901560624249]",[3697]
[356],"[(1382.5, -1522.5)]","[0, 1, 2]","[36.8421052631579, 82.83598141113119, 38.888888888888886]","[736.028522807424, 473.29859040761494, 504.9935897014442]","[1.0, 1.0, 0.9999999999999998]","[3192, 3192]","[0.0004561824729891957, 0.0004561824729891957]",[1525]
[355],"[(1837.5, -2082.5)]","[0, 1, 2, 3]","[10.294117647058824, 65.59849208415669, 36.05551275463989, 67.22755590138254]","[98.09714732061981, 1499.120573754371, 313.659015927956, 749.5921057283865]","[1.0, 0.9971245694505958, 1.0, 0.9998464816639768]","[3927, 3927]","[0.0005612244897959184, 0.0005612244897959184]",[374]
[354],"[(2257.5, -1802.5)]","[0, 1, 2]","[72.41854022034138, 58.333333333333336, 110.67971810589327]","[151.18586376132117, 106.73284148787373, 254.87055844529579]","[1.0, 1.0, 1.0]","[11206, 11206]","[0.0016014977419539244, 0.0016014977419539244]",[3928]
[358],"[(2257.5, -1802.5)]","[0, 1]","[273.05705029587034, 279.91027284289737]","[456.8928423565392, 130.87740163083382]","[0.7727091196743135, 0.9198785120563762]","[11195, 11195]","[0.001599925684559538, 0.001599925684559538]",[2456]
[374],"[(1382.5, -1522.5)]","[0, 1, 2]","[33.333333333333336, 12.844036697247706, 62.82692274990255]","[262.5, 847.1261158911082, 1587.4939627242825]","[1.0, 1.0, 1.0]","[8286, 8286]","[0.0011841879608986451, 0.0011841879608986451]",[3327]
[365],"[(2905.0, -1540.0)]","[0, 1, 2]","[596.2230753336931, 292.81961554049656, 412.47895569215274]","[287.59687258199375, 211.58957136979478, 212.97652819551956]","[0.8882450887597265, 0.9402712036578837, 1.0]","[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[10925]
[378],"[(752.5, -997.5)]",[0],[19.313577234158743],[308.2782798767366],[0.967754636741387],"[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[22]
[409],"[(3185.0, -1347.5)]","[0, 1, 2, 3, 4, 5, 6]","[230.9358902367445, 745.2847075210475, 42.28646884585244, 12.297746456210364, 354.75505024432283, 130.43729868748773, 475.7383154507537]","[286.04153838449184, 335.221376265686, 180.22070020147095, 266.79316359085163, 290.17272799073817, 263.240537916396, 267.4019230624091]","[0.9632131718697876, 0.9526378109043699, 0.9984256897757863, 1.0, 0.990961287706437, 1.0, 0.9542171207791318]","[2454, 2454]","[0.00035071171325673126, 0.00035071171325673126]",[448]
[406],"[(2310.0, -1575.0)]","[0, 1, 2, 3, 4, 5, 6, 7]","[32.53506872351713, 27.196414661021063, 11.410280217102397, 9.906630280062359, 988.9782657090702, 25.154481387703015, 414.10947162624575, 273.606822993208]","[805.2856446646637, 449.2625033680656, 1317.2828054653428, 1186.2825527663133, 719.6543484483091, 1157.8398590529466, 317.0375045084229, 243.12771360858528]","[0.9680307413038408, 1.0, 1.0, 1.0, 0.9273915766385842, 1.0, 1.0, 1.0]","[5367, 5367]","[0.0007670210941519464, 0.0007670210941519464]",[5364]
[412],"[(1470.0, -805.0)]",[0],[43.479099562495854],[1378.767334236571],[1.0],"[1725, 1725]","[0.000246527182301492, 0.000246527182301492]",[674]
[414],"[(2362.5, -1592.5)]","[0, 1, 2, 3, 4]","[15.389548126980436, 27.792804512655103, 21.428571428571434, 59.23379082338596, 62.82017710126752]","[118.43700637356645, 1348.701795571672, 263.953304537905, 172.40721895886472, 1050.9734414436368]","[0.9999999999999996, 0.7989364316872576, 1.0, 1.0, 0.7560456130526149]","[3922, 3922]","[0.0005605099182530155, 0.0005605099182530155]",[635]
[419],"[(1925.0, -1855.0)]","[0, 1, 2, 3, 4]","[98.0, 27.95084971874737, 19.444444444444443, 524.9999999999999, 51.03847550220829]","[878.2488008591214, 525.6815467122708, 116.49494936611666, 176.24368670764582, 1091.637336787409]","[1.0, 1.0, 0.9999999999999998, 0.9999999999999996, 0.873381044726769]","[7551, 7551]","[0.0010791459440919226, 0.0010791459440919226]",[7387]
[426],"[(1470.0, -805.0)]","[0, 1, 2, 3, 4, 5, 6]","[13.176156917368248, 9.316949906249123, 12.829898231556168, 64.18261425968706, 84.9487235815834, 85.47979787590053, 31.548573660309906]","[1287.94127475877, 195.6559480312316, 332.48464535545, 169.54549160083866, 1506.4047938686986, 251.9234048135391, 908.3670746219524]","[1.0, 1.0, 1.0, 0.9948324483743944, 0.9656715703371289, 0.9870847906150131, 1.0]","[2459, 2459]","[0.00035142628479963413, 0.00035142628479963413]",[674]
[440],"[(2625.0, -1540.0)]","[0, 1, 2, 3]","[54.57644506122226, 19.178082191780824, 223.41143092737957, 553.3985905294662]","[946.4907087249617, 289.27437150747915, 1954.3182853392075, 142.83985905294662]","[0.9637798311166754, 1.0, 0.9601285111783471, 1.0]","[8993, 8993]","[0.0012852283770651118, 0.0012852283770651118]",[5271]
[424],"[(2065.0, -1680.0)]","[0, 1, 2]","[1324.3376139146162, 368.932393686311, 662.8400348417316]","[275.74454442570743, 315.4960621310205, 321.9926953834247]","[0.8555717912591233, 1.0, 0.9418718976634313]","[11927, 11927]","[0.001704538958440519, 0.001704538958440519]",[5836]
[443],"[(1172.5, -1312.5)]","[0, 1, 2]","[144.08353754460492, 13.145239025129126, 51.57668844681566]","[759.1511913120913, 2514.0969433222435, 721.7978621687587]","[0.9991030809866123, 0.9999999999999996, 0.9349808768090638]","[5384, 5384]","[0.0007694506373978163, 0.0007694506373978163]",[254]
[450],"[(1470.0, -770.0)]",[0],[473.8335543316144],[201.5331126686554],[0.9949661578395652],"[10472, 10472]","[0.0014965986394557824, 0.0014965986394557824]",[2696]
