unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[6],"[(210.0, -1470.0)]",[0],[25.769410160110382],[346.07267569203333],[1.0],"[1729, 1729]","[0.00027110272680500773, 0.00027110272680500773]",[282]
[14],"[(752.5, -262.5)]",[0],[134.6153846153846],[112.24873734152916],[0.9999999999999998],"[11967, 11967]","[0.0018763946394884485, 0.0018763946394884485]",[8744]
[0],"[(1645.0, -1907.5)]",[0],[239.0782625288242],[124.65434844830907],[0.7706381194572979],"[11967, 11967]","[0.0018763946394884485, 0.0018763946394884485]",[9597]
[13],"[(2205.0, -2012.5)]",[0],[524.9999999999999],[122.5],[0.9999999999999996],"[11967, 11967]","[0.0018763946394884485, 0.0018763946394884485]",[5241]
[7],"[(2345.0, -332.5)]","[0, 1, 2]","[225.00000000000014, 224.76886685698818, 409.774388116488]","[2257.9822311480584, 2502.5665117416456, 270.67558167275877]","[0.9642857142857143, 0.9980214526555504, 0.9266999395357891]","[11967, 11967]","[0.0018763946394884485, 0.0018763946394884485]",[555]
[29],"[(2835.0, -980.0)]","[0, 1]","[133.81246037061055, 198.29520330638604]","[1281.9521298834932, 106.73284148787373]","[0.9032526322686222, 0.9999999999999996]","[11967, 11967]","[0.0018763946394884485, 0.0018763946394884485]",[5]
[60],"[(1960.0, -1890.0)]","[0, 1, 2]","[24.503754807977504, 37.37412975651051, 31.304951684997054]","[631.1968237269803, 542.1192829837828, 857.3380705355135]","[0.9541855797354392, 0.889794740153727, 1.0]","[6119, 6119]","[0.0009594433691844084, 0.0009594433691844084]",[1878]
[73],"[(1855.0, -1697.5)]","[0, 1, 2, 3]","[57.9895603093179, 15.49750083415696, 9.61116013263269, 14.766486643866534]","[772.1987447791015, 432.6103720105329, 1363.8628158268364, 417.7140735299652]","[0.8445372205691118, 1.0, 1.0, 1.0]","[6852, 6852]","[0.0010743758727980988, 0.0010743758727980988]",[874]
[100],"[(1470.0, -1102.5)]","[0, 1, 2, 3]","[34.93921855192236, 17.526985366838836, 43.45976781866549, 349.99999999999994]","[958.6515219701099, 683.298727454047, 1282.4321482458238, 362.65395115803034]","[0.9911165160333204, 1.0, 0.9676290077699029, 0.9999999999999998]","[995, 995]","[0.000156910054662259, 0.000156910054662259]",[613]
[99],"[(1855.0, -1697.5)]","[0, 1, 2, 3]","[23.54887619274325, 521.7491947499509, 96.20579793107875, 20.58823529411765]","[1570.480116586882, 351.62111786922554, 447.8952831360271, 525.0]","[1.0, 1.0, 1.0, 1.0]","[7591, 7591]","[0.0011902491608888454, 0.0011902491608888454]",[874]
[92],"[(2975.0, -857.5)]",[0],[160.79925803337233],[1831.2903128785372],[1.0],"[11967, 11967]","[0.0018763946394884485, 0.0018763946394884485]",[11309]
[120],"[(1610.0, -245.0)]","[0, 1, 2, 3]","[27.433542313312966, 20.58823529411765, 46.79918944638985, 73.70480307245155]","[1171.6914148504497, 1337.4455481193154, 613.0937737475576, 216.4630453449272]","[1.0, 1.0, 0.8365061554775696, 0.9848938141050932]","[1727, 1727]","[0.00027078913197932234, 0.00027078913197932234]",[956]
[123],"[(1207.5, -472.5)]",[0],[58.13208967416584],[141.44834428021886],[0.9768544998661369],"[994, 994]","[0.00015585662836563197, 0.00015585662836563197]",[330]
[140],"[(455.0, -297.5)]","[0, 1]","[46.75293157854567, 16.666666666666668]","[339.59428713207194, 236.77437150747917]","[0.7525716596967765, 1.0]","[3199, 3199]","[0.0005015949236837592, 0.0005015949236837592]",[338]
[141],"[(2397.5, -1575.0)]",[0],[17.391639824998364],[354.61692620934537],[1.0],"[4667, 4667]","[0.0007317735257368253, 0.0007317735257368253]",[3549]
[142],"[(175.0, -1767.5)]","[0, 1, 2]","[44.25207627081968, 61.76470588235295, 817.7131795286061]","[887.7390941466796, 367.98573660309904, 1711.9691883800326]","[0.9655207551397653, 1.0, 0.9508414406877327]","[5392, 5392]","[0.0008454516500477742, 0.0008454516500477742]",[360]
[160],"[(227.5, -1767.5)]",[0],[258.29759060460634],[163.17971810589327],[0.9622345665988631],"[11967, 11967]","[0.0018763946394884485, 0.0018763946394884485]",[7681]
