unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[54],"[(3430.0, -35.0)]","[0, 1]","[269.46586927817987, 70.10794146735535]","[429.86108050088205, 1113.6803187068742]","[0.9905763111644197, 1.0]","[996, 996]","[0.00014015276440246428, 0.00014015276440246428]",[405]
[58],"[(2467.5, -1330.0)]","[0, 1, 2, 3]","[74.23193802425861, 97.82797401561578, 35.57380873295119, 120.25724741384843]","[238.9699706902354, 981.6760441523141, 549.3394804052101, 422.5915753520728]","[1.0, 0.9999999999999998, 1.0, 0.9999999999999998]","[3193, 3193]","[0.0004447435246760053, 0.0004447435246760053]",[2901]
[21],"[(3150.0, -682.5)]","[0, 1, 2]","[17.068094718295978, 60.91361346797257, 1443.086968966181]","[91.74621202458749, 1347.5121069553063, 205.43037780092746]","[1.0, 0.9160053287170674, 0.9999999999999998]","[994, 994]","[0.00013845131961414008, 0.00013845131961414008]",[267]
[38],"[(3797.5, -1872.5)]","[0, 1]","[11.774438096371625, 24.354728856326822]","[1887.749474832126, 299.299189200054]","[1.0, 0.9626781546405371]","[4636, 4636]","[0.0006457347260876795, 0.0006457347260876795]",[1320]
[53],"[(3517.5, -1890.0)]",[0],[10.850952755479732],[268.23654761338435],[1.0],"[5351, 5351]","[0.0007453249610213919, 0.0007453249610213919]",[4103]
[10],"[(1995.0, -1942.5)]","[0, 1, 2, 3, 4]","[338.7224177242103, 444.5768521386459, 226.759240355095, 450.1601452753831, 222.95898488262822]","[283.774460155797, 413.851328763652, 126.79039550132192, 90.33985905294664, 137.34335934520732]","[0.9681416329545792, 0.9231492352900422, 1.0, 0.997446751263044, 0.9893160988529446]","[11931, 11931]","[0.001661833696495277, 0.001661833696495277]",[9007]
[95],"[(2152.5, -612.5)]","[0, 1, 2, 3, 4]","[15.966927317115589, 28.45904698636096, 56.0, 55.339859052946636, 46.38257189081489]","[1019.7616139770962, 1440.1177312965528, 475.90947266601205, 587.5815804540408, 979.8371924387044]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3914, 3914]","[0.0005451694818609097, 0.0005451694818609097]",[2361]
[63],"[(2800.0, -402.5)]","[0, 1]","[278.61220417141925, 116.66666666666667]","[1085.1567341812615, 89.65434844830907]","[0.8879321569053525, 1.0]","[11931, 11931]","[0.001661833696495277, 0.001661833696495277]",[11104]
[121],"[(3307.5, -1312.5)]","[0, 1, 2]","[442.7170029242404, 184.46619684315547, 447.0552479726339]","[459.7193147297916, 133.60223826543927, 240.23945348088793]","[0.9764502805923406, 1.0, 0.8957721351237495]","[11931, 11931]","[0.001661833696495277, 0.001661833696495277]",[7262]
[143],"[(1435.0, -1855.0)]",[0],[31.775625158274284],[344.4740781830891],[1.0],"[1718, 1718]","[0.00023929513792464048, 0.00023929513792464048]",[774]
[127],"[(1470.0, -752.5)]","[0, 1, 2]","[249.97552646781787, 162.2415299779522, 403.3857440264604]","[309.9965450660872, 199.912559593767, 232.07270054082034]","[0.8176135364943276, 1.0, 0.8425647403497949]","[11931, 11931]","[0.001661833696495277, 0.001661833696495277]",[7605]
[151],"[(1365.0, -1995.0)]","[0, 1]","[210.67143114755376, 100.89419785518982]","[351.7627981440819, 252.58235033303873]","[0.9879015478548061, 0.9882399651202837]","[3187, 3187]","[0.0004439078024248133, 0.0004439078024248133]",[1483]
[144],"[(3132.5, -70.0)]","[0, 1, 2, 3]","[262.14987085025547, 309.96655354937536, 149.7742714218779, 260.87459737497545]","[360.6697537730251, 416.32876243967496, 124.65434844830907, 172.50276333734644]","[0.9226357542923843, 0.9941053714265332, 0.9812622213328968, 1.0]","[11931, 11931]","[0.001661833696495277, 0.001661833696495277]",[5875]
[157],"[(2905.0, -1627.5)]","[0, 1]","[11.067971810589324, 64.4525410066185]","[890.220089984306, 490.3265938712994]","[1.0, 0.998421430211391]","[3182, 3182]","[0.00044321136721548664, 0.00044321136721548664]",[1398]
