unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[19],"[(1417.5, -1855.0)]","[0, 1]","[699.9999999999999, 90.13878188659974]","[1318.5984574624574, 1027.0279020950486]","[0.9999999999999998, 1.0]","[6117, 6117]","[0.0007917344835508327, 0.0007917344835508327]",[825]
[8],"[(3342.5, -2047.5)]","[0, 1, 2]","[37.26779962499649, 35.0, 116.66666666666667]","[217.59687258199378, 1749.1069103180232, 297.5]","[1.0, 1.0, 1.0]","[7594, 7594]","[0.0009829052914966526, 0.0009829052914966526]",[2160]
[10],"[(2887.5, -1802.5)]",[0],[540.6887169737593],[1252.1627684819655],[0.8832858658332357],"[12704, 12704]","[0.0016443019256220008, 0.0016443019256220008]",[773]
[20],"[(2397.5, -910.0)]","[0, 1, 2, 3, 4, 5, 6]","[767.2495066080115, 21.77019931858589, 87.50000000000003, -164.9915822768612, 106.21463320904627, 29.347510381683634, 107.54066377085908]","[567.5222122568146, 136.71978600072214, 308.02573390287023, 361.0761164414432, 237.65679237428856, 150.5971473206198, 332.03532955850176]","[0.762171628861386, 0.8671344752492504, 1.0, 1.0, 0.922793581805231, 0.9999999999999996, 0.9581226845742654]","[12704, 12704]","[0.0016443019256220008, 0.0016443019256220008]",[9552]
[1],"[(1715.0, -1575.0)]","[0, 1, 2, 3]","[292.41428037749927, 262.49999999999994, 289.1077898073997, 402.55876409436064]","[327.1506604039382, 157.5, 213.15594803123156, 308.75925199235843]","[0.9802798422756243, 0.9999999999999996, 0.961259448795197, 0.9506851508099086]","[12704, 12704]","[0.0016443019256220008, 0.0016443019256220008]",[11613]
[21],"[(2607.5, -1400.0)]","[0, 1, 2]","[197.7387933268252, 101.37937550497033, 38.888888888888886]","[536.6158849477243, 1583.5146935008624, 716.843442094083]","[0.9838365019248753, 1.0, 0.9999999999999998]","[4659, 4659]","[0.0006030228803111541, 0.0006030228803111541]",[2128]
[27],"[(2345.0, -507.5)]","[0, 1, 2, 3, 4, 5]","[127.56118451367836, 26.05130246476754, 35.01708567346088, 22.944417207498113, 55.90169943749474, 130.43729868748773]","[1421.4053014245837, 275.3106059488654, 136.803411496604, 285.8357833943823, 1510.484733116439, 1320.9389950123455]","[0.946958595372735, 1.0, 0.9999999999999998, 0.9999999999999998, 1.0, 1.0]","[5383, 5383]","[0.0006967315227977983, 0.0006967315227977983]",[5353]
[28],"[(2205.0, -1260.0)]","[0, 1]","[21.388863498515192, -123.74368670764582]","[317.90099344543796, 150.9430319827688]","[1.0, 1.0]","[8308, 8308]","[0.0010753196157169066, 0.0010753196157169066]",[1090]
[43],"[(3727.5, -437.5)]","[0, 1, 2, 3]","[12.746898448610063, 218.7682021007833, 36.40110661046169, 41.190725901311914]","[595.338868721714, 779.368316676317, 1815.9692014353898, 908.3602650066922]","[1.0, 0.824018856386354, 1.0, 1.0]","[3214, 3214]","[0.00041599389081778263, 0.00041599389081778263]",[2461]
[38],"[(367.5, -1347.5)]",[0],[1067.3284148787375],[3290.1940082056335],[0.8691396090330784],"[12704, 12704]","[0.0016443019256220008, 0.0016443019256220008]",[108]
[44],"[(3710.0, -455.0)]",[0],[43.51527401422056],[490.3265938712994],[1.0],"[1747, 1747]","[0.0002261174011383529, 0.0002261174011383529]",[330]
[51],"[(2835.0, -2012.5)]","[0, 1, 2]","[48.651555377663655, 23.36931382245178, 40.13455344230391]","[414.4482492519575, 273.0971473206198, 665.2302233061874]","[1.0, 1.0, 1.0]","[3199, 3199]","[0.00041405241341819745, 0.00041405241341819745]",[2878]
[56],"[(1820.0, -1330.0)]","[0, 1, 2, 3]","[18.200553305230844, 40.707836981045034, 25.000000000000004, 141.4213562373095]","[214.13118960624632, 955.7686994605992, 1637.5501535446365, 312.58016130458424]","[1.0, 0.9999999999999998, 1.0, 1.0]","[3191, 3191]","[0.0004130169588050854, 0.0004130169588050854]",[1334]
[57],"[(1557.5, -297.5)]","[0, 1]","[20.0, 71.14761746590239]","[1003.424474716621, 301.0010152862551]","[1.0, 1.0]","[3187, 3187]","[0.0004124992314985293, 0.0004124992314985293]",[3179]
[46],"[(3307.5, -1312.5)]","[0, 1]","[369.6714390011511, 499.3718433538229]","[358.675642447329, 252.24873734152916]","[0.8819258621416395, 0.9559743766094232]","[12704, 12704]","[0.0016443019256220008, 0.0016443019256220008]",[4362]
