unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[3],"[(3150.0, -840.0)]",[0],[106.81643175491104],[600.4583291617934],[0.9470424166227591],"[12499, 12499]","[0.0018439080701404987, 0.0018439080701404987]",[2797]
[11],"[(2747.5, -980.0)]",[0],[355.079344279375],[381.7140024323416],[0.858768663236016],"[12309, 12309]","[0.00181587842510276, 0.00181587842510276]",[8736]
[46],"[(1907.5, -192.5)]","[0, 1]","[46.55119254729617, 90.13878188659974]","[2067.159770172965, 981.3053208847631]","[1.0, 1.0]","[4763, 4763]","[0.0007026589437618366, 0.0007026589437618366]",[856]
[31],"[(2170.0, -1872.5)]","[0, 1]","[407.57981029515815, 545.6506252860356]","[370.40805503275936, 345.9485823006236]","[0.9283308660180091, 0.7890774770001797]","[12499, 12499]","[0.0018439080701404987, 0.0018439080701404987]",[10133]
[47],"[(2782.5, -1697.5)]","[0, 1, 2]","[44.632855385987106, 39.131189606246316, 1106.7971810589324]","[167.0200655430568, 102.22833692686612, 1050.3806873610117]","[1.0, 1.0, 1.0]","[1743, 1743]","[0.00025713511210935985, 0.00025713511210935985]",[749]
[57],"[(2257.5, -2012.5)]","[0, 1, 2]","[16.97749375254331, 38.888888888888886, 539.3623229887271]","[1683.6753690992964, 1750.7952720180137, 849.4446155615434]","[1.0, 0.9999999999999998, 0.9660987922449943]","[7220, 7220]","[0.0010651265114340668, 0.0010651265114340668]",[6158]
[65],"[(3500.0, -1435.0)]","[0, 1, 2]","[8.325785022605597, 14.43298969072165, 359.03970181363457]","[378.9197267878293, 604.2518132865812, 387.6172128636766]","[0.9999999999999998, 1.0, 0.9819984176851109]","[4196, 4196]","[0.0006190125819913218, 0.0006190125819913218]",[426]
[99],"[(1032.5, -682.5)]","[0, 1, 2]","[36.96777630123796, 17.085856248220317, 20.53433663027191]","[1671.5609967291314, 619.8377778961824, 457.1423061602681]","[0.773116515280391, 0.8300943102542603, 0.8077338057823248]","[1750, 1750]","[0.0002581677832423292, 0.0002581677832423292]",[124]
[100],"[(2782.5, -1697.5)]",[0],[63.636363636363626],[927.5],[1.0],"[2503, 2503]","[0.0003692536922603143, 0.0003692536922603143]",[747]
[55],"[(2152.5, -1330.0)]","[0, 1, 2]","[247.48737341529164, 12.962962962962962, 195.65594803123156]","[841.4570696119915, 1119.4443044001816, 102.22833692686612]","[1.0, 0.9999999999999998, 0.9999999999999998]","[12499, 12499]","[0.0018439080701404987, 0.0018439080701404987]",[922]
[115],"[(2415.0, -385.0)]","[0, 1, 2]","[468.3586035998714, 644.7676131154818, 139.9754878398196]","[600.9481628509294, 253.697081621748, 124.23284148787373]","[0.9420263525456093, 0.9592365434524767, 0.9766348003345585]","[12499, 12499]","[0.0018439080701404987, 0.0018439080701404987]",[5410]
[146],"[(2257.5, -2012.5)]","[0, 1]","[42.06476488041321, 25.925925925925924]","[186.84083402826565, 375.62436094002715]","[1.0, 0.9999999999999998]","[4961, 4961]","[0.0007318687843801115, 0.0007318687843801115]",[2568]
[172],"[(2205.0, -2047.5)]","[0, 1]","[86.70493227149758, 72.15434844830907]","[551.1600552975822, 208.8337177766755]","[0.9560061142860261, 1.0]","[3270, 3270]","[0.000482404943544238, 0.000482404943544238]",[203]
[179],"[(2362.5, -1312.5)]","[0, 1, 2, 3]","[72.80109889280519, 514.4717592948356, 23.018346827203715, 21.739549781247952]","[1375.9260517839969, 541.2788502172057, 564.1311896062463, 626.0990336999411]","[1.0, 0.9921008931659885, 1.0, 1.0]","[3252, 3252]","[0.0004797495034880312, 0.0004797495034880312]",[296]
[188],"[(3080.0, -1435.0)]","[0, 1, 2]","[149.5200655430568, 25.000000000000004, 160.3429965517979]","[414.3431196754341, 158.58951059522462, 1877.4555698515408]","[1.0, 1.0, 1.0]","[4956, 4956]","[0.0007311311621422763, 0.0007311311621422763]",[3702]
[217],"[(2397.5, -1330.0)]","[0, 1, 2]","[22.868300847974464, 26.051302464767538, 210.323824402066]","[1003.0092184501248, 1004.9049748873604, 1200.6999949518522]","[1.0, 0.9999999999999998, 0.9999999999999996]","[4010, 4010]","[0.0005915730347438514, 0.0005915730347438514]",[923]
[247],"[(2012.5, -1470.0)]",[0],[373.45166886900927],[1774.2129790306406],[0.7748810946326167],"[12499, 12499]","[0.0018439080701404987, 0.0018439080701404987]",[7118]
[275],"[(2695.0, -1155.0)]","[0, 1, 2]","[34.31250069191491, 25.080313048793062, 505.44633617228675]","[569.3735796586939, 2401.9312682231503, 251.9234048135391]","[0.9998250180077559, 0.9728386151625478, 0.975254829218342]","[1755, 1755]","[0.0002603048941584356, 0.0002603048941584356]",[232]
[246],"[(3027.5, -1207.5)]",[0],[604.2856800858937],[374.1627464982724],[0.9576270184181649],"[12499, 12499]","[0.0018439080701404987, 0.0018439080701404987]",[7218]
[280],"[(1820.0, -350.0)]","[0, 1, 2, 3, 4]","[15.774286830154953, 48.05102801645917, 29.450754468697582, 27.893748842523767, 14.725377234348791]","[373.1979373873334, 327.5844599613413, 1256.6260976415674, 1091.9934538052992, 752.8571103054944]","[1.0, 0.9358860570230467, 1.0, 1.0, 1.0]","[4008, 4008]","[0.0005912779858487174, 0.0005912779858487174]",[596]
[303],"[(2642.5, -945.0)]","[0, 1, 2]","[247.48737341529164, 260.87459737497545, 84.88746876271655]","[528.615039052608, 447.42528363274994, 381.76095367500636]","[1.0, 1.0, 1.0]","[2511, 2511]","[0.0003704338878408506, 0.0003704338878408506]",[1919]
[308],"[(840.0, -2047.5)]","[0, 1, 2]","[9.782797401561579, 10.248122046841969, 104.34983894999017]","[585.8486669197121, 1337.1476644590457, 2282.150988012856]","[1.0, 1.0, 0.9999999999999998]","[4771, 4771]","[0.0007038391393423729, 0.0007038391393423729]",[3054]
[310],"[(2432.5, -1890.0)]","[0, 1]","[21.724151893922215, 32.797431112867756]","[825.8665119685252, 355.76200143452314]","[1.0, 1.0]","[3248, 3248]","[0.000479159405697763, 0.000479159405697763]",[824]
[312],"[(3150.0, -840.0)]","[0, 1]","[24.748737341529164, 29.166666666666668]","[1246.8768017671543, 1702.7781669504889]","[1.0, 1.0]","[4960, 4960]","[0.0007317212599325444, 0.0007317212599325444]",[4502]
[314],"[(3115.0, -1522.5)]",[0],[25.753937681885642],[161.19429464123962],[1.0],"[12499, 12499]","[0.0018439080701404987, 0.0018439080701404987]",[228]
[346],"[(3080.0, -1435.0)]","[0, 1, 2, 3]","[17.073170731707314, 60.20183016345587, 123.28223645934584, 134.6153846153846]","[273.02573390287023, 282.2489594216179, 1278.9935564900773, 1000.1883367283708]","[1.0, 0.9999999999999998, 0.9514291874285721, 0.9999999999999998]","[2502, 2502]","[0.0003691061678127472, 0.0003691061678127472]",[2012]
