,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
0,1,0.14,1301,1.49,0.14,4.9,N/A,15.68,0.84,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
1,1,2.65,1749,2.0,0.32,5.26,1.94,37.22,1.01,2024-12-28,M06792,1,000136,HET_80K,#f7c19b,25.11.2024,0,Run #000136,33
2,1,4.59,1486,1.7,0.26,4.71,1.34,28.86,0.96,2024-12-28,M06792,1,000136,HET_80K,#f7c19b,25.11.2024,0,Run #000136,33
3,1,5.93,1459,1.67,0.25,4.74,2.72,22.19,1.05,2024-12-28,M06792,1,000136,WT_100K,#8cdee2,25.11.2024,0,Run #000136,33
4,1,8.65,1687,1.93,0.25,5.55,3.72,20.95,1.06,2024-12-28,M06792,1,000136,WT_100K,#8cdee2,25.11.2024,0,Run #000136,33
5,1,12.37,1617,1.85,0.26,5.17,2.14,26.11,0.93,2024-12-28,M06792,1,000136,WT_60K,#bdccff,25.11.2024,0,Run #000136,33
6,1,14.51,1974,2.26,0.28,6.02,1.57,29.4,1.1,2024-12-28,M06792,1,000136,WT_60K,#bdccff,25.11.2024,0,Run #000136,33
7,1,16.08,1620,1.85,0.26,5.23,3.36,23.93,1.22,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
8,1,19.44,1725,1.97,0.26,5.67,1.73,22.7,1.09,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
9,1,21.17,2022,2.31,0.27,6.52,3.08,24.64,1.07,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
10,1,24.25,1778,2.03,0.26,5.81,2.14,22.67,1.1,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
11,1,26.39,1633,1.87,0.27,5.35,1.91,25.58,1.1,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
12,1,28.3,1386,1.59,0.25,4.48,1.36,30.21,1.02,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
13,1,29.66,1680,1.92,0.26,5.24,1.12,28.18,0.94,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
14,1,30.78,1730,1.98,0.32,4.9,1.15,42.46,1.15,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
15,1,31.93,1224,1.4,0.26,3.99,1.27,27.53,0.96,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
16,1,33.2,1701,1.95,0.25,5.64,3.14,16.84,1.05,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
17,1,36.34,1635,1.87,0.28,5.1,1.16,31.86,0.99,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
18,1,37.5,1883,2.15,0.26,5.88,1.94,26.61,1.07,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
19,1,39.44,1550,1.77,0.32,4.86,1.06,38.1,0.99,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
20,1,40.5,1644,1.88,0.29,5.12,2.64,34.49,0.96,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
21,1,43.14,1360,1.56,0.27,4.55,1.04,25.21,0.98,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
22,1,44.18,1658,1.9,0.25,5.5,2.76,19.62,1.08,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
23,1,46.94,1891,2.16,0.26,6.39,4.01,18.81,1.21,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
24,1,50.95,1543,1.77,0.25,4.99,2.73,23.24,1.07,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
25,1,53.68,1862,2.13,0.31,5.83,1.67,29.28,1.01,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
26,1,55.35,1318,1.51,0.28,4.4,2.3,31.32,0.97,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
27,1,57.65,1644,1.88,0.26,5.55,3.85,22.25,1.16,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
28,1,61.5,1431,1.64,0.26,4.71,2.97,23.08,1.15,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
29,1,64.47,1779,2.04,0.28,5.7,1.31,28.81,1.03,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
30,1,65.78,1507,1.72,0.26,4.97,2.1,24.36,1.05,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
31,1,67.88,1573,1.8,0.27,5.06,1.16,32.78,1.05,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
32,1,69.04,1393,1.59,0.27,4.55,1.44,25.48,0.89,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
33,1,70.48,1784,2.04,0.27,5.74,1.63,24.23,1.09,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
34,1,72.11,1608,1.84,0.3,5.24,1.45,31.64,0.93,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
35,1,73.56,2056,2.35,0.33,6.1,1.25,34.78,1.08,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
36,1,74.81,1682,1.92,0.28,5.38,1.57,25.66,0.95,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
37,1,76.38,1747,2.0,0.47,4.26,1.24,58.57,1.21,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
38,1,77.62,1791,2.05,0.28,5.69,1.61,30.23,1.0,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
39,1,79.23,1878,2.15,0.26,5.94,2.43,26.03,1.07,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
40,1,81.66,1249,1.43,0.28,4.17,1.01,33.02,0.96,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
41,1,82.67,1616,1.85,0.26,5.23,1.68,23.76,0.98,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
42,1,84.35,1690,1.93,0.29,5.19,1.02,32.24,1.0,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
43,1,85.37,1228,1.41,0.25,3.96,1.08,30.05,0.93,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
44,1,86.45,1771,2.03,0.26,5.83,1.4,20.76,1.14,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
45,1,87.85,1595,1.82,0.27,5.14,2.37,26.72,1.0,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
46,1,90.22,1602,1.83,0.27,5.25,2.72,22.45,1.07,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
47,1,92.94,1290,1.48,0.25,4.27,2.98,19.95,1.16,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
48,1,95.92,1698,1.94,0.27,5.34,1.78,29.64,1.0,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
49,1,97.7,1270,1.45,0.25,4.04,1.11,30.18,0.89,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
50,1,98.81,1645,1.88,0.26,5.32,1.3,24.51,1.01,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
51,1,100.11,1082,1.24,0.25,3.62,1.94,23.48,0.95,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
52,1,102.05,1748,2.0,0.25,5.61,1.96,21.6,1.02,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
53,1,104.01,1655,1.89,0.29,5.28,2.78,33.56,1.06,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
54,1,106.79,1519,1.74,0.25,4.9,2.79,22.87,1.12,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
55,1,109.58,1647,1.88,0.27,5.25,1.57,27.18,0.96,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
56,1,111.15,1977,2.26,0.27,6.03,1.81,26.77,1.06,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
57,1,112.96,911,1.04,0.24,3.2,1.43,31.26,0.87,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
58,1,114.39,4282,4.9,0.87,6.33,3.26,60.32,1.57,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
59,1,117.65,1888,2.16,0.31,5.63,1.24,34.37,1.07,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
60,1,118.89,1192,1.36,0.26,3.88,1.89,30.9,0.97,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
61,1,120.78,1818,2.08,0.25,5.76,2.25,20.86,1.14,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
62,1,123.03,1690,1.93,0.34,5.25,2.66,34.39,1.3,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
63,1,125.69,1652,1.89,0.25,5.38,2.14,21.09,1.03,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
64,1,127.83,1445,1.65,0.27,4.58,1.18,33.53,0.92,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
65,1,129.01,1750,2.0,0.29,5.45,1.47,31.63,0.98,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
66,1,130.48,1390,1.59,0.37,4.15,1.14,44.13,1.27,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
67,1,131.62,1439,1.65,0.27,4.53,1.67,29.9,0.98,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
68,1,133.29,1399,1.6,0.29,4.54,1.09,32.64,1.02,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
69,1,134.38,1360,1.56,0.26,4.44,1.25,28.91,0.92,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
70,1,135.63,1619,1.85,0.27,5.33,2.4,25.42,0.96,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
71,1,138.03,1653,1.89,0.27,5.32,3.26,26.71,0.98,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
72,1,141.29,1725,1.97,0.32,5.45,1.38,32.3,1.02,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
73,1,142.67,1499,1.72,0.27,5.03,3.28,26.5,1.05,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
74,1,145.95,1991,2.28,0.33,6.12,1.56,30.22,0.99,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
75,1,147.51,1776,2.03,0.29,5.61,1.46,31.76,0.98,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
76,1,148.97,1700,1.95,0.32,5.35,1.53,32.69,0.98,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
77,1,150.5,1608,1.84,0.28,5.18,1.87,23.77,0.97,2024-12-28,M06792,1,000136,N/A,N/A,N/A,N/A,N/A,N/A
