,wellNo,folderPath,wellplateID,runID,assayTag,startTime,stopTime,date,control,gain,lsb,fs,hpf,numberOfConfigurations,durationPerConfiguration,wellGroupName,wellGroupColor,Plating Date,div
Instance,Well Number,Folder Path,Wellplate ID,Assay Run ID,Assay Tag,Start Time,Stop Time,Date,Control,Gain,LSB,Sampling Frequency,HPF,Number of Configurations,Duration per Configuration,Well Group Name,Well Group Color,,DIV
1,1,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241216/M06804/Network/000002,M06804,000002,Run #000002,16:27:24,16:32:24,2024-12-16,0,512.0,6.294,10000.0,1.0,1,300.05,MED,#55aaff,15.11.2024,32
2,2,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241216/M06804/Network/000002,M06804,000002,Run #000002,16:27:24,16:32:24,2024-12-16,0,512.0,6.294,10000.0,1.0,1,300.049,HIGH,#55aaff,15.11.2024,32
3,3,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241216/M06804/Network/000002,M06804,000002,Run #000002,16:27:24,16:32:24,2024-12-16,0,512.0,6.294,10000.0,1.0,1,300.048,LOW,#55aaff,15.11.2024,32
4,4,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241216/M06804/Network/000002,M06804,000002,Run #000002,16:27:24,16:32:24,2024-12-16,1,512.0,6.294,10000.0,1.0,1,300.047,HIGH,#ffaaff,15.11.2024,32
5,5,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241216/M06804/Network/000002,M06804,000002,Run #000002,16:27:24,16:32:24,2024-12-16,1,512.0,6.294,10000.0,1.0,1,300.046,LOW,#ffaaff,15.11.2024,32
6,6,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241216/M06804/Network/000002,M06804,000002,Run #000002,16:27:24,16:32:24,2024-12-16,1,512.0,6.294,10000.0,1.0,1,300.045,MED,#ffaaff,15.11.2024,32
