,wellNo,folderPath,wellplateID,runID,assayTag,startTime,stopTime,date,control,gain,lsb,fs,hpf,numberOfConfigurations,durationPerConfiguration,wellGroupName,wellGroupColor,Plating Date,div
Instance,Well Number,Folder Path,Wellplate ID,Assay Run ID,Assay Tag,Start Time,Stop Time,Date,Control,Gain,LSB,Sampling Frequency,HPF,Number of Configurations,Duration per Configuration,Well Group Name,Well Group Color,,DIV
1,1,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241220/M06804/Network/000029,M06804,000029,Run #000029,10:11:30,10:16:30,2024-12-20,0,512.0,6.294,10000.0,1.0,1,300.072,MED,#55aaff,15.11.2024,35
2,2,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241220/M06804/Network/000029,M06804,000029,Run #000029,10:11:30,10:16:30,2024-12-20,0,512.0,6.294,10000.0,1.0,1,300.071,HIGH,#55aaff,15.11.2024,35
3,3,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241220/M06804/Network/000029,M06804,000029,Run #000029,10:11:30,10:16:30,2024-12-20,0,512.0,6.294,10000.0,1.0,1,300.07,LOW,#55aaff,15.11.2024,35
4,4,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241220/M06804/Network/000029,M06804,000029,Run #000029,10:11:30,10:16:30,2024-12-20,1,512.0,6.294,10000.0,1.0,1,300.068,HIGH,#ffaaff,15.11.2024,35
5,5,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241220/M06804/Network/000029,M06804,000029,Run #000029,10:11:30,10:16:30,2024-12-20,1,512.0,6.294,10000.0,1.0,1,300.067,LOW,#ffaaff,15.11.2024,35
6,6,/media/rbs-maxtwo/harddisk24tbVol1/StimAssays_12162024_MP/241220/M06804/Network/000029,M06804,000029,Run #000029,10:11:30,10:16:30,2024-12-20,1,512.0,6.294,10000.0,1.0,1,300.066,MED,#ffaaff,15.11.2024,35
