unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density
[6],"[(1907.5, -402.5)]","[0, 1]","[329.4311145331535, 202.58795787336697]","[255.66534330043257, 231.0138749814215]","[0.9986550969796751, 0.8814370995252423]",[12848],[0.0019585739057527774]
[10],"[(1960.0, -420.0)]",[0],[138.24905764705008],[898.666516292729],[0.8124186826887981],[12848],[0.0019585739057527774]
[42],"[(1925.0, -647.5)]",[0],[118.74442298347232],[763.0901452537704],[0.9178110440755903],[6281],[0.000957487757007565]
[54],"[(1732.5, -35.0)]",[0],[50.49619814169756],[282.6765626644034],[0.9876054123101979],[12848],[0.0019585739057527774]
[115],"[(1837.5, -280.0)]",[0],[88.8075076720228],[353.99756562798405],[0.9152345501751205],[2266],[0.000345433411459822]
[84],"[(1365.0, -0.0)]",[0],[334.607346232144],[251.9234048135391],[0.9839669745375432],[12848],[0.0019585739057527774]
[112],"[(1435.0, -1260.0)]","[0, 1]","[80.11750564856966, 295.32894547228824]","[464.31339495961697, 225.1892440073563]","[0.9102934846462628, 0.8782762625409881]",[12848],[0.0019585739057527774]
[126],"[(2625.0, -1785.0)]",[0],[115.44132223012667],[138.0111165540218],[0.994879989247129],[12848],[0.0019585739057527774]
[154],"[(770.0, -350.0)]",[0],[208.75930872283809],[148.37740163083382],[0.9682748315436391],[12848],[0.0019585739057527774]
[9],"[(1837.5, -280.0)]","[0, 1]","[71.99265377410055, 85.10877440785548]","[600.68080573542, 811.8985636803598]","[0.8161987789396848, 0.8901823751136733]",[3026],[0.00046128927761580825]
[164],"[(805.0, -1155.0)]",[0],[481.3583804212525],[274.1467708418113],[0.9777074994241165],[12848],[0.0019585739057527774]
[152],"[(507.5, -350.0)]",[0],[74.56789058100807],[516.4103257334937],[0.9008639255545627],[12848],[0.0019585739057527774]
[176],"[(1207.5, -805.0)]",[0],[69.56102774682363],[397.3867113884363],[0.9989966287684615],[12848],[0.0019585739057527774]
[189],"[(1837.5, -280.0)]",[0],[804.7358209321578],[799.1619918321335],[0.9841657038844788],[4781],[0.0007288248632786448]
[180],"[(1470.0, -525.0)]",[0],[341.8483552438203],[290.8582385953757],[0.9886235814228024],[4025],[0.000613578764839269]
[179],"[(1610.0, -175.0)]",[0],[235.65748110827136],[163.36403109412004],[0.949552573110115],[12848],[0.0019585739057527774]
[109],"[(1837.5, -280.0)]","[0, 1]","[152.50964942953104, 239.65087521822247]","[860.5512056622212, 902.7546889378838]","[0.9363933943597036, 0.933949432911457]",[2520],[0.00038415366146458583]
