unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density
[8],"[(2555.0, -420.0)]",[0],[424.73392204684745],[144.13118960624632],[0.8215490468792975],[12894],[0.0020102586489141113]
[11],"[(2100.0, -542.5)]",[0],[279.9661500786463],[194.7573285786093],[0.8191439831910264],[12894],[0.0020102586489141113]
[25],"[(2695.0, -1417.5)]",[0],[60.416261577729706],[342.23611075682084],[0.9847074457621328],[12136],[0.0018920815079278464]
[39],"[(1610.0, -542.5)]","[0, 1]","[98.83771518832908, 269.7467237051528]","[564.9741171534527, 243.0111165540218]","[0.8355220794929469, 0.9671533824705222]",[12894],[0.0020102586489141113]
[44],"[(2730.0, -175.0)]","[0, 1]","[67.27960108156628, 66.63022061217892]","[398.93927023817, 449.9133035457724]","[0.9245898023050897, 0.920691206172491]",[12894],[0.0020102586489141113]
[79],"[(1435.0, -2082.5)]",[0],[117.4562930800234],[589.3688541298842],[0.9198123477157703],[12894],[0.0020102586489141113]
