,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,Unnamed: 51,Control,Assay Tag,DIV,Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile
94,2024-12-28,M06792,5,129,WT_60K,#bdccff,25.11.2024,0,Run #000129,33,5,0.49,30.76,1312.1,746.74,0.57,1204.0,930.8,1603.8,1.48,0.84,0.57,1.36,1.05,1.81,0.29,0.16,0.53,0.26,0.23,0.35,4.03,0.63,0.16,3.97,3.26,4.82,2.05,0.84,0.41,1.87,1.18,3.26,34.57,54.81,1.59,16.9,4.9,83.3,128.91,213.35,1.66,47.7,6.9,365.3
72,2024-12-28,M06792,1,131,HET_80K,#f7c19b,25.11.2024,0,Run #000131,33,1,0.48,45.86,1498.6,307.31,0.21,1509.0,1128.2,1813.6,1.71,0.35,0.21,1.73,1.29,2.07,0.27,0.05,0.17,0.27,0.25,0.3,4.8,0.84,0.18,4.85,3.67,5.84,2.08,0.87,0.42,1.88,1.12,3.38,29.13,33.13,1.14,18.3,6.0,65.4,121.76,217.58,1.79,51.7,7.5,308.3
73,2024-12-28,M06792,2,131,HET_80K,#f7c19b,25.11.2024,0,Run #000131,33,2,0.52,58.49,1864.96,494.25,0.27,1878.5,1271.6,2302.8,2.06,0.55,0.27,2.08,1.41,2.55,0.29,0.06,0.21,0.28,0.26,0.33,5.54,1.15,0.21,5.72,3.88,6.87,1.93,0.58,0.3,1.86,1.26,2.69,30.85,34.15,1.11,19.6,6.9,68.3,147.55,249.16,1.69,57.2,9.5,399.7
74,2024-12-28,M06792,3,131,WT_100K,#8cdee2,25.11.2024,0,Run #000131,33,3,0.38,45.25,1121.8,380.69,0.34,1065.0,684.8,1543.6,1.28,0.43,0.34,1.21,0.78,1.76,0.26,0.05,0.2,0.25,0.24,0.3,3.58,0.97,0.27,3.47,2.32,4.95,2.6,1.31,0.5,2.24,1.21,4.4,23.52,33.04,1.4,12.4,4.2,53.7,186.39,346.99,1.86,61.4,8.4,481.3
75,2024-12-28,M06792,4,131,WT_100K,#8cdee2,25.11.2024,0,Run #000131,33,4,0.34,19.55,1282.53,395.73,0.31,1191.5,889.0,1801.0,1.47,0.45,0.31,1.36,1.02,2.06,0.3,0.09,0.31,0.27,0.23,0.4,4.08,0.73,0.18,3.88,3.3,5.1,2.92,1.67,0.57,2.48,1.22,5.31,39.17,50.72,1.29,19.8,5.2,98.7,145.34,248.87,1.71,76.9,11.8,318.2
76,2024-12-28,M06792,5,131,WT_60K,#bdccff,25.11.2024,0,Run #000131,33,5,0.47,30.47,1337.22,1143.94,0.86,1181.0,910.7,1614.2,1.53,1.31,0.86,1.35,1.04,1.85,0.3,0.23,0.78,0.26,0.23,0.35,4.08,0.69,0.17,3.95,3.25,5.01,2.12,1.01,0.48,1.9,1.15,3.41,35.83,65.3,1.82,17.1,5.0,83.9,133.68,232.06,1.74,47.8,6.9,371.7
77,2024-12-28,M06792,6,131,WT_60K,#bdccff,25.11.2024,0,Run #000131,33,6,0.51,43.15,1351.25,347.1,0.26,1356.5,900.8,1748.3,1.55,0.4,0.26,1.55,1.03,2.0,0.28,0.06,0.22,0.27,0.24,0.32,4.31,0.94,0.22,4.32,3.02,5.54,1.96,0.74,0.38,1.8,1.14,2.96,29.6,38.7,1.31,16.5,5.3,69.0,142.04,224.24,1.58,59.9,9.8,377.5
88,2024-12-28,M06792,5,134,WT_60K,#bdccff,25.11.2024,0,Run #000134,33,5,0.47,30.69,1424.27,920.74,0.65,1247.0,969.5,1774.3,1.61,1.04,0.65,1.41,1.09,2.01,0.3,0.18,0.58,0.26,0.23,0.39,4.22,0.74,0.17,4.07,3.42,5.2,2.11,0.93,0.44,1.89,1.15,3.38,35.33,56.84,1.61,16.7,5.0,84.7,129.2,222.55,1.72,45.1,6.4,364.8
86,2024-12-28,M06792,3,134,WT_100K,#8cdee2,25.11.2024,0,Run #000134,33,3,0.41,43.25,1071.61,342.11,0.32,1031.0,678.2,1539.2,1.25,0.4,0.32,1.2,0.79,1.8,0.26,0.06,0.23,0.25,0.24,0.3,3.52,0.95,0.27,3.42,2.35,4.96,2.45,1.24,0.51,2.04,1.21,4.35,25.3,39.22,1.55,12.6,4.1,58.0,177.8,312.7,1.76,69.7,8.6,453.8
87,2024-12-28,M06792,4,134,WT_100K,#8cdee2,25.11.2024,0,Run #000134,33,4,0.32,17.15,1288.18,408.6,0.32,1185.0,910.8,1724.4,1.49,0.47,0.32,1.37,1.05,1.99,0.3,0.1,0.32,0.27,0.23,0.43,4.12,0.64,0.16,3.99,3.46,4.96,3.16,1.82,0.57,2.69,1.33,5.74,41.25,51.43,1.25,21.8,5.6,102.2,144.77,255.3,1.76,74.1,12.3,315.4
85,2024-12-28,M06792,2,134,HET_80K,#f7c19b,25.11.2024,0,Run #000134,33,2,0.53,56.36,1931.97,476.38,0.25,1939.5,1393.8,2347.0,2.13,0.52,0.25,2.14,1.54,2.58,0.3,0.07,0.23,0.28,0.26,0.33,5.71,1.06,0.19,5.83,4.13,6.93,1.88,0.55,0.29,1.83,1.22,2.59,31.0,36.25,1.17,19.0,6.7,69.4,140.35,235.69,1.68,53.6,8.8,377.2
84,2024-12-28,M06792,1,134,HET_80K,#f7c19b,25.11.2024,0,Run #000134,33,1,0.5,50.26,1736.66,584.18,0.34,1656.0,1385.0,1950.6,1.98,0.67,0.34,1.89,1.58,2.22,0.29,0.12,0.41,0.27,0.25,0.31,5.26,0.67,0.13,5.28,4.44,6.04,2.0,0.75,0.38,1.86,1.13,3.1,30.8,41.91,1.36,18.0,6.0,68.1,121.98,224.63,1.84,49.2,6.2,302.9
89,2024-12-28,M06792,6,134,WT_60K,#bdccff,25.11.2024,0,Run #000134,33,6,0.51,47.08,1419.56,335.83,0.24,1445.0,985.0,1762.0,1.58,0.37,0.24,1.61,1.1,1.96,0.27,0.05,0.17,0.26,0.25,0.3,4.42,0.85,0.19,4.51,3.19,5.44,1.97,0.7,0.36,1.85,1.16,2.9,28.09,34.03,1.21,16.5,5.6,64.9,138.43,216.29,1.56,62.0,11.1,355.4
5,2024-12-28,M06792,6,136,WT_60K,#bdccff,25.11.2024,0,Run #000136,33,6,0.55,51.22,1447.69,306.74,0.21,1469.0,1033.0,1784.0,1.61,0.34,0.21,1.63,1.15,1.98,0.27,0.05,0.18,0.26,0.25,0.31,4.49,0.83,0.18,4.58,3.24,5.5,1.82,0.65,0.36,1.64,1.16,2.71,26.15,33.54,1.28,15.0,5.0,59.4,128.88,212.85,1.65,55.3,10.2,332.4
3,2024-12-28,M06792,4,136,WT_100K,#8cdee2,25.11.2024,0,Run #000136,33,4,0.33,18.67,1342.75,584.59,0.44,1205.0,918.4,1866.6,1.54,0.67,0.44,1.39,1.06,2.15,0.31,0.12,0.39,0.27,0.23,0.43,4.18,0.74,0.18,3.98,3.47,5.12,3.03,1.7,0.56,2.61,1.24,5.48,40.9,53.34,1.3,21.1,5.4,101.9,142.27,247.09,1.74,72.5,11.8,313.9
1,2024-12-28,M06792,2,136,HET_80K,#f7c19b,25.11.2024,0,Run #000136,33,2,0.5,58.69,1978.85,422.37,0.21,2037.5,1359.1,2428.9,2.19,0.47,0.21,2.26,1.51,2.69,0.29,0.04,0.14,0.28,0.26,0.32,5.96,1.2,0.2,6.21,4.11,7.34,1.98,0.51,0.26,1.95,1.36,2.58,29.33,32.3,1.1,18.3,6.5,66.1,147.52,240.4,1.63,58.7,9.7,395.4
4,2024-12-28,M06792,5,136,WT_60K,#bdccff,25.11.2024,0,Run #000136,33,5,0.46,30.3,1461.85,1421.32,0.97,1262.5,961.0,1795.5,1.65,1.61,0.97,1.43,1.08,2.03,0.31,0.27,0.88,0.26,0.23,0.38,4.26,0.7,0.17,4.17,3.42,5.24,2.15,1.01,0.47,1.87,1.18,3.42,37.38,71.32,1.91,17.0,5.0,87.5,128.81,220.95,1.72,47.1,6.8,354.7
2,2024-12-28,M06792,3,136,WT_100K,#8cdee2,25.11.2024,0,Run #000136,33,3,0.39,41.31,1065.41,321.2,0.3,1026.0,665.5,1527.5,1.22,0.37,0.3,1.18,0.76,1.76,0.26,0.04,0.15,0.25,0.24,0.29,3.5,0.97,0.28,3.4,2.28,4.92,2.55,1.28,0.5,2.15,1.23,4.46,23.61,32.98,1.4,12.1,4.0,56.3,178.54,310.68,1.74,71.3,9.1,451.3
0,2024-12-28,M06792,1,136,HET_80K,#f7c19b,25.11.2024,0,Run #000136,33,1,0.46,51.18,1689.31,451.46,0.27,1659.0,1341.0,1955.4,1.93,0.52,0.27,1.9,1.53,2.24,0.28,0.09,0.31,0.27,0.25,0.31,5.26,0.72,0.14,5.28,4.34,6.11,2.19,0.84,0.38,2.08,1.19,3.27,28.73,36.43,1.27,17.2,5.8,64.8,131.36,239.56,1.82,54.3,6.9,326.3
19,2024-12-28,M06792,2,138,HET_80K,#f7c19b,25.11.2024,0,Run #000138,33,2,0.5,54.3,1985.35,470.97,0.24,2052.0,1343.0,2439.8,2.2,0.52,0.24,2.27,1.49,2.7,0.3,0.06,0.19,0.28,0.26,0.33,5.93,1.2,0.2,6.23,4.13,7.29,2.01,0.61,0.3,1.97,1.32,2.74,30.57,34.77,1.14,18.8,6.7,69.1,143.81,240.22,1.67,56.5,9.5,380.3
20,2024-12-28,M06792,3,138,WT_100K,#8cdee2,25.11.2024,0,Run #000138,33,3,0.42,43.02,1074.26,315.81,0.29,1045.0,665.4,1511.0,1.23,0.36,0.29,1.19,0.76,1.72,0.26,0.05,0.2,0.25,0.23,0.3,3.48,0.9,0.26,3.39,2.24,4.84,2.39,1.24,0.52,2.02,1.18,4.08,25.01,36.59,1.46,12.8,4.2,58.2,182.53,314.25,1.72,73.8,9.0,462.2
21,2024-12-28,M06792,4,138,WT_100K,#8cdee2,25.11.2024,0,Run #000138,33,4,0.32,17.35,1335.23,499.09,0.37,1204.0,938.2,1846.4,1.55,0.58,0.37,1.4,1.09,2.14,0.31,0.12,0.39,0.27,0.23,0.42,4.24,0.64,0.15,4.08,3.56,5.09,3.14,2.02,0.64,2.58,1.25,5.64,42.03,53.97,1.28,21.9,5.5,104.2,142.63,261.19,1.83,72.6,12.0,309.1
22,2024-12-28,M06792,5,138,WT_60K,#bdccff,25.11.2024,0,Run #000138,33,5,0.48,31.46,1425.68,1300.01,0.91,1267.0,955.0,1741.4,1.6,1.46,0.91,1.42,1.07,1.96,0.3,0.26,0.86,0.26,0.23,0.37,4.22,0.66,0.16,4.16,3.37,5.12,2.08,0.96,0.46,1.84,1.17,3.37,35.86,69.85,1.95,16.4,4.8,84.4,128.51,222.55,1.73,47.0,6.5,354.3
18,2024-12-28,M06792,1,138,HET_80K,#f7c19b,25.11.2024,0,Run #000138,33,1,0.48,47.92,1620.63,434.41,0.27,1591.0,1262.6,1901.2,1.84,0.49,0.27,1.81,1.44,2.16,0.28,0.08,0.28,0.27,0.25,0.3,5.03,0.77,0.15,5.1,4.03,5.99,2.07,0.8,0.38,1.94,1.14,3.23,29.18,35.97,1.23,17.6,6.0,65.7,125.25,216.56,1.73,52.7,7.0,319.6
23,2024-12-28,M06792,6,138,WT_60K,#bdccff,25.11.2024,0,Run #000138,33,6,0.58,49.75,1361.43,315.55,0.23,1359.0,978.1,1665.9,1.53,0.35,0.23,1.52,1.1,1.87,0.27,0.06,0.21,0.26,0.24,0.3,4.3,0.75,0.17,4.33,3.23,5.25,1.73,0.53,0.31,1.6,1.14,2.44,27.62,35.79,1.3,15.7,5.2,63.3,125.63,189.07,1.5,58.5,10.4,322.6
