unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[19],"[(647.5, -1890.0)]","[0, 1, 2, 3]","[36.1908236684525, 51.21951219512194, 509.6076922496363, 892.328414878737]","[145.67971810589327, 231.19429464123962, 144.90192306240908, 124.23284148787373]","[0.9841519905485996, 1.0, 1.0, 0.9999999999999996]","[1006, 1006]","[0.00012604650470755818, 0.00012604650470755818]",[306]
[11],"[(157.5, -1627.5)]","[0, 1]","[26.845779552065153, 23.395240501147]","[418.48159869718415, 123.94834428021885]","[0.9861333286735259, 1.0]","[1007, 1007]","[0.00012724105198150772, 0.00012724105198150772]",[122]
[35],"[(297.5, -840.0)]","[0, 1, 2]","[93.02112448133087, 76.34413615167958, 50.0]","[850.163866001038, 448.76176595571746, 1589.015945247559]","[0.8572363809367874, 1.0, 1.0]","[3207, 3207]","[0.00040182021928145036, 0.00040182021928145036]",[3155]
[22],"[(2012.5, -857.5)]","[0, 1, 2, 3, 4]","[107.510721780027, 33.9559618651742, 426.5292539040416, 18.750000000000004, 24.145109601491864]","[1778.7311128465117, 136.803411496604, 302.0048535758524, 846.1978329313996, 665.9844980663572]","[0.9956348532449001, 1.0, 0.9921839247189205, 1.0, 1.0]","[4684, 4684]","[0.0005868805447815134, 0.0005868805447815134]",[4337]
[14],"[(2292.5, -157.5)]",[0],[31.4102564102564],[1100.7772985009578],[0.9423076923076921],"[11309, 11309]","[0.001416958172701566, 0.001416958172701566]",[11305]
[18],"[(595.0, -1855.0)]",[0],[104.51074858905527],[158.58951059522462],[1.0],"[14992, 14992]","[0.0018784186864569702, 0.0018784186864569702]",[8714]
[13],"[(1312.5, -402.5)]","[0, 1, 2, 3, 4]","[402.60478906651593, 353.34926852351646, 414.57940687635846, 158.16090807804346, 292.21255926438266]","[413.8799269477755, 624.6875081337809, 410.0171824741602, 269.4234048135391, 181.27349576651443]","[0.962128936310889, 0.9906097277481105, 0.9699406840374084, 0.9476041105872571, 0.9413224539019002]","[14992, 14992]","[0.0018784186864569702, 0.0018784186864569702]",[8195]
[56],"[(1645.0, -245.0)]",[0],[60.128623706924216],[161.80869689661813],[0.9999999999999998],"[1009, 1009]","[0.00012642238891642763, 0.00012642238891642763]",[777]
[42],"[(2012.5, -857.5)]",[0],[21.874999999999996],[434.06139878469827],[0.9999999999999998],"[5417, 5417]","[0.0006787215864819509, 0.0006787215864819509]",[4340]
[77],"[(2100.0, -122.5)]","[0, 1, 2, 3, 4]","[23.595505617977526, 18.332398030762345, 8.536585365853657, 28.017438499844335, 19.444444444444443]","[498.26358844927404, 190.58698527828295, 1892.0625326035738, 2193.5532921807408, 697.0770743631659]","[0.9999999999999998, 1.0, 1.0, 1.0, 0.9999999999999998]","[7649, 7649]","[0.0009583794378808275, 0.0009583794378808275]",[4307]
[96],"[(455.0, -315.0)]","[0, 1, 2]","[64.10054177710968, 65.59486222573551, 41.190725901311914]","[259.1793693283664, 213.2438590435337, 1695.3561894175643]","[0.8738609156720895, 1.0, 1.0]","[1007, 1007]","[0.00012724105198150772, 0.00012724105198150772]",[394]
[91],"[(1645.0, -245.0)]","[0, 1, 2]","[30.506815446329394, 40.01952648395531, 37.26779962499649]","[1131.1908097693904, 1593.3653269217389, 631.2935406553484]","[0.967226463081421, 1.0, 1.0]","[4670, 4670]","[0.0005851264184734559, 0.0005851264184734559]",[959]
[84],"[(1785.0, -332.5)]","[0, 1, 2, 3, 4]","[299.37858127467194, 241.25703849682213, 164.99158227686107, 432.25061263381474, 390.51248379533274]","[447.2885106756879, 193.62866428930465, 196.7462120245875, 145.67971810589327, 186.17684401142478]","[0.9262086232413459, 0.9111294733934079, 1.0, 0.999103080986612, 1.0]","[14992, 14992]","[0.0018784186864569702, 0.0018784186864569702]",[8204]
[118],"[(2432.5, -857.5)]","[0, 1, 2]","[61.53066401113325, 32.60932467187193, 148.08447705846487]","[277.1923452674368, 238.66188899859546, 641.9814942338205]","[0.9956355328209288, 1.0, 1.0]","[5417, 5417]","[0.0006787215864819509, 0.0006787215864819509]",[3490]
[120],"[(2607.5, -1802.5)]","[0, 1]","[81.57553792108223, 19.03749026271474]","[304.78713763747794, 112.24873734152916]","[0.8394213350724216, 1.0]","[12780, 12780]","[0.00160126672978389, 0.00160126672978389]",[11179]
[122],"[(2572.5, -1697.5)]","[0, 1, 2, 3]","[77.65728424889255, 233.33333333333334, 562.9887129638436, 258.7706320208211]","[167.49522070036636, 180.67971810589327, 247.48312960249729, 146.97104865919295]","[1.0, 1.0, 0.9443896619252059, 0.9963976619050718]","[14992, 14992]","[0.0018784186864569702, 0.0018784186864569702]",[10112]
[135],"[(612.5, -1032.5)]","[0, 1]","[66.79776711845355, 349.7301406005465]","[128.17971810589327, 145.25985389555098]","[0.9613105277728343, 0.9795923039903162]","[14992, 14992]","[0.0018784186864569702, 0.0018784186864569702]",[9279]
[133],"[(595.0, -1050.0)]","[0, 1, 2, 3, 4]","[193.87459108709953, 453.83974354136365, 287.15319397517084, 348.03775356178414, 360.4328070990066]","[273.01970779110195, 302.4019230624091, 291.123884989671, 232.74780772455804, 269.6280623861121]","[0.9202484876683279, 0.9877611185529024, 0.9568346423387423, 0.7932811612025588, 0.9325154315047248]","[14992, 14992]","[0.0018784186864569702, 0.0018784186864569702]",[10047]
[156],"[(3027.5, -1452.5)]","[0, 1, 2, 3]","[31.35322457671658, -15.617732810039742, 28.368271937993633, 32.60932467187193]","[612.2914312194937, 2781.4984292681006, 396.93403458681973, 698.813878480223]","[1.0, 0.9955461063265261, 1.0, 1.0]","[6893, 6893]","[0.0008636566172457241, 0.0008636566172457241]",[5632]
[164],"[(980.0, -1960.0)]",[0],[36.178010737262575],[1026.7154466119434],[0.8870090835157071],"[6149, 6149]","[0.0007704373334460985, 0.0007704373334460985]",[5235]
