unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[13],"[(2520.0, -1645.0)]","[0, 1]","[61.84376348269767, 88.97682469168531]","[1130.043834953971, 1397.0625590670343]","[0.9998829495776751, 0.9007400894731915]","[3949, 3949]","[0.0004947889136084963, 0.0004947889136084963]",[1543]
[30],"[(3832.5, -1977.5)]","[0, 1]","[9.100276652615422, 18.42105263157895]","[950.6443546236255, 3908.1552121331233]","[1.0, 1.0]","[1009, 1009]","[0.00012642238891642763, 0.00012642238891642763]",[320]
[44],"[(3430.0, -1225.0)]","[0, 1, 2]","[43.42198219565649, 19.79898987322333, 26.92307692307692]","[1441.4491764304646, 527.4749846142265, 277.6562030780739]","[1.0, 1.0, 1.0]","[4698, 4698]","[0.0005886346710895708, 0.0005886346710895708]",[1748]
[46],"[(1907.5, -822.5)]","[0, 1, 2, 3]","[408.85224667155563, 85.46511627906976, 411.9615364994152, 221.5065608851232]","[1096.7949056014122, 245.72790512886516, 129.24038412485382, 148.26237921249265]","[0.9207789054045881, 0.8546511627906979, 0.9788046769292204, 0.7946275237310165]","[15738, 15738]","[0.0019718885597291755, 0.0019718885597291755]",[995]
[94],"[(1242.5, -1750.0)]",[0],[70.0],[1283.9245930966438],[1.0],"[9101, 9101]","[0.001140307394973645, 0.001140307394973645]",[2301]
[98],"[(105.0, -1452.5)]","[0, 1]","[39.96588321931406, 35.8974358974359]","[3140.9085291001065, 385.62420483331846]","[0.9818895772665477, 1.0]","[1738, 1738]","[0.00021776225167170586, 0.00021776225167170586]",[142]
[100],"[(2852.5, -245.0)]","[0, 1, 2, 3, 4]","[16.398715556433878, 38.888888888888886, 26.237944890294205, 16.304662335935966, 391.3118960624631]","[1349.7742058393876, 154.17936932836645, 2231.118220309068, 315.8304848709795, 1151.48474666483]","[1.0, 0.9999999999999998, 1.0, 1.0, 0.9999999999999998]","[6171, 6171]","[0.0007731938176444746, 0.0007731938176444746]",[5832]
[124],"[(2082.5, -2065.0)]","[0, 1]","[195.7395010374115, 174.99999999999997]","[2064.24030204151, 2101.176138462981]","[0.9878919907559316, 0.9999999999999998]","[15738, 15738]","[0.0019718885597291755, 0.0019718885597291755]",[705]
[139],"[(1627.5, -1365.0)]",[0],[41.097394536260985],[144.90192306240908],[1.0],"[1740, 1740]","[0.0002180128411442855, 0.0002180128411442855]",[984]
[146],"[(1662.5, -1365.0)]",[0],[239.4309758394033],[203.60223826543927],[0.9706967816329869],"[15738, 15738]","[0.0019718885597291755, 0.0019718885597291755]",[3162]
[149],"[(2362.5, -1172.5)]","[0, 1, 2, 3, 4]","[123.74368670764582, 311.7130862217396, 11.927102333267067, 13.264810036015701, 247.48737341529164]","[467.8133488825548, 637.1438542310739, 1034.6402308356883, 1251.1878095708419, 764.9387467310102]","[1.0, 0.982120708342275, 1.0, 0.9999999999999998, 1.0]","[3219, 3219]","[0.00040332375611692816, 0.00040332375611692816]",[1397]
[153],"[(17.5, -1382.5)]","[0, 1]","[28.861739379323627, 55.90169943749474]","[3422.3875492867223, 1552.7547392380563]","[1.0, 1.0]","[6895, 6895]","[0.0008639072067183037, 0.0008639072067183037]",[5498]
[154],"[(1575.0, -157.5)]","[0, 1, 2, 3]","[151.90389147012434, 31.818181818181813, 85.13824469684099, 252.38858928247924]","[1184.0502513225244, 1131.4681323987684, 1713.6899427204453, 2828.1525265128703]","[0.9999999999999996, 1.0, 1.0, 1.0]","[4693, 4693]","[0.0005880081974081217, 0.0005880081974081217]",[3909]
[152],"[(297.5, -1540.0)]","[0, 1]","[10.163945352271769, 19.444444444444443]","[2140.953315762501, 1112.7539659823196]","[0.9999999999999996, 0.9999999999999998]","[11327, 11327]","[0.0014192134779547826, 0.0014192134779547826]",[10002]
[156],"[(315.0, -542.5)]","[0, 1]","[-174.99999999999997, 150.00000000000003]","[935.7081735641433, 3439.3717129528245]","[0.9999999999999998, 1.0]","[15738, 15738]","[0.0019718885597291755, 0.0019718885597291755]",[288]
[163],"[(3097.5, -2030.0)]","[0, 1, 2]","[16.040538855926563, 21.75763700711028, 7.142857142857143]","[546.5882687195837, 784.0036946622291, 2752.9139519123855]","[1.0, 1.0, 1.0]","[1736, 1736]","[0.00021751166219912622, 0.00021751166219912622]",[406]
[158],"[(1907.5, -892.5)]","[0, 1, 2]","[174.59511280342676, 203.23733824039468, 134.15138504396623]","[142.1423061602681, 177.50023311045805, 90.33985905294664]","[0.8012105224929659, 0.9881054213501752, 0.943979407968465]","[15738, 15738]","[0.0019718885597291755, 0.0019718885597291755]",[761]
[164],"[(3080.0, -2030.0)]","[0, 1]","[7.692307692307693, 34.26923059085593]","[1054.5158164540658, 3322.0773146403963]","[1.0, 1.0]","[2493, 2493]","[0.0003123597775705194, 0.0003123597775705194]",[444]
[161],"[(3237.5, -1242.5)]","[0, 1, 2]","[350.0, 218.04769622615942, 204.90231861312856]","[87.5, 238.78891664491775, 200.09462200367813]","[1.0, 0.9846421308983052, 0.9997047420171169]","[15738, 15738]","[0.0019718885597291755, 0.0019718885597291755]",[8404]
[165],"[(595.0, -35.0)]",[0],[244.22316508191452],[353.85975964357044],[0.9905936845650155],"[15738, 15738]","[0.0019718885597291755, 0.0019718885597291755]",[10152]
[171],"[(1452.5, -1015.0)]","[0, 1, 2, 3, 4]","[11.53846153846154, 26.542067304668556, 33.209024905589374, 36.206896551724135, 130.43729868748773]","[1344.3034873772403, 683.5606234348837, 500.5971473206198, 1664.0210206509873, 1223.8108286462125]","[1.0, 1.0, 0.9999999999999998, 1.0, 1.0]","[3943, 3943]","[0.0004940371451907573, 0.0004940371451907573]",[1816]
