,burstFrequency,percSpikesinBursts,SPB_mean,SPB_std,SPB_CV,SPB_median,SPB_P10,SPB_P90,SPBch_mean,SPBch_std,SPBch_CV,SPBch_median,SPBch_P10,SPBch_P90,burstDur_mean,burstDur_std,burstDur_CV,burstDur_median,burstDur_P10,burstDur_P90,burstPeak_mean,burstPeak_std,burstPeak_CV,burstPeak_median,burstPeak_P10,burstPeak_P90,IBI_mean,IBI_std,IBI_CV,IBI_median,IBI_P10,IBI_P90,burstISI_mean,burstISI_std,burstISI_CV,burstISI_median,burstISI_P10,burstISI_P90,nonburstISI_mean,nonburstISI_std,nonburstISI_CV,nonburstISI_median,nonburstISI_P10,nonburstISI_P90,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Burst Frequency,Spikes within Bursts,Mean Spikes per Burst,Spikes per Burst std,Spikes per Burst CV,Median Spikes per Burst,Spikes per Burst 10th percentile,Spikes per Burst 90th percentile,Mean Spikes per Burst per Electrode,Spikes per Burst per Electrode std,Spikes per Burst per Electrode CV,Median Spikes per Burst per Electrode,Spikes per Burst per Electrode 10th percentile,Spikes per Burst per Electrode 90th percentile,Mean Burst Duration,Burst Duration std,Burst Duration CV,Median Burst Duration,Burst Duration 10th percentile,Burst Duration 90th percentile,Mean Burst Peak Firing Rate,Burst Peak Firing Rate std,Burst Peak Firing Rate CV,Median Burst Peak Firing Rate,Burst Peak Firing Rate 10th percentile,Burst Peak Firing Rate 90th percentile,Mean IBI,IBI std,IBI CV,Median IBI,IBI 10th percentile,IBI 90th percentile,Mean ISI within Burst,ISI within Burst std,ISI within Burst CV,Median ISI within Burst,ISI within Burst 10th percentile,ISI within Burst 90th percentile,Mean ISI outside Burst,ISI outside Burst std,ISI outside Burst CV,Median ISI outside Burst,ISI outside Burst 10th percentile,ISI outside Burst 90th percentile,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
1,0.48,47.92,1620.63,434.41,0.27,1591.0,1262.6,1901.2,1.84,0.49,0.27,1.81,1.44,2.16,0.28,0.08,0.28,0.27,0.25,0.3,5.03,0.77,0.15,5.1,4.03,5.99,2.07,0.8,0.38,1.94,1.14,3.23,29.18,35.97,1.23,17.6,6.0,65.7,125.25,216.56,1.73,52.7,7.0,319.6,2024-12-28,M06792,1,000138,HET_80K,#f7c19b,25.11.2024,0,Run #000138,33
2,0.5,54.3,1985.35,470.97,0.24,2052.0,1343.0,2439.8,2.2,0.52,0.24,2.27,1.49,2.7,0.3,0.06,0.19,0.28,0.26,0.33,5.93,1.2,0.2,6.23,4.13,7.29,2.01,0.61,0.3,1.97,1.32,2.74,30.57,34.77,1.14,18.8,6.7,69.1,143.81,240.22,1.67,56.5,9.5,380.3,2024-12-28,M06792,2,000138,HET_80K,#f7c19b,25.11.2024,0,Run #000138,33
3,0.42,43.02,1074.26,315.81,0.29,1045.0,665.4,1511.0,1.23,0.36,0.29,1.19,0.76,1.72,0.26,0.05,0.2,0.25,0.23,0.3,3.48,0.9,0.26,3.39,2.24,4.84,2.39,1.24,0.52,2.02,1.18,4.08,25.01,36.59,1.46,12.8,4.2,58.2,182.53,314.25,1.72,73.8,9.0,462.2,2024-12-28,M06792,3,000138,WT_100K,#8cdee2,25.11.2024,0,Run #000138,33
4,0.32,17.35,1335.23,499.09,0.37,1204.0,938.2,1846.4,1.55,0.58,0.37,1.4,1.09,2.14,0.31,0.12,0.39,0.27,0.23,0.42,4.24,0.64,0.15,4.08,3.56,5.09,3.14,2.02,0.64,2.58,1.25,5.64,42.03,53.97,1.28,21.9,5.5,104.2,142.63,261.19,1.83,72.6,12.0,309.1,2024-12-28,M06792,4,000138,WT_100K,#8cdee2,25.11.2024,0,Run #000138,33
5,0.48,31.46,1425.68,1300.01,0.91,1267.0,955.0,1741.4,1.6,1.46,0.91,1.42,1.07,1.96,0.3,0.26,0.86,0.26,0.23,0.37,4.22,0.66,0.16,4.16,3.37,5.12,2.08,0.96,0.46,1.84,1.17,3.37,35.86,69.85,1.95,16.4,4.8,84.4,128.51,222.55,1.73,47.0,6.5,354.3,2024-12-28,M06792,5,000138,WT_60K,#bdccff,25.11.2024,0,Run #000138,33
6,0.58,49.75,1361.43,315.55,0.23,1359.0,978.1,1665.9,1.53,0.35,0.23,1.52,1.1,1.87,0.27,0.06,0.21,0.26,0.24,0.3,4.3,0.75,0.17,4.33,3.23,5.25,1.73,0.53,0.31,1.6,1.14,2.44,27.62,35.79,1.3,15.7,5.2,63.3,125.63,189.07,1.5,58.5,10.4,322.6,2024-12-28,M06792,6,000138,WT_60K,#bdccff,25.11.2024,0,Run #000138,33
