unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[20],"[(262.5, -1505.0)]","[0, 1, 2]","[21.739549781247952, 28.744129059096547, 144.30869689661813]","[391.3118960624632, 2593.196009058187, 334.65434844830907]","[1.0, 1.0, 1.0]","[1723, 1723]","[0.00021588283062735857, 0.00021588283062735857]",[169]
[19],"[(1225.0, -1120.0)]","[0, 1, 2]","[23.36190424253511, 19.565594803123158, 26.923076923076923]","[516.8111222274509, 273.9183272437242, 2575.6577437805986]","[1.0, 1.0, 1.0]","[1723, 1723]","[0.00021588283062735857, 0.00021588283062735857]",[63]
[7],"[(2275.0, -1260.0)]",[0],[1146.5958320931923],[123.94834428021885],[1.0],"[15672, 15672]","[0.0019636191071340475, 0.0019636191071340475]",[1766]
[27],"[(472.5, -1295.0)]","[0, 1, 2]","[15.971914124998497, 23.54887619274325, 26.99505319655933]","[336.6311896062463, 524.9141343279025, 900.0661460832486]","[1.0, 1.0, 1.0]","[3199, 3199]","[0.0004008178613911318, 0.0004008178613911318]",[70]
[22],"[(560.0, -17.5)]","[0, 1]","[251.2575394669745, 265.8933356255835]","[175.34588466214896, 298.7856780162238]","[0.9999812373854179, 0.9928201296187178]","[15672, 15672]","[0.0019636191071340475, 0.0019636191071340475]",[2845]
[42],"[(3290.0, -297.5)]",[0],[26.516504294495537],[1250.3972439928464],[1.0],"[2469, 2469]","[0.00030935270389956373, 0.00030935270389956373]",[55]
[48],"[(3675.0, -1750.0)]",[0],[228.2930974380815],[363.39434711158407],[0.9914154644819538],"[15672, 15672]","[0.0019636191071340475, 0.0019636191071340475]",[202]
[44],"[(875.0, -962.5)]","[0, 1]","[327.9908011346351, 782.1871790818074]","[735.3230629683393, 265.12119204625793]","[0.9766085623044817, 0.9393246862429753]","[15672, 15672]","[0.0019636191071340475, 0.0019636191071340475]",[15432]
[51],"[(612.5, -1085.0)]","[0, 1]","[28.66151168873514, 448.2186966202994]","[150.7760293526184, 1262.4051642232107]","[0.9999999999999996, 1.0]","[5412, 5412]","[0.0006780951128005018, 0.0006780951128005018]",[663]
[54],"[(840.0, -927.5)]","[0, 1, 2, 3]","[25.73529411764706, 46.666666666666664, 116.66666666666667, 54.99719409228703]","[211.24368670764582, 859.7310167563725, 158.58951059522462, 472.7660064687322]","[1.0, 1.0, 1.0, 1.0]","[5393, 5393]","[0.0006757145128109953, 0.0006757145128109953]",[3968]
[62],"[(472.5, -280.0)]",[0],[390.0626325304327],[322.1280623861121],[0.9905828037706091],"[15672, 15672]","[0.0019636191071340475, 0.0019636191071340475]",[11373]
[82],"[(332.5, -507.5)]","[0, 1, 2, 3, 4]","[34.424056600331866, 21.538611477107185, 35.57380873295119, 69.50610540804225, 31.42696805273545]","[3674.3996083596276, 607.8373237237979, 377.8141276634072, 1952.008970764498, 545.1591568054853]","[0.7515641122445523, 1.0, 1.0, 0.8567964184911422, 1.0]","[3924, 3924]","[0.0004916565452012507, 0.0004916565452012507]",[192]
[96],"[(2205.0, -1295.0)]",[0],[384.9177525264197],[190.2334278716856],[0.9997930810481375],"[8333, 8333]","[0.001044081037503064, 0.001044081037503064]",[797]
[107],"[(315.0, -507.5)]",[0],[18.289028208875308],[2381.104103738137],[0.9999999999999998],"[996, 996]","[0.00012479355734465998, 0.00012479355734465998]",[76]
[108],"[(315.0, -507.5)]","[0, 1]","[24.748737341529164, 82.99382976189685]","[287.83142396305504, 775.207993214995]","[1.0, 1.0]","[1006, 1006]","[0.00012604650470755818, 0.00012604650470755818]",[268]
[109],"[(3447.5, -1872.5)]","[0, 1]","[125.6538454998051, 152.76966415747927]","[111.74038412485382, 184.8109077121396]","[1.0, 0.9424530837832105]","[15672, 15672]","[0.0019636191071340475, 0.0019636191071340475]",[3457]
[124],"[(3045.0, -1855.0)]","[0, 1]","[30.100915081727933, 26.087459737497543]","[473.82217179934406, 718.7082639694122]","[0.9999999999999998, 0.9999999999999998]","[5406, 5406]","[0.0006773433443827629, 0.0006773433443827629]",[864]
[133],"[(2940.0, -1645.0)]","[0, 1, 2]","[87.07765677421193, 36.89323936863109, 116.66666666666666]","[841.7246562664715, 2666.654183296583, 1428.7834918722233]","[0.9960937151723565, 1.0, 1.0]","[2476, 2476]","[0.0003102297670535925, 0.0003102297670535925]",[377]
[152],"[(1925.0, -717.5)]","[0, 1]","[310.5790462167985, 537.3318228430358]","[136.99747468305833, 112.59462200367814]","[0.9937815413089194, 0.8208658782571306]","[15672, 15672]","[0.0019636191071340475, 0.0019636191071340475]",[11357]
[160],"[(3062.5, -437.5)]","[0, 1, 2]","[381.4146528233354, 40.707836981045034, 88.60824534529317]","[2228.778262100836, 839.829083061645, 1775.106178669313]","[0.999841921070777, 0.9999999999999998, 0.9999646349141726]","[3196, 3196]","[0.0004004419771822623, 0.0004004419771822623]",[132]
[164],"[(2957.5, -1715.0)]","[0, 1, 2, 3, 4]","[63.890019522059696, 29.450754468697582, 35.0, 26.087459737497543, 420.647648804132]","[2555.2391672718168, 684.9042974487149, 1417.9604466123749, 3121.56630652274, 1096.1901973408008]","[0.9863432728332273, 1.0, 1.0, 0.9999999999999998, 0.9999999999999996]","[4672, 4672]","[0.0005853770079460355, 0.0005853770079460355]",[3722]
[179],"[(1260.0, -700.0)]","[0, 1, 2, 3, 4]","[20.06654379042905, 41.44903612653836, 43.22127344007359, 260.87459737497545, 90.19293556038632]","[530.5903803887729, 573.2217927944795, 982.3404975963301, 498.48535580048036, 1363.9578358255494]","[1.0, 0.7809420854760185, 0.9819683805690054, 1.0, 0.9999999999999998]","[3941, 3941]","[0.0004937865557181777, 0.0004937865557181777]",[3925]
[182],"[(1365.0, -437.5)]","[0, 1]","[18.633899812498246, 21.874999999999996]","[1898.1716006785823, 1082.8461878657097]","[1.0, 0.9999999999999998]","[6141, 6141]","[0.0007694349755557801, 0.0007694349755557801]",[4603]
[197],"[(3727.5, -1767.5)]",[0],[38.888888888888886],[112.24873734152916],[1.0],"[1003, 1003]","[0.0001256706204986887, 0.0001256706204986887]",[462]
