unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[36],"[(2747.5, -1662.5)]","[0, 1, 2, 3, 4, 5]","[17.857142857142858, 52.24526126978881, 30.064311853462108, 455.25994554422215, 52.22879137316117, 38.639542812094774]","[361.41832724372426, 1197.9971718589181, 1235.7813259625054, 1153.8520114689404, 211.48620113767817, 161.55214883813318]","[1.0, 0.9496537740649176, 0.9999999999999998, 0.9931530451958509, 1.0, 1.0]","[1723, 1723]","[0.00024624135368433086, 0.00024624135368433086]",[589]
[58],"[(2135.0, -1382.5)]","[0, 1, 2, 3, 4, 5]","[214.3578502800509, 62.912644590155665, 21.870368631601277, 30.898486598312726, 19.41749440454268, 1274.0192306240904]","[293.4830794139636, 1179.003047674389, 915.1886279461386, 455.0121263663991, 293.3655929558169, 288.7439510650346]","[0.9898429483288552, 0.8544152873768065, 0.8198613229942048, 1.0, 1.0, 0.9999999999999998]","[2445, 2445]","[0.0003494254844795061, 0.0003494254844795061]",[1090]
[34],"[(2117.5, -945.0)]","[0, 1, 2]","[27.669929526473318, 13.497526598279665, 64.2726156115852]","[288.8189801751575, 562.8398590529466, 1033.4923668735141]","[1.0, 1.0, 0.9256168567472659]","[4609, 4609]","[0.0006586920482478705, 0.0006586920482478705]",[2792]
[8],"[(1995.0, -1575.0)]","[0, 1, 2, 3, 4, 5, 6, 7]","[15.97294646183963, 13.560951967961186, 30.88791051919434, 80.17149827589895, 34.93939389392353, 31.304951684997054, 445.7106781186548, -28.020181798960323]","[743.8652758893243, 171.99747468305833, 1635.1963726502759, 305.65072489924364, 292.8011209457931, 144.13118960624632, 136.99747468305833, 149.8109077121396]","[1.0, 1.0, 0.9762526861559001, 1.0, 1.0, 1.0, 0.9995477336755353, 1.0]","[2442, 2442]","[0.0003489967415537644, 0.0003489967415537644]",[256]
[24],"[(1732.5, -1540.0)]",[0],[360.77174224154527],[844.3086968966181],[0.9999999999999998],"[8965, 8965]","[0.0012812267764248557, 0.0012812267764248557]",[668]
[62],"[(1925.0, -1855.0)]","[0, 1, 2, 3]","[40.13455344230391, 176.36188824403075, -349.99999999999994, 309.3592167691145]","[731.6477938032991, 651.2978013941884, 264.98737341529164, 1440.4369881260134]","[1.0, 1.0, 0.9999999999999998, 0.9999999999999998]","[2448, 2448]","[0.0003498542274052478, 0.0003498542274052478]",[2394]
[66],"[(2555.0, -1715.0)]",[0],[91.6122242005407],[539.931394753516],[0.9977952321939985],"[8248, 8248]","[0.0011787572171725834, 0.0011787572171725834]",[833]
[67],"[(2327.5, -1575.0)]","[0, 1, 2, 3]","[53.33419237145111, 59.23379082338596, 23.977771315810056, 12.134066792426886]","[583.0936798059886, 260.67795241502745, 567.7881295137175, 856.7949802520194]","[0.8966776562126058, 1.0, 0.9291077260131599, 1.0]","[6083, 6083]","[0.0008693477390956382, 0.0008693477390956382]",[780]
[84],"[(2135.0, -1435.0)]","[0, 1, 2, 3]","[122.97746456210363, 14.576636050163447, 15.652475842498527, 22.411763824017786]","[195.33985905294662, 322.71621705564525, 325.7497526277843, 681.8789280853896]","[1.0, 1.0, 1.0, 0.9904331412980412]","[3177, 3177]","[0.00045403875836048707, 0.00045403875836048707]",[878]
[82],"[(2135.0, -682.5)]","[0, 1]","[411.57215834091727, 53.24132475291495]","[308.6858637613212, 258.4830794139636]","[0.9857770406512419, 1.0]","[5348, 5348]","[0.0007643057222889156, 0.0007643057222889156]",[2153]
[65],"[(2135.0, -1382.5)]",[0],[147.57295747452437],[128.17971810589327],[1.0],"[11142, 11142]","[0.0015923512262047677, 0.0015923512262047677]",[9054]
[77],"[(2415.0, -945.0)]","[0, 1, 2]","[400.44606934976275, 422.48737341529164, 1080.709344401702]","[347.7334278716856, 129.74873734152916, 176.44834428021886]","[0.9851784991286024, 0.9902829307627805, 0.9601092655496788]","[11142, 11142]","[0.0015923512262047677, 0.0015923512262047677]",[4454]
[86],"[(1400.0, -997.5)]","[0, 1, 2]","[19.24115958621575, 58.333333333333336, 45.225809480612554]","[230.62358836571386, 189.54165815979275, 393.9815788294029]","[1.0, 1.0, 0.7923505300106726]","[5351, 5351]","[0.0007647344652146573, 0.0007647344652146573]",[44]
[88],"[(1750.0, -1365.0)]","[0, 1]","[35.703134872868795, 20.595362950655957]","[715.1267794768622, 687.5764455839579]","[1.0, 1.0]","[4612, 4612]","[0.0006591207911736123, 0.0006591207911736123]",[2184]
[137],"[(2205.0, -612.5)]","[0, 1, 2, 3]","[21.388863498515192, 27.95084971874737, 26.087459737497543, 68.57806067385509]","[669.8199011382098, 291.8771024878324, 255.5942349511735, 880.0005849895673]","[1.0, 1.0, 0.9999999999999998, 0.9842382555929122]","[4619, 4619]","[0.0006601211913336763, 0.0006601211913336763]",[3572]
[94],"[(3570.0, -1382.5)]","[0, 1, 2]","[29.116161578269605, 111.5978048848929, 68.40169943749474]","[544.1775101294832, 2438.6146386845403, 145.86403109412004]","[1.0, 0.999286337013719, 0.9089371284878981]","[11142, 11142]","[0.0015923512262047677, 0.0015923512262047677]",[338]
[165],"[(3465.0, -1172.5)]","[0, 1, 2]","[667.8751799151098, 33.65384615384615, 124.014479020967]","[497.38537766276806, 181.74038412485382, 690.2287314552971]","[0.9753819691148986, 0.9999999999999998, 0.9551767796769021]","[994, 994]","[0.00014326069410815174, 0.00014326069410815174]",[279]
[170],"[(857.5, -2030.0)]","[0, 1, 2]","[16.034299655179794, 27.00112630242767, 48.42867719603973]","[189.54791726704804, 1124.789214891195, 2211.451714751123]","[1.0, 0.9999999999999998, 0.8619317682970623]","[1709, 1709]","[0.00024424055336420283, 0.00024424055336420283]",[570]
[141],"[(2975.0, -1557.5)]",[0],[430.35562446342925],[1777.2061809542822],[0.8799160187800692],"[9693, 9693]","[0.0013852683930715144, 0.0013852683930715144]",[3405]
[172],"[(2345.0, -892.5)]",[0],[72.41379310344827],[144.13118960624632],[1.0],"[6789, 6789]","[0.0009702452409535243, 0.0009702452409535243]",[1982]
