unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[23],"[(2065.0, -297.5)]","[0, 1]","[29.781826796195293, 65.21864934374386]","[1452.9932811328367, 1008.2354971035422]","[0.9169064874143082, 1.0]","[4674, 4674]","[0.0005856275974186151, 0.0005856275974186151]",[532]
[25],"[(2415.0, -1102.5)]","[0, 1, 2]","[41.1764705882353, 5.932203389830509, 61.48873228105182]","[259.1093483101497, 966.9468868986044, 752.7099186339412]","[1.0, 1.0, 1.0]","[3192, 3192]","[0.00039994079823710304, 0.00039994079823710304]",[2479]
[0],"[(665.0, -1575.0)]","[0, 1]","[166.59503669077296, 195.65594803123156]","[158.02476669414756, 166.53311266865538]","[1.0, 0.9999999999999998]","[14921, 14921]","[0.001869522760180393, 0.001869522760180393]",[6266]
[52],"[(1837.5, -1347.5)]","[0, 1, 2]","[10.714285714285717, 25.757490782834076, 18.200553305230844]","[1521.666430327075, 1548.14048886637, 1346.1370772800894]","[1.0, 0.9775708067160385, 1.0]","[1741, 1741]","[0.0002181381358805753, 0.0002181381358805753]",[560]
[124],"[(2100.0, -105.0)]","[0, 1]","[39.59882719565277, 19.538476848575655]","[2477.46941557504, 936.0212696817467]","[0.9990207873756469, 1.0]","[1008, 1008]","[0.0001273674085375966, 0.0001273674085375966]",[981]
[113],"[(2100.0, -490.0)]","[0, 1, 2]","[17.391639824998364, 12.622964389111713, 98.99494936611666]","[418.0509163940756, 424.52871165328804, 1268.6131991771963]","[1.0, 1.0, 1.0]","[6874, 6874]","[0.0008612760172562175, 0.0008612760172562175]",[1388]
[119],"[(630.0, -1522.5)]","[0, 1]","[15.909090909090907, 70.71067811865476]","[624.9794235198424, 2661.2292521699997]","[1.0, 1.0]","[14921, 14921]","[0.001869522760180393, 0.001869522760180393]",[398]
[139],"[(1155.0, -1540.0)]","[0, 1]","[21.875, 53.44766551726597]","[1016.2718869110055, 1285.8522103562882]","[1.0, 0.9999999999999998]","[1737, 1737]","[0.00021763695693541605, 0.00021763695693541605]",[730]
[137],"[(665.0, -1190.0)]",[0],[441.6456223588193],[1334.4562620688007],[0.9870847906150131],"[14921, 14921]","[0.001869522760180393, 0.001869522760180393]",[2490]
[143],"[(1172.5, -822.5)]","[0, 1, 2]","[15.909090909090907, 21.874999999999996, 92.23309842157774]","[1092.2665226895251, 760.9863979442039, 1454.1362166404263]","[1.0, 0.9999999999999998, 1.0]","[6119, 6119]","[0.000766678491357404, 0.000766678491357404]",[2816]
[142],"[(2502.5, -1715.0)]",[0],[235.63863192012474],[261.0878634599786],[0.9634517956471544],"[14921, 14921]","[0.001869522760180393, 0.001869522760180393]",[4391]
