unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[41],"[(1680.0, -1907.5)]","[0, 1, 2]","[55.26315789473684, 122.19554059694208, 85.22466654496601]","[476.13014529185716, 1520.951777502392, 1547.946556202021]","[1.0, 0.9720331640255562, 0.805563339679836]","[1739, 1739]","[0.0002178875464079957, 0.0002178875464079957]",[883]
[28],"[(1417.5, -857.5)]","[0, 1, 2, 3]","[12.691660175143161, 48.102898965539374, 41.190725901311914, 54.99719409228703]","[2110.71222574613, 495.42288023398294, 890.717943847997, 807.3725294664555]","[1.0, 1.0, 1.0, 1.0]","[5410, 5410]","[0.0006778445233279222, 0.0006778445233279222]",[1597]
[3],"[(1522.5, -1155.0)]","[0, 1, 2, 3]","[372.4250558465518, 217.2957516182273, 309.3592167691145, 874.9999999999999]","[1099.5307685109753, 198.36403109412004, 249.93798134888544, 112.24873734152916]","[0.9803946239777719, 0.9278490335373961, 0.9999999999999998, 1.0]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[862]
[57],"[(1400.0, -385.0)]","[0, 1, 2]","[24.748737341529164, 47.14045207910318, 120.25724741384843]","[1413.6537302952593, 229.67100215033082, 615.7822082936265]","[1.0, 1.0, 0.9999999999999998]","[3932, 3932]","[0.0004926589030915693, 0.0004926589030915693]",[2334]
[69],"[(3832.5, -1942.5)]",[0],[30.304576336566328],[1165.7188410904748],[1.0],"[1009, 1009]","[0.00012642238891642763, 0.00012642238891642763]",[496]
[74],"[(2502.5, -1067.5)]","[0, 1]","[17.28688967688214, 18.557984506064653]","[382.4421801612763, 1587.9086110760572]","[1.0, 1.0]","[4669, 4669]","[0.000585001123737166, 0.000585001123737166]",[1479]
[59],"[(2327.5, -2012.5)]","[0, 1, 2, 3]","[348.8432739128358, 299.1013002478398, 325.4094505912543, 638.7992694777548]","[2239.9377774174545, 520.7986594357039, 1707.086530122515, 88.62866428930465]","[0.9524215250457035, 0.988331657211635, 0.9867842287707198, 0.9833835311765127]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[865]
[150],"[(1120.0, -1172.5)]","[0, 1]","[13.569278993681682, 7.5982892439313225]","[1114.9912722210302, 873.4610104804615]","[1.0, 1.0]","[9068, 9068]","[0.001136172668676081, 0.001136172668676081]",[477]
[154],"[(997.5, -1190.0)]","[0, 1, 2]","[5.785123966942149, 92.78961753111506, 32.35751144647169]","[2425.8484372707526, 1312.99138554791, 1053.8197371508911]","[1.0, 0.8974815631076732, 1.0]","[5401, 5401]","[0.0006767168707013138, 0.0006767168707013138]",[2272]
[165],"[(822.5, -1260.0)]","[0, 1]","[23.018346827203715, 15.971914124998497]","[2070.881572636063, 102.22833692686612]","[1.0, 1.0]","[2457, 2457]","[0.0003078491670640859, 0.0003078491670640859]",[1236]
[161],"[(1120.0, -1172.5)]","[0, 1, 2, 3, 4, 5]","[14.673755190841817, 39.89682131827701, 10.575997190877382, 36.8421052631579, 31.818181818181813, 70.0]","[118.43700637356645, 644.6677380905418, 1242.56637689304, 547.6570422384664, 2124.2942827160864, 380.15395115803034]","[0.9999999999999996, 0.9964811156244484, 1.0, 1.0, 1.0, 1.0]","[3937, 3937]","[0.0004932853767730184, 0.0004932853767730184]",[2024]
[196],"[(2870.0, -1190.0)]","[0, 1]","[36.66479606152469, 19.03749026271474]","[279.16847683338915, 990.2750785831511]","[1.0, 1.0]","[5415, 5415]","[0.0006784709970093712, 0.0006784709970093712]",[3217]
[228],"[(840.0, -665.0)]",[0],[21.03951714634902],[119.54165815979276],[1.0],"[997, 997]","[0.00012597748642061886, 0.00012597748642061886]",[323]
[211],"[(1347.5, -402.5)]","[0, 1, 2]","[19.444444444444443, 68.05424279347186, 115.89219943705949]","[550.6041174104736, 884.9725192256203, 1749.5410138152529]","[0.9999999999999998, 1.0, 1.0]","[5408, 5408]","[0.0006775939338553425, 0.0006775939338553425]",[2297]
[243],"[(3290.0, -1872.5)]",[0],[65.21864934374386],[189.54791726704804],[1.0],"[5401, 5401]","[0.0006767168707013138, 0.0006767168707013138]",[1110]
[235],"[(1435.0, -455.0)]","[0, 1, 2, 3, 4]","[13.46153846153846, 328.76523365090543, 383.3298617359042, 354.378715265778, 638.7992694777548]","[687.5466401676827, 1393.10032531344, 321.19452775169765, 141.44834428021886, 88.62866428930465]","[1.0, 0.9474411908727987, 0.8082033837788215, 0.9999972898612556, 0.9833835311765127]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[823]
[281],"[(1067.5, -455.0)]","[0, 1, 2, 3, 4]","[58.333333333333336, 244.56730687475635, 431.62776037466176, 35.35533905932738, 184.46619684315547]","[467.42360462638544, 1278.4909653086188, 437.64343321463156, 984.0616424981313, 2759.2455989040977]","[1.0, 1.0, 0.9694129439228771, 1.0, 1.0]","[2474, 2474]","[0.0003099791775810128, 0.0003099791775810128]",[1985]
[278],"[(2345.0, -1015.0)]","[0, 1, 2, 3, 4, 5, 6]","[15.517064182432058, 26.987027314652643, 38.33011978389822, 14.189707449473497, 57.1181704124104, 30.893044425983934, 47.31037523565282]","[142.15434844830907, 440.07762482399005, 434.3989105761085, 2450.283751923926, 633.7909071817996, 719.5563375117227, 1141.3185052182953]","[1.0, 1.0, 0.9234535894382485, 1.0, 0.8831394626344221, 1.0, 1.0]","[4659, 4659]","[0.0005837481763742679, 0.0005837481763742679]",[4317]
[309],"[(2170.0, -980.0)]","[0, 1, 2]","[11.901044957622934, 50.0, 280.0]","[1162.8285723137185, 1479.903674508371, 400.1893396219811]","[1.0, 1.0, 1.0]","[6874, 6874]","[0.0008612760172562175, 0.0008612760172562175]",[4667]
[301],"[(1155.0, -1470.0)]","[0, 1]","[36.644889680216274, 259.72997724251707]","[88.62866428930465, 313.9911142022497]","[0.9977952321939982, 0.9983906169439102]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[3580]
[315],"[(1855.0, -735.0)]","[0, 1, 2, 3]","[362.83941700174813, 276.6992952647331, 375.3984000100182, 283.1153845831313]","[412.499110693965, 142.83985905294662, 312.2779621037304, 144.90192306240908]","[0.9461636786342787, 1.0, 0.9748189584956876, 1.0]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[9755]
[366],"[(997.5, -1190.0)]","[0, 1, 2, 3]","[28.162845572042627, 19.538476848575666, 19.718309859154928, 25.769410160110382]","[529.1311896062464, 2772.312649308888, 872.9048822868124, 492.51877367956007]","[0.7844594506787791, 1.0, 1.0, 1.0]","[3941, 3941]","[0.0004937865557181777, 0.0004937865557181777]",[1541]
[325],"[(2187.5, -87.5)]","[0, 1]","[57.66651514158704, 91.91450300180578]","[151.53913284285107, 172.40721895886472]","[0.9577190815037565, 1.0]","[12711, 12711]","[0.0015926213929798926, 0.0015926213929798926]",[5366]
[411],"[(1890.0, -1802.5)]","[0, 1]","[84.93461537493937, 38.24069534583019]","[1065.4084528904268, 981.3053208847631]","[1.0, 1.0]","[5410, 5410]","[0.0006778445233279222, 0.0006778445233279222]",[3113]
[416],"[(1312.5, -647.5)]",[0],[85.13824469684099],[1033.6195992091048],[1.0],"[6120, 6120]","[0.0007668037860936939, 0.0007668037860936939]",[5427]
[419],"[(542.5, -297.5)]","[0, 1, 2]","[50.0, 71.20003121097943, 50.00000000000001]","[312.6562030780739, 863.3827974460467, 539.5751861561704]","[1.0, 1.0, 1.0]","[6108, 6108]","[0.000765300249258216, 0.000765300249258216]",[2082]
[423],"[(507.5, -262.5)]",[0],[47.900781951346765],[91.74621202458749],[1.0],"[2477, 2477]","[0.0003103550617898823, 0.0003103550617898823]",[346]
[422],"[(1540.0, -682.5)]",[0],[224.10015735316668],[374.722740220107],[0.884507695611176],"[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[3634]
[428],"[(2835.0, -1330.0)]","[0, 1, 2, 3, 4, 5]","[28.379414898946994, 359.7230237789574, 20.325168576988467, 22.58064516129032, -250.7524319269132, 315.485736603099]","[494.4846815964662, 1125.9295717599057, 1411.9047916279335, 372.9811385269894, 2321.808831077415, 1232.9822912556986]","[1.0, 0.9745018983241903, 1.0, 0.9999999999999998, 0.966488357531657, 0.9999999999999998]","[3205, 3205]","[0.0004015696298088707, 0.0004015696298088707]",[2552]
[425],"[(3062.5, -997.5)]","[0, 1]","[23.57022603955159, 26.92307692307692]","[539.4391782863752, 1986.386106406361]","[1.0, 1.0]","[6862, 6862]","[0.0008597724804207397, 0.0008597724804207397]",[1036]
[434],"[(507.5, -262.5)]","[0, 1]","[57.72347875864725, 97.07253433941509]","[1545.89957744822, 705.1349187951647]","[1.0, 1.0]","[1730, 1730]","[0.00021675989378138732, 0.00021675989378138732]",[339]
[440],"[(1540.0, -70.0)]",[0],[50.50762722761055],[1094.4811640927524],[1.0],"[2475, 2475]","[0.00031010447231730263, 0.00031010447231730263]",[1484]
[446],"[(3080.0, -997.5)]",[0],[32.99831645537222],[260.2253798119235],[1.0],"[3205, 3205]","[0.0004015696298088707, 0.0004015696298088707]",[1758]
[442],"[(1855.0, -1155.0)]","[0, 1]","[192.14261913791648, 260.87459737497545]","[113.26237921249265, 102.22833692686612]","[0.9885464883453579, 1.0]","[14195, 14195]","[0.0017785587816339843, 0.0017785587816339843]",[4393]
[441],"[(1855.0, -1155.0)]","[0, 1, 2]","[367.44220190662486, 350.0, 225.00000000000003]","[353.38599286791396, 198.17971810589327, 141.44834428021886]","[0.992485718477787, 1.0, 0.9642857142857143]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[2926]
[449],"[(2187.5, -87.5)]","[0, 1, 2, 3]","[96.20579793107875, 289.4857420644744, 295.49013675122995, 301.8537766524362]","[89.65434844830907, 204.34083402826565, 200.55929627614194, 260.25996128369377]","[1.0, 0.9972149163712785, 0.9991605078045256, 1.0]","[10538, 10538]","[0.0013203559310221154, 0.0013203559310221154]",[3185]
[450],"[(35.0, -1102.5)]","[0, 1, 2]","[82.49579113843055, 230.49512175628627, 222.66262170646996]","[1041.1055890427415, 2698.277520035518, 189.90721895886472]","[1.0, 0.8458073191257776, 0.9903052464221254]","[10513, 10513]","[0.0013172235626148698, 0.0013172235626148698]",[9218]
[455],"[(1837.5, -1102.5)]","[0, 1]","[23.058274605394434, 195.65594803123156]","[188.61588840556504, 826.8256100511292]","[1.0, 0.9999999999999998]","[3198, 3198]","[0.000400692566654842, 0.000400692566654842]",[835]
[451],"[(157.5, -927.5)]",[0],[70.90970163685337],[2090.8014681488667],[0.9738323172228693],"[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[11988]
[456],"[(2187.5, -87.5)]","[0, 1]","[240.8513919666797, 194.90289062471894]","[199.55467415507485, 184.5200655430568]","[0.8999453474218054, 0.9945456010163353]","[9810, 9810]","[0.001229141363003127, 0.001229141363003127]",[973]
[462],"[(892.5, -1260.0)]","[0, 1, 2]","[10.294117647058824, 29.450754468697582, 30.046260628866577]","[1520.852028298915, 493.6101587060394, 1022.4100524772219]","[1.0, 1.0, 1.0]","[2478, 2478]","[0.0003104803565261721, 0.0003104803565261721]",[2136]
[459],"[(1067.5, -1732.5)]",[0],[23.333333333333332],[584.7417214010942],[1.0],"[7591, 7591]","[0.0009511123431760179, 0.0009511123431760179]",[706]
[463],"[(612.5, -892.5)]","[0, 1, 2, 3, 4, 5]","[26.849849923668003, 18.561553006146873, 22.90614236454256, 46.68944756461452, 39.131189606246316, 97.82797401561578]","[262.62784671296896, 508.93719421768526, 527.4907625423282, 446.39170470957384, 336.6311896062463, 807.9370818833542]","[1.0, 1.0, 0.9999999999999998, 1.0, 1.0, 0.9999999999999998]","[1734, 1734]","[0.00021726107272654658, 0.00021726107272654658]",[32]
[460],"[(2380.0, -927.5)]","[0, 1, 2, 3]","[331.8244525875301, 256.31446035950444, 198.29520330638604, 442.7188724235731]","[276.4420973183859, 136.99747468305833, 106.73284148787373, 128.17971810589327]","[0.9646682350190241, 0.8972206046137806, 0.9999999999999996, 1.0]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[12913]
[461],"[(3465.0, -1662.5)]","[0, 1, 2]","[536.2629317424298, 490.0, 626.66379824158]","[229.89950410661538, 310.98076824970764, 190.85700121617077]","[0.9554224394146617, 1.0, 0.9688810871614458]","[14917, 14917]","[0.0018690215812352338, 0.0018690215812352338]",[6255]
