unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[513],"[(3710.0, -1995.0)]",[0],[170.27648939368197],[149.8109077121396],[1.0],"[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[7805]
[515],"[(2030.0, -1995.0)]","[0, 1, 2]","[290.9961158134201, 615.0328098188776, 420.7679317376186]","[405.3306155032415, 240.75658671374833, 279.5615674071738]","[0.9586661194572422, 0.9106781888221566, 0.9837541082238285]","[13495, 13495]","[0.0016908524662311109, 0.0016908524662311109]",[8270]
[516],"[(227.5, -262.5)]","[0, 1, 2]","[165.02477537283065, 192.4115958621575, 195.65594803123156]","[201.53311266865538, 161.80869689661813, 156.52475842498527]","[0.9793111236123332, 1.0, 0.9999999999999998]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[268]
[517],"[(1435.0, -647.5)]",[0],[51.5055582770109],[88.62866428930465],[0.8523952946218609],"[12760, 12760]","[0.0015987608350580937, 0.0015987608350580937]",[5985]
[518],"[(2030.0, -1820.0)]",[0],[309.3592167691145],[141.24368670764582],[0.9999999999999998],"[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[7536]
[519],"[(892.5, -2065.0)]",[0],[187.1331622813345],[160.6857437150956],[0.9754227239153958],"[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[14753]
[521],"[(2432.5, -1890.0)]","[0, 1, 2, 3]","[19.79898987322333, 231.63986011347103, 341.4440554089315, 365.29154874663567]","[197.103748872961, 284.9019230624091, 290.87157373110017, 223.3805512261926]","[1.0, 1.0, 0.9687835839690417, 0.9998927240718877]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[12641]
[522],"[(2432.5, -1890.0)]","[0, 1, 2]","[347.0728254727764, 228.73880683421973, 303.20916795559015]","[353.690834659915, 166.89104350179727, 271.9352269785317]","[0.9657801203313021, 0.8054417653516536, 0.9879093793980923]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[12641]
[527],"[(227.5, -892.5)]",[0],[99.87458674335194],[167.58859639447581],[0.8296631984405077],"[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[6920]
[526],"[(3097.5, -2030.0)]","[0, 1]","[478.4702945678147, 334.53487149610214]","[424.41167702691837, 175.28942951477512]","[0.8843647733582287, 1.0]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[6441]
[533],"[(3150.0, -1907.5)]","[0, 1]","[385.21471494948884, 38.888888888888886]","[1702.2901715365194, 144.90192306240908]","[0.851607229984016, 0.9999999999999998]","[14958, 14958]","[0.0018741586654231165, 0.0018741586654231165]",[1200]
