unit_ids,unit location,branch_id,velocity,length,r2,num_channels_included,channel_density,init_chan
[19],"[(910.0, -770.0)]",[0],[700.0],[122.5],[1.0],"[1009, 1009]","[0.00012642238891642763, 0.00012642238891642763]",[729]
[25],"[(2135.0, -1452.5)]","[0, 1, 2, 3]","[136.11111111111111, 82.3529411764706, 80.17149827589895, 141.78323071895716]","[665.8461143691009, 845.1532106622535, 1074.4018228776538, 385.0920932823601]","[1.0, 1.0, 1.0, 0.9733314845805687]","[3207, 3207]","[0.00040182021928145036, 0.00040182021928145036]",[69]
[34],"[(2730.0, -192.5)]","[0, 1, 2, 3, 4]","[49.348242883273855, 8.695819912499175, 82.23684210526315, 60.990195135927834, 123.5294117647059]","[387.4873734152916, 486.32382147756863, 246.08951059522462, 236.28751564294856, 786.6019732952657]","[0.9670755104837604, 1.0, 0.9474290565122486, 0.9253694938210512, 1.0]","[5409, 5409]","[0.0006777192285916323, 0.0006777192285916323]",[509]
[39],"[(2712.5, -192.5)]","[0, 1, 2]","[21.67628143628143, 186.365792065806, 417.2360603491636]","[3150.9820534381106, 340.22864857205195, 273.46840982327564]","[0.770095396550199, 0.9355838703681945, 0.9993565760779937]","[6149, 6149]","[0.0007704373334460985, 0.0007704373334460985]",[1424]
[40],"[(2730.0, -192.5)]",[0],[174.99999999999997],[2758.542041166246],[0.9999999999999998],"[10546, 10546]","[0.0013213582889124338, 0.0013213582889124338]",[7692]
[4],"[(910.0, -805.0)]","[0, 1, 2, 3, 4]","[380.7893288003492, 121.16002668419854, 87.25412051844975, 236.31137540587687, 63.09714732061981]","[928.0944868887124, 232.27097871873505, 233.17971810589327, 359.5058474433142, 87.84588466214898]","[0.993303324313574, 1.0, 0.9925275281219014, 0.9993651339520382, 1.0]","[14954, 14954]","[0.0018736574864779572, 0.0018736574864779572]",[8852]
[75],"[(490.0, -262.5)]","[0, 1, 2]","[85.25432737421895, 459.8789188544614, 44.99770425732575]","[432.35992459600345, 269.64855594956475, 161.4281066698956]","[0.7589234206512729, 0.9980557951897713, 1.0]","[1002, 1002]","[0.0001255453257623989, 0.0001255453257623989]",[530]
[86],"[(2135.0, -1452.5)]","[0, 1, 2, 3]","[91.30434782608695, 109.99438818457406, 349.99999999999994, 86.95819912499181]","[1052.1041389414365, 625.1384218020069, 1174.7515932155807, 1867.6090401693862]","[1.0, 1.0, 0.9999999999999998, 1.0]","[6131, 6131]","[0.0007681820281928818, 0.0007681820281928818]",[2556]
[84],"[(2467.5, -1435.0)]","[0, 1]","[360.980478432836, 250.0]","[159.64230616026813, 126.63118960624632]","[0.9411598293839851, 1.0]","[14954, 14954]","[0.0018736574864779572, 0.0018736574864779572]",[8696]
[112],"[(1295.0, -1400.0)]","[0, 1, 2, 3, 4, 5]","[28.45904698636096, 41.247895569215274, 106.06601717798215, 174.99999999999997, 553.3985905294662, 391.3118960624631]","[1059.0433180566363, 272.23611075682084, 1755.0663243507104, 1256.3024903671944, 260.1721074905401, 1706.321940540284]","[1.0, 1.0, 1.0, 0.9999999999999998, 1.0, 0.9999999999999998]","[5402, 5402]","[0.0006768421654376036, 0.0006768421654376036]",[2551]
[125],"[(1592.5, -332.5)]","[0, 1, 2, 3, 4]","[39.0023505125995, 120.40366032691173, 15.217391304347828, 43.74999999999999, 78.26237921249263]","[282.8822535771742, 690.7623792124926, 987.4245376931444, 1440.9326205178722, 1406.9328016830855]","[1.0, 0.9999999999999998, 1.0, 0.9999999999999998, 1.0]","[1738, 1738]","[0.00021776225167170586, 0.00021776225167170586]",[911]
[117],"[(1312.5, -1400.0)]","[0, 1, 2, 3, 4, 5, 6, 7]","[71.18209316446313, 456.9586668266039, 32.60932467187193, 24.343020335930323, 97.30311075532731, 23.018346827203715, 126.9092961103648, 21.874999999999996]","[660.9111229006064, 559.5759296849632, 172.50276333734644, 191.63978084332643, 258.4830794139636, 704.1311896062463, 631.5347905824375, 686.174061108998]","[0.8696415909624715, 0.8630367216935553, 1.0, 1.0, 1.0, 1.0, 0.9964884822038597, 0.9999999999999998]","[4682, 4682]","[0.0005866299553089337, 0.0005866299553089337]",[4642]
[115],"[(1295.0, -1400.0)]","[0, 1]","[296.98484809834997, 403.41278166368056]","[242.7328081740288, 453.43377950269996]","[1.0, 0.7677096407414107]","[14954, 14954]","[0.0018736574864779572, 0.0018736574864779572]",[6205]
[133],"[(2345.0, -1907.5)]","[0, 1, 2, 3, 4]","[40.900814828962325, 288.61739379323626, 61.91425037462746, 36.217664402237794, 58.79769637338207]","[2304.278428311415, 319.30869689661813, 566.8324062559482, 210.92558135295394, 1307.9592673495886]","[0.9889147011075243, 1.0, 0.9131254283755997, 1.0, 0.9678683926285202]","[2475, 2475]","[0.00031010447231730263, 0.00031010447231730263]",[861]
[162],"[(2432.5, -1890.0)]","[0, 1, 2, 3, 4]","[77.24317531443636, 40.524103762638845, 110.16813804327458, 20.04287456897474, 47.72727272727273]","[523.8256208580389, 689.5704068565368, 947.5819405984025, 1378.925177629922, 1400.0]","[0.9323513054688197, 0.9845311513950871, 0.7801561890806179, 1.0, 1.0]","[3209, 3209]","[0.00040207080875403, 0.00040207080875403]",[1593]
[189],"[(1365.0, -262.5)]","[0, 1, 2, 3]","[105.78995751067815, 49.49747468305833, 88.73187666068937, 52.174919474995086]","[683.9873449341143, 372.2604734282995, 837.2499619757929, 922.6645789017499]","[0.9769032212490347, 1.0, 1.0, 0.9999999999999998]","[5416, 5416]","[0.0006785962917456611, 0.0006785962917456611]",[2447]
[174],"[(2537.5, -2065.0)]",[0],[800.4675112351013],[627.3621009573124],[0.9170642644804373],"[14222, 14222]","[0.0017819417395138093, 0.0017819417395138093]",[7441]
[196],"[(1802.5, -1085.0)]","[0, 1, 2, 3]","[35.48759506971941, 9.906630280062359, 110.67971810589327, 494.9747468305833]","[1032.383732629321, 903.0358429100701, 942.6202207862232, 2070.9769748556146]","[0.9956332797214954, 1.0, 1.0, 1.0]","[8338, 8338]","[0.0010447075111845129, 0.0010447075111845129]",[2607]
