unit_ids,unit location,branch_id,velocity,length,r2
10,[2450.  -367.5],0,262.98487665458504,146.2855380545554,0.9974101191148084
10,[2450.  -367.5],1,124.55372093302846,359.06917095513177,0.9140724022164396
29,[ 595. -805.],0,519.0264656605002,651.9083920068292,0.9613908126968576
32,[ 1242.5 -1837.5],0,194.74853367731933,617.172512873605,0.8752310693541127
48,[2275.  -857.5],0,51.848259625305495,473.3280555217717,0.8564322975665772
56,[ 2502.5 -1172.5],0,319.69957564636195,477.8349692216808,0.8073251711762628
57,[2590. -980.],0,176.09499563244245,665.8819575202857,0.9827746121734535
76,[ 2625.  -1172.5],0,694.3748465904813,790.2187921164526,0.960084495909975
76,[ 2625.  -1172.5],1,130.6364940397085,780.1273992328144,0.8616122405760228
82,[ 3622.5 -2065. ],0,190.9845561004827,1472.2986314490488,0.9384647751377169
93,[ 2485.  -2012.5],0,110.05692045597189,344.38506531231246,0.969620066018283
96,[1435.   -0.],0,483.45433358708715,352.99328176723657,0.9388873768711482
96,[1435.   -0.],1,401.3308194623443,265.88599286791396,0.805395031783507
108,[1925.  -822.5],0,226.34669272387217,1129.0269182042214,0.9245763076148277
108,[1925.  -822.5],1,75.30644703488889,682.0727347816364,0.9279123396674388
108,[1925.  -822.5],2,539.8236348087275,473.3395026856838,0.9665805426446438
108,[1925.  -822.5],3,100.08954847260121,616.9875466449554,0.880803597228835
125,[ 3097.5 -2065. ],0,356.00522706498236,158.62866428930465,0.8938436796000215
132,[ 3097.5 -2065. ],0,629.9406905125616,268.7855380545554,0.9375236898672791
132,[ 3097.5 -2065. ],1,138.3378247209976,234.74873734152916,0.8525945852689155
141,[ 280.  -542.5],0,1114.889689615729,489.8264559388491,0.986443343613244
148,[ 297.5 -472.5],0,503.3451516099792,170.00859123708014,0.8407312602397271
150,[ 315. -455.],0,96.25188556102239,705.720822374211,0.9890460033692287
150,[ 315. -455.],1,247.171291183062,1102.5774259521281,0.9248870331346843
156,[ 1260.  -1067.5],0,162.6676457446316,366.6006271492464,0.9429489771737799
162,[ 1260.  -1102.5],0,110.88933984658155,580.851166147112,0.8744038112009557
169,[ 1347.5 -1225. ],0,554.9899329734329,235.9193929394118,0.9847765981774839
169,[ 1347.5 -1225. ],1,491.4260733550181,214.75150067887563,0.9912179813983253
174,[1015.   -17.5],0,148.54144135000732,758.3321176268048,0.941286598581514
183,[2275.  -857.5],0,643.1238179580987,618.1247289134895,0.9806963883463682
183,[2275.  -857.5],1,64.76547725965719,414.7735336611197,0.954386017493074
183,[2275.  -857.5],2,130.01398865903053,973.4278948314504,0.8843086243956437
185,[ 2502.5 -1172.5],0,416.78623780552977,914.370863062771,0.8484079188391739
185,[ 2502.5 -1172.5],1,152.77336171974576,594.3506737007549,0.8525988753666889
