Time,DIV,Chip_ID,Run_ID,Well,NeuronType,Number_Bursts,BurstDuration,mean_IBI,cov_IBI,mean_Burst_Peak,cov_Burst_Peak,fano_factor,MeanWithinBurstISI,CoVWithinBurstISI,MeanOutsideBurstISI,CoVOutsideBurstISI,MeanNetworkISI,CoVNetworkISI,NumUnits
2024-05-20,5,M08018,13,1,MxHEMI,27,1.02388628008031,11.3038461538462,23.0187846153846,4.53380157341788,9.71860256901659,166.782189578275,0.0350474007367988,0.0004922696084309,1.52427485864794,11.1892681139479,1.0345816780056,7.9882335845141,151
2024-05-20,5,M08018,13,2,MxWT,18,0.857924355054256,15.4764705882353,82.8569117647059,5.59583038544308,12.1925639712931,534.701969236785,0.0453583144368859,0.0006081090662694,0.888286388492044,4.93780136884101,0.632219888755776,3.58031774791999,127
2024-05-20,5,M08018,13,3,FxHET,38,1.01154828617744,7.96216216216216,17.0068618618619,4.65770512500729,3.76682764245115,1164.59238439698,0.0427113774655939,0.0003616758609098,1.09874272654822,6.08884788254326,0.652258717629886,3.78252102700457,164
2024-05-20,5,M08018,13,4,MxHEMI,33,0.883068324499701,8.940625,22.0115221774193,4.87355743978184,13.3178002295654,302.910707819061,0.0370004546315591,0.0005035946554719,1.59419215866312,16.5844697419531,0.970146260783559,10.5052294112038,124
2024-05-20,5,M08018,13,5,MxWT,24,0.802884054468483,12.4304347826087,28.4994861660079,4.23919328312995,8.09091374897663,1384.64110233716,0.0468357938378992,0.0004683338365831,0.98075945116007,4.14067865226212,0.589970176930929,2.62125739427034,71
2024-05-20,5,M08018,13,6,FxHET,42,0.837697324953565,6.71707317073171,17.9674512195122,5.14749256666196,10.3760594319264,524.522415552511,0.0394251262371238,0.0005297338172206,1.75556951198776,40.5365991691354,0.858662528761707,20.0466728928514,189
2024-05-23,8,M08018,36,1,MxHEMI,28,1.21534955927102,10.7666666666667,31.0084615384616,4.4309270064374,8.55196013579556,228.248250214104,0.0466650060024007,0.0005632045344444,1.25329864451931,5.61232393755262,1.04474238813702,4.8455555447528,55
2024-05-23,8,M08018,36,2,MxWT,9,1.06967898929964,35.1875,740.62125,4.85876791819088,26.3498693634063,467.414813254832,0.0479114693877548,0.0006826302522295,0.80169802369794,1.99814051079019,0.655189417537871,1.69539355399632,62
2024-05-23,8,M08018,36,3,FxHET,26,1.02815298971504,11.348,51.7475999999999,3.37325094238837,11.2402233173201,146.277003484321,0.0413344146685474,0.0006485037265802,1.0862309484193,3.01109764317192,0.904739486987456,2.64030861698581,49
2024-05-23,8,M08018,36,4,MxHEMI,18,1.09538556047106,16.8647058823529,59.0999264705883,4.38864667104398,25.602464496823,103.507488888889,0.0357032608695653,0.0005514408967884,1.45575660611065,5.76404597914487,1.26465108016426,5.21870277089928,24
2024-05-23,8,M08018,36,5,MxWT,8,0.877593776935421,35.0428571428571,615.002857142858,3.90471197984856,17.1104540359011,296.960126259051,0.0447451863354035,0.0006578115075021,0.756247347294939,1.45373798684928,0.655450999738386,1.30604956568791,59
2024-05-23,8,M08018,36,6,FxHET,28,1.06491851315679,10.5518518518519,38.3179772079772,3.87392375282732,10.8395699876088,243.395215537151,0.0420150355871886,0.0005983671557422,0.915052304537755,3.374925127231,0.780673823884198,2.95310818712596,35
2024-05-28,13,M08018,49,1,MxHEMI,95,0.910567860050164,3.17978723404255,2.14915694349119,4.94206142822962,0.801297608765456,1452.75981583036,0.0337765249027329,0.0005480062959386,1.05463975703678,4.03373321971546,0.403491794375065,1.69778831785043,354
2024-05-28,13,M08018,49,2,MxWT,68,0.827824964196054,4.31492537313433,7.26977385798282,4.87671549108915,0.403301993962947,6024.74434526724,0.0277039979145632,0.0003481447372792,1.00466443510864,3.64501335638831,0.268088319787693,1.06838904477564,165
2024-05-28,13,M08018,49,3,FxHET,112,0.765113900743257,2.66936936936937,1.11087141687142,3.88093186674956,0.612173851632223,2975.96030318245,0.0322752919612463,0.0004142281985937,1.0050974407841,3.13471233421058,0.400113220223086,1.40248404822044,158
2024-05-28,13,M08018,49,4,MxHEMI,116,0.954031876820135,2.57217391304348,1.20132418001525,4.18694394930135,1.22682177139725,1077.68700967173,0.0352599686044577,0.000691489830453,1.02458530895261,3.62430555504866,0.422720524007565,1.6507315049171,314
2024-05-28,13,M08018,49,5,MxWT,91,0.726137226381066,3.29333333333333,2.48692134831461,3.82652080822039,0.951588768967394,3655.24261284258,0.0320792743488395,0.0004514871025833,1.60626484935438,6.90335146910426,0.481918623385046,2.47631348438944,193
2024-05-28,13,M08018,49,6,FxHET,104,0.865756446624103,2.89805825242718,1.33646678088711,3.84528346759118,1.18299780956892,1229.50290873599,0.0390541491135292,0.0006765330457349,1.23864105250053,4.25602897263323,0.541732426300481,2.12976300133914,246
2024-05-31,16,M08018,63,1,MxHEMI,83,1.0343049896535,3.60365853658537,1.71936916591389,4.56282959869469,0.629198671737523,1271.00066025812,0.0408088847046034,0.0005758553173536,1.12793485052189,4.18149003209586,0.453722657646394,1.86183800879593,332
2024-05-31,16,M08018,63,2,MxWT,45,0.71610509683656,6.57954545454546,18.3356183932347,5.96644903793749,0.314565197005008,4809.30239622596,0.0333783762248906,0.0004850422840114,0.733145547240232,2.57771495582587,0.203722301509034,0.71306125743771,149
2024-05-31,16,M08018,63,3,FxHET,81,0.846443230064854,3.72875,1.75296044303797,4.49525360306762,3.29895249934186,1998.91414309196,0.0402463414029169,0.0005522007518288,1.41149418515685,7.01054113000107,0.465091377605726,2.57072539218605,228
