,instance,burstTime,SPB,SPBch,burstDur,burstPeak,IBI,bISI_mean,bISI_CV,date,wellplateID,wellNo,runID,wellGroupName,wellGroupColor,Plating Date,control,assayTag,div
Instance,Instance,,Spikes per Burst,Spikes per Burst per Electrode,Burst Duration,Burst Peak Firing Rate,IBI,Mean Burst ISI,Burst ISI CV,Date,Wellplate ID,Well Number,Assay Run ID,Well Group Name,Well Group Color,,Control,Assay Tag,DIV
0,1,0.57,1550,1.77,0.25,5.03,N/A,22.18,1.05,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
1,1,2.33,1516,1.73,0.26,4.83,1.06,28.6,0.97,2024-12-28,M06792,1,000134,HET_80K,#f7c19b,25.11.2024,0,Run #000134,33
2,1,3.39,1844,2.1,0.27,5.85,1.6,28.38,1.24,2024-12-28,M06792,1,000134,HET_80K,#f7c19b,25.11.2024,0,Run #000134,33
3,1,4.99,1734,1.97,0.25,5.61,2.31,22.24,1.02,2024-12-28,M06792,1,000134,WT_100K,#8cdee2,25.11.2024,0,Run #000134,33
4,1,7.3,1439,1.64,0.26,4.52,1.48,25.91,0.91,2024-12-28,M06792,1,000134,WT_100K,#8cdee2,25.11.2024,0,Run #000134,33
5,1,8.78,1676,1.91,0.27,5.38,2.51,25.32,1.01,2024-12-28,M06792,1,000134,WT_60K,#bdccff,25.11.2024,0,Run #000134,33
6,1,11.29,1603,1.83,0.29,4.94,1.73,33.71,0.98,2024-12-28,M06792,1,000134,WT_60K,#bdccff,25.11.2024,0,Run #000134,33
7,1,13.02,1746,1.99,0.25,5.77,2.35,17.07,1.07,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
8,1,15.37,1549,1.76,0.26,4.94,1.83,25.35,1.01,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
9,1,17.2,2081,2.37,0.27,6.29,2.44,29.81,1.1,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
10,1,19.64,1245,1.42,0.27,4.05,1.13,31.43,0.96,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
11,1,20.77,1821,2.07,0.25,6.04,2.74,17.8,1.1,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
12,1,23.51,1561,1.78,0.26,4.92,1.51,28.53,0.97,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
13,1,25.02,1348,1.54,0.26,4.52,1.75,32.62,0.94,2024-12-28,M06792,1,000134,N/A,N/A,N/A,N/A,N/A,N/A
